Well ,485,Run
G8,0.496,3
H8,0.499,3
A9,1.325,3
B9,1.341,3
C9,0.186,3
D9,0.177,3
E9,1.539,3
F9,1.565,3
G9,0.288,3
H9,0.284,3
A10,0.205,3
B10,0.202,3
C10,1.498,3
D10,1.511,3
E10,0.249,3
F10,0.252,3
G10,0.414,3
H10,0.406,3
A11,0.787,3
B11,0.743,3
C11,1.014,3
D11,1.013,3
E11,0.665,3
F11,0.676,3
G11,0.594,3
H11,0.594,3
A12,0.358,3
B12,0.351,3
C12,0.715,3
D12,0.661,3
E12,0.434,3
F12,0.416,3
G12,0.319,3
H12,0.322,3
A1,2.097,4
B1,2.102,4
C1,1.743,4
D1,1.805,4
E1,1.232,4
F1,1.2,4
G1,0.959,4
H1,0.975,4
A2,0.72,4
B2,0.699,4
C2,0.403,4
D2,0.399,4
E2,0.255,4
F2,0.247,4
G2,0.112,4
H2,0.109,4
A3,0.08,4
B3,0.08,4
C3,0.713,4
D3,0.714,4
E3,0.29,4
F3,0.272,4
G3,1.074,4
H3,1.117,4
A4,0.411,4
B4,0.411,4
C4,0.654,4
D4,0.626,4
E4,0.329,4
F4,0.333,4
G4,0.736,4
H4,0.712,4
A5,0.754,4
B5,0.718,4
C5,0.4,4
D5,0.399,4
E5,0.821,4
F5,0.885,4
G5,0.385,4
H5,0.39,4
A6,0.453,4
B6,0.447,4
C6,1.122,4
D6,1.115,4
E6,0.17,4
F6,0.168,4
G6,0.964,4
H6,0.978,4
A7,0.489,4
B7,0.474,4
C7,1.381,4
D7,1.334,4
E7,0.562,4
F7,0.526,4
G7,0.182,4
H7,0.22,4
A8,0.502,4
B8,0.489,4
C8,0.811,4
D8,0.793,4
E8,0.496,4
F8,0.5,4
G8,0.807,4
H8,0.874,4
A9,0.518,4
B9,0.509,4
C9,0.328,4
D9,0.321,4
E9,0.946,4
F9,0.987,4
G9,0.577,4
H9,0.595,4
A10,0.478,4
B10,0.464,4
C10,1.598,4
D10,1.538,4
E10,0.558,4
F10,0.557,4
G10,0.558,4
H10,0.563,4
A11,0.193,4
B11,0.187,4
C11,0.672,4
D11,0.687,4
E11,0.353,4
F11,0.351,4
G11,1.162,4
H11,1.157,4
A12,0.694,4
B12,0.672,4
C12,0.491,4
D12,0.485,4
E12,0.422,4
F12,0.403,4
G12,1.307,4
H12,1.275,4
A1,2.199,5
B1,2.244,5
C1,1.752,5
D1,1.64,5
E1,1.229,5
F1,1.213,5
G1,0.973,5
H1,0.962,5
A2,0.701,5
B2,0.671,5
C2,0.4,5
D2,0.391,5
E2,0.242,5
F2,0.247,5
G2,0.111,5
H2,0.111,5
A3,0.081,5
B3,0.08,5
C3,0.242,5
D3,0.229,5
E3,1.322,5
F3,1.454,5
G3,0.677,5
H3,0.709,5
A4,0.61,5
B4,0.595,5
C4,0.564,5
D4,0.553,5
E4,0.466,5
F4,0.451,5
G4,0.821,5
H4,0.837,5
A5,0.42,5
B5,0.42,5
C5,0.047,5
D5,0.044,5
E5,0.044,5
F5,0.045,5
G5,0.045,5
H5,0.044,5
A6,0.045,5
B6,0.045,5
C6,0.045,5
D6,0.045,5
E6,0.046,5
F6,0.045,5
G6,0.044,5
H6,0.044,5
A7,0.044,5
B7,0.045,5
C7,0.045,5
D7,0.045,5
E7,0.046,5
F7,0.045,5
G7,0.045,5
H7,0.044,5
A8,0.045,5
B8,0.045,5
C8,0.045,5
D8,0.044,5
E8,0.044,5
F8,0.045,5
G8,0.045,5
H8,0.045,5
A9,0.046,5
B9,0.046,5
C9,0.046,5
D9,0.045,5
E9,0.044,5
F9,0.046,5
G9,0.046,5
H9,0.045,5
A10,0.044,5
B10,0.045,5
C10,0.045,5
D10,0.044,5
E10,0.044,5
F10,0.044,5
G10,0.045,5
H10,0.046,5
A11,0.044,5
B11,0.046,5
C11,0.045,5
D11,0.044,5
E11,0.044,5
F11,0.046,5
G11,0.046,5
H11,0.045,5
A12,0.05,5
B12,0.045,5
C12,0.045,5
D12,0.045,5
E12,0.045,5
F12,0.045,5
G12,0.044,5
H12,0.045,5
