"Color.Score","Fragment.ID","Timepoint","Treatment","Group"
"1233",3.68477198462522,"1233","Time0","Ambient","Time0 Ambient"
"2743",2.54826226575948,"2743","Time0","Heat","Time0 Heat"
"1541",-4.81510091497321,"1541","Time0","Heat","Time0 Heat"
"1540",-2.72855943925676,"1540","Time0","Heat","Time0 Heat"
"1053",3.70902794976073,"1053","Time0","Heat","Time0 Heat"
"1596",3.36860451456492,"1596","Time0","Heat","Time0 Heat"
"1204",3.66795696235383,"1204","Time0","Heat","Time0 Heat"
"1689",2.44727482511025,"1689","Time0","Heat","Time0 Heat"
"1473",3.43349476724491,"1473","Time0","Heat","Time0 Heat"
"1430",0.591188752093696,"1430","Time0","Heat","Time0 Heat"
"2729",-0.457211658418695,"2729","Time0","Heat","Time0 Heat"
"2512",3.1673018739886,"2512","Time0","Heat","Time0 Heat"
"1185",3.72862070489397,"1185","Time0","Heat","Time0 Heat"
"1342?",3.72788915885648,"1342?","Time0","Heat","Time0 Heat"
"1152",3.85989206365847,"1152","Time0","Heat","Time0 Heat"
"2873",2.00554944132741,"2873","Time0","Heat","Time0 Heat"
"1088",3.56879973812463,"1088","Time0","Ambient","Time0 Ambient"
"1748",2.16663628993016,"1748","Time0","Ambient","Time0 Ambient"
"1242",3.33912166868827,"1242","Time0","Ambient","Time0 Ambient"
"2360",3.65592502104075,"2360","Time0","Ambient","Time0 Ambient"
"2399",3.76633242969705,"2399","Time0","Ambient","Time0 Ambient"
"1432",1.00048365769447,"1432","Time0","Ambient","Time0 Ambient"
"1288",3.68183459699705,"1288","Time0","Ambient","Time0 Ambient"
"2737",2.29535262911794,"2737","Time0","Ambient","Time0 Ambient"
"2209",3.86221944528656,"2209","Time0","Ambient","Time0 Ambient"
"1069",3.04157557231319,"1069","Time0","Ambient","Time0 Ambient"
"2302",3.20202557979379,"2302","Time0","Ambient","Time0 Ambient"
"1474",2.54224737806666,"1474","Time0","Ambient","Time0 Ambient"
"1071",2.79881647538867,"1071","Time0","Ambient","Time0 Ambient"
"1345",3.83364181203,"1345","Time0","Ambient","Time0 Ambient"
"1492",-4.73110243881405,"1492","Time0","Heat","Time0 Heat"
"1643",0.614172490752018,"1643","Time0","Heat","Time0 Heat"
"1110",-2.03057104719092,"1110","Time0","Heat","Time0 Heat"
"2522",3.23616553815964,"2522","Time0","Heat","Time0 Heat"
"2731",2.81905667524317,"2731","Time0","Heat","Time0 Heat"
"1698",-0.895512003577284,"1698","Time0","Heat","Time0 Heat"
"2412",-0.206998060254958,"2412","Time0","Heat","Time0 Heat"
"1197",2.26287226864248,"1197","Time0","Heat","Time0 Heat"
"1777",0.946546369759832,"1777","Time0","Heat","Time0 Heat"
"2211",2.69975749031175,"2211","Time0","Heat","Time0 Heat"
"2521",-0.542494830156182,"2521","Time0","Heat","Time0 Heat"
"1607",0.621556816815754,"1607","Time0","Heat","Time0 Heat"
"1102",-0.831606409509965,"1102","Time0","Heat","Time0 Heat"
"2165",-5.2410705631202,"2165","Time0","Heat","Time0 Heat"
"2859",-11.8018907835456,"2859","Time0","Heat","Time0 Heat"
"1611?",-24.5960627443689,"1611?","Time0","Ambient","Time0 Ambient"
"1568?",-21.2284433426801,"1568?","Time0","Ambient","Time0 Ambient"
"1692?",-10.2091320412312,"1692?","Time0","Ambient","Time0 Ambient"
"2538?",-8.55400052950621,"2538?","Time0","Ambient","Time0 Ambient"
"2757?",-14.8746986107286,"2757?","Time0","Ambient","Time0 Ambient"
"1650?",-25.2606688698037,"1650?","Time0","Ambient","Time0 Ambient"
"1091?",-20.5397533327456,"1091?","Time0","Ambient","Time0 Ambient"
"1126?",-32.1163241246617,"1126?","Time0","Ambient","Time0 Ambient"
"2868?",-36.4806992783942,"2868?","Time0","Ambient","Time0 Ambient"
"1457?",-24.9010197146437,"1457?","Time0","Ambient","Time0 Ambient"
"1122?",-48.4265144801293,"1122?","Time0","Ambient","Time0 Ambient"
"1305?",-39.974297058724,"1305?","Time0","Ambient","Time0 Ambient"
"1255?",-54.2560876140441,"1255?","Time0","Ambient","Time0 Ambient"
"1466?",-33.1237909752886,"1466?","Time0","Ambient","Time0 Ambient"
"1593?",-50.2845351827961,"1593?","Time0","Ambient","Time0 Ambient"
"2044",-2.86719132240644,"2044","Time0","Heat","Time0 Heat"
"1694",2.11927625741234,"1694","Time0","Heat","Time0 Heat"
"1214",2.8559137459362,"1214","Time0","Heat","Time0 Heat"
"1498?",2.38385802886798,"1498?","Time0","Heat","Time0 Heat"
"1249",0.933353341074912,"1249","Time0","Heat","Time0 Heat"
"2372",2.18922573049544,"2372","Time0","Heat","Time0 Heat"
"2370",0.113342197184782,"2370","Time0","Heat","Time0 Heat"
"1496",3.23618847925624,"1496","Time0","Heat","Time0 Heat"
"1571",0.473763841699063,"1571","Time0","Heat","Time0 Heat"
"1576",3.06443137743607,"1576","Time0","Heat","Time0 Heat"
"1325",-0.539015914834868,"1325","Time0","Heat","Time0 Heat"
"2755",2.65801104476897,"2755","Time0","Heat","Time0 Heat"
"1470",2.21932156081375,"1470","Time0","Heat","Time0 Heat"
"2003",2.49524175745905,"2003","Time0","Heat","Time0 Heat"
"1311",3.58827936148323,"1311","Time0","Ambient","Time0 Ambient"
"1739",2.50639718728912,"1739","Time0","Ambient","Time0 Ambient"
"2751",3.88837121779955,"2751","Time0","Ambient","Time0 Ambient"
"1194",3.00560779634983,"1194","Time0","Ambient","Time0 Ambient"
"1412",3.93148583175871,"1412","Time0","Ambient","Time0 Ambient"
"1247",3.18777979752746,"1247","Time0","Ambient","Time0 Ambient"
"1224",3.92899463838172,"1224","Time0","Ambient","Time0 Ambient"
"2867",2.5657075457329,"2867","Time0","Ambient","Time0 Ambient"
"2075",1.67797824235311,"2075","Time0","Ambient","Time0 Ambient"
"1696",3.78802337988686,"1696","Time0","Ambient","Time0 Ambient"
"2020",3.89240553233313,"2020","Time0","Ambient","Time0 Ambient"
"2208",3.9172824858617,"2208","Time0","Ambient","Time0 Ambient"
"1752? 1732?",2.57797249838426,"1752? 1732?","Time0","Ambient","Time0 Ambient"
"1722",2.77853672521544,"1722","Time0","Ambient","Time0 Ambient"
