gene_id,trimmed.AST-1065_R1_001.fastq.gz.bam.gtf,trimmed.AST-1105_R1_001.fastq.gz.bam.gtf,trimmed.AST-1147_R1_001.fastq.gz.bam.gtf,trimmed.AST-1412_R1_001.fastq.gz.bam.gtf,trimmed.AST-1560_R1_001.fastq.gz.bam.gtf,trimmed.AST-1567_R1_001.fastq.gz.bam.gtf,trimmed.AST-1617_R1_001.fastq.gz.bam.gtf,trimmed.AST-1722_R1_001.fastq.gz.bam.gtf,trimmed.AST-2000_R1_001.fastq.gz.bam.gtf,trimmed.AST-2007_R1_001.fastq.gz.bam.gtf,trimmed.AST-2302_R1_001.fastq.gz.bam.gtf,trimmed.AST-2360_R1_001.fastq.gz.bam.gtf,trimmed.AST-2398_R1_001.fastq.gz.bam.gtf,trimmed.AST-2404_R1_001.fastq.gz.bam.gtf,trimmed.AST-2412_R1_001.fastq.gz.bam.gtf,trimmed.AST-2512_R1_001.fastq.gz.bam.gtf,trimmed.AST-2523_R1_001.fastq.gz.bam.gtf,trimmed.AST-2563_R1_001.fastq.gz.bam.gtf,trimmed.AST-2729_R1_001.fastq.gz.bam.gtf,trimmed.AST-2755_R1_001.fastq.gz.bam.gtf
evm.TU.chromosome_11.3102,26,0,0,0,0,0,42,12,14,3,43,32,62,88,115,0,0,0,0,30
evm.TU.chromosome_11.3109,137,0,338,81,0,59,133,128,37,160,208,64,109,118,127,21,170,76,8,19
evm.TU.chromosome_11.3108,296,0,907,228,25,143,226,692,333,302,269,167,653,769,220,96,200,384,29,23
Ala_2249,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1
Ala_2248,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
evm.TU.chromosome_13.1608,87,0,90,0,0,11,28,24,0,51,60,14,22,38,31,0,28,78,0,9
evm.TU.chromosome_13.1609,111,0,14,19,0,0,119,47,0,52,28,23,12,91,162,9,24,25,35,4
evm.TU.chromosome_13.1602,136,0,213,13,0,43,114,50,38,142,69,90,114,208,72,13,126,78,0,15
evm.TU.chromosome_13.1603,839,0,1497,19,0,462,743,553,22,662,519,313,812,779,719,77,672,535,9,82
evm.TU.chromosome_13.1600,925,0,627,425,58,142,691,743,367,613,2010,281,759,791,459,101,537,1393,84,62
evm.TU.chromosome_13.1601,12,0,33,32,0,13,22,0,8,15,93,5,14,40,17,0,38,11,0,0
