colony_id,Light_Value,Run,Treatment,micromol.cm2.s,micromol.cm2.h,Date
FLD-0030,0,7,Field-TP6,-0.0001918252062,-0.6905707422,2021-07-23
FLD-0031,0,8,Field-TP7,-0.0007655808009,-2.756090883,2021-09-01
FLD-0032,0,8,Field-TP7,-0.0001210885718,-0.4359188584,2021-09-01
FLD-0033,0,8,Field-TP7,-0.0001916470133,-0.6899292477,2021-09-01
FLD-0034,0,8,Field-TP7,-0.0003118494485,-1.122658015,2021-09-01
FLD-0035,0,9,Field-TP7,-0.0002736539978,-0.9851543922,2021-09-01
FLD-0036,0,9,Field-TP7,-0.0002095829707,-0.7544986946,2021-09-01
FLD-0037,0,9,Field-TP7,-0.0001586206959,-0.5710345051,2021-09-01
FLD-0038,0,9,Field-TP7,-0.0002751125983,-0.990405354,2021-09-01
FLD-0015,319,4,Field-TP5,0.000763401766,2.748246358,2021-06-25
FLD-0016,319,4,Field-TP5,0.001680050419,6.048181508,2021-06-25
FLD-0017,319,4,Field-TP5,0.00111432476,4.011569136,2021-06-25
FLD-0018,319,4,Field-TP5,0.0008079572287,2.908646023,2021-06-25
FLD-0019,319,5,Field-TP5,0.001479884092,5.327582732,2021-06-25
FLD-0020,319,5,Field-TP5,0.001367702807,4.923730106,2021-06-25
FLD-0021,319,5,Field-TP5,0.001652635104,5.949486375,2021-06-25
FLD-0022,319,5,Field-TP5,0.0009475264844,3.411095344,2021-06-25
FLD-0008,321,3,Field-TP4,0.0006525970998,2.349349559,2021-06-02
FLD-0009,321,3,Field-TP4,0.0002759144866,0.9932921519,2021-06-02
FLD-0010,321,3,Field-TP4,0.001071829718,3.858586986,2021-06-02
FLD-0011,321,3,Field-TP4,0.001348980962,4.856331464,2021-06-02
FLD-0012,321,3,Field-TP4,0.0002452632501,0.8829477005,2021-06-02
FLD-0013,321,3,Field-TP4,0.0006724378305,2.42077619,2021-06-02
FLD-0014,321,3,Field-TP4,0.0005247862684,1.889230566,2021-06-02
FLD-0031,342,8,Field-TP7,0.001457210135,5.245956486,2021-09-01
FLD-0032,342,8,Field-TP7,0.0007869967961,2.833188466,2021-09-01
FLD-0033,342,8,Field-TP7,0.0006048416253,2.177429851,2021-09-01
FLD-0034,342,8,Field-TP7,0.0005606177452,2.018223883,2021-09-01
FLD-0035,342,9,Field-TP7,0.0003275161955,1.179058304,2021-09-01
FLD-0036,342,9,Field-TP7,0.001886736938,6.792252978,2021-09-01
FLD-0037,342,9,Field-TP7,0.0007899213747,2.843716949,2021-09-01
FLD-0038,342,9,Field-TP7,0.001210803878,4.35889396,2021-09-01
FLD-0023,366,6,Field-TP6,0.001865123751,6.714445502,2021-07-23
FLD-0024,366,6,Field-TP6,0.002278417239,8.202302061,2021-07-23
FLD-0025,366,6,Field-TP6,0.0008516452419,3.065922871,2021-07-23
FLD-0026,366,6,Field-TP6,0.001680050419,6.048181508,2021-07-23
FLD-0027,366,7,Field-TP6,0.00111432476,4.011569136,2021-07-23
FLD-0028,366,7,Field-TP6,0.001479884092,5.327582732,2021-07-23
FLD-0029,366,7,Field-TP6,0.004164826803,14.99337649,2021-07-23
FLD-0030,366,7,Field-TP6,0.004463088437,16.06711837,2021-07-23
FLD-0001,392,2,Field-TP3,0.003668870696,13.20793451,2021-04-30
FLD-0002,392,2,Field-TP3,0.0006525970998,2.349349559,2021-04-30
FLD-0003,392,2,Field-TP3,0.001071829718,3.858586986,2021-04-30
FLD-0004,392,2,Field-TP3,0.0003224123611,1.1606845,2021-04-30
FLD-0005,392,2,Field-TP3,0.0006724378305,2.42077619,2021-04-30
FLD-0006,392,2,Field-TP3,0.0009658144304,3.476931949,2021-04-30
FLD-0007,392,2,Field-TP3,0.0001768052584,0.6364989301,2021-04-30
