"Plot Title: 2044042"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444042, SEN S/N: 20444042, LBL: Tank1)","Coupler Detached (LGR S/N: 20444042)","Coupler Attached (LGR S/N: 20444042)","End Of File (LGR S/N: 20444042)"
529,02/10/21 08:00:00 AM,9.040,,,
530,02/10/21 08:10:00 AM,9.262,,,
531,02/10/21 08:20:00 AM,9.064,,,
532,02/10/21 08:30:00 AM,9.287,,,
533,02/10/21 08:40:00 AM,9.089,,,
534,02/10/21 08:50:00 AM,9.287,,,
535,02/10/21 09:00:00 AM,9.114,,,
536,02/10/21 09:10:00 AM,9.287,,,
537,02/10/21 09:20:00 AM,9.139,,,
538,02/10/21 09:30:00 AM,9.238,,,
539,02/10/21 09:40:00 AM,9.163,,,
540,02/10/21 09:50:00 AM,9.213,,,
541,02/10/21 10:00:00 AM,9.238,,,
542,02/10/21 10:10:00 AM,9.089,,,
543,02/10/21 10:20:00 AM,9.238,,,
544,02/10/21 10:30:00 AM,9.040,,,
545,02/10/21 10:40:00 AM,9.287,,,
546,02/10/21 10:50:00 AM,9.089,,,
547,02/10/21 11:00:00 AM,9.287,,,
548,02/10/21 11:10:00 AM,9.114,,,
549,02/10/21 11:20:00 AM,9.262,,,
550,02/10/21 11:30:00 AM,9.114,,,
551,02/10/21 11:40:00 AM,9.287,,,
552,02/10/21 11:50:00 AM,9.163,,,
553,02/10/21 12:00:00 PM,9.213,,,
554,02/10/21 12:10:00 PM,9.238,,,
555,02/10/21 12:20:00 PM,9.064,,,
556,02/10/21 12:30:00 PM,9.262,,,
557,02/10/21 12:40:00 PM,9.089,,,
558,02/10/21 12:50:00 PM,9.287,,,
559,02/10/21 01:00:00 PM,9.089,,,
560,02/10/21 01:10:00 PM,9.312,,,
561,02/10/21 01:20:00 PM,9.188,,,
562,02/10/21 01:30:00 PM,9.139,,,
563,02/10/21 01:40:00 PM,9.238,,,
564,02/10/21 01:50:00 PM,9.040,,,
565,02/10/21 02:00:00 PM,9.262,,,
566,02/10/21 02:10:00 PM,9.064,,,
