#YY	MM	DD	hh	mm	WDI	R WSP	D GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2021	1	1	10	12	3	3.6	4.7	99	99	99	999	1031.4	1.5	6.3	999	99	99
2021	1	1	10	18	11	3.4	4.6	99	99	99	999	1031.5	1.6	6.3	999	99	99
2021	1	1	10	24	6	3.5	4.6	99	99	99	999	1031.5	1.5	6.3	999	99	99
2021	1	1	10	30	12	2.6	4.6	99	99	99	999	1031.6	1.5	6.3	999	99	99
2021	1	1	10	36	8	3.7	5.3	99	99	99	999	1031.7	1.6	6.3	999	99	99
2021	1	1	10	42	5	3.6	5.6	99	99	99	999	1031.8	1.6	6.3	999	99	99
2021	1	1	10	48	10	3.6	5	99	99	99	999	1031.9	1.6	6.3	999	99	99
2021	1	1	10	54	5	4.3	5.8	99	99	99	999	1031.8	1.5	6.3	999	99	99
2021	1	1	11	0	5	4.2	6	99	99	99	999	1031.9	1.5	6.3	999	99	99
2021	1	1	11	6	7	5.2	6	99	99	99	999	1032.1	1.5	6.2	999	99	99
2021	1	1	11	12	9	4.1	6.1	99	99	99	999	1032.2	1.5	6.2	999	99	99
2021	1	1	11	18	16	4	5.2	99	99	99	999	1032.3	1.5	6.2	999	99	99
2021	1	1	11	24	9	5.1	7.1	99	99	99	999	1032.3	1.4	6.2	999	99	99
2021	1	1	11	30	6	4.5	6.7	99	99	99	999	1032.3	1.4	6.2	999	99	99
2021	1	1	11	36	7	4.5	6.8	99	99	99	999	1032.4	1.4	6.2	999	99	99
2021	1	1	11	42	12	4.1	6.6	99	99	99	999	1032.4	1.4	6.2	999	99	99
2021	1	1	11	48	19	3.1	5.3	99	99	99	999	1032.6	1.4	6.2	999	99	99
2021	1	1	11	54	20	4.2	5.3	99	99	99	999	1032.6	999	6.2	999	99	99
2021	1	1	12	0	15	3.3	6.7	99	99	99	999	1032.7	999	6.2	999	99	99
2021	1	1	12	6	12	2.1	4	99	99	99	999	1032.9	1.2	6.2	999	99	99
2021	1	1	12	12	12	2.8	5	99	99	99	999	1032.9	1.1	6.2	999	99	99
2021	1	1	12	18	33	2.9	3.4	99	99	99	999	1032.8	1	6.2	999	99	99
2021	1	1	12	24	36	3.3	4.3	99	99	99	999	1032.7	0.8	6.3	999	99	99
2021	1	1	12	30	36	3.2	4	99	99	99	999	1032.7	0.6	6.3	999	99	99
2021	1	1	12	36	29	3	4.2	99	99	99	999	1032.8	0.6	6.3	999	99	99
2021	1	1	12	42	34	3.2	3.8	99	99	99	999	1032.9	0.5	6.3	999	99	99
2021	1	1	12	48	47	2.9	4.1	99	99	99	999	1033.1	0.6	6.3	999	99	99
2021	1	1	12	54	34	3.2	4.5	99	99	99	999	1033.1	0.5	6.3	999	99	99
2021	1	1	13	0	41	3.2	4.7	99	99	99	999	1033.2	0.3	6.3	999	99	99
2021	1	1	13	6	32	2.8	4.7	99	99	99	999	1033.4	0.4	6.4	999	99	99
2021	1	1	13	12	36	3.7	5.5	99	99	99	999	1033.5	0.4	6.4	999	99	99
2021	1	1	13	18	31	3.7	5.1	99	99	99	999	1033.7	0.4	6.5	999	99	99
2021	1	1	13	24	38	2.1	4.3	99	99	99	999	1034	0.6	6.6	999	99	99
2021	1	1	13	30	26	3.3	4.3	99	99	99	999	1034.1	0.6	6.7	999	99	99
2021	1	1	13	36	26	2.7	4.2	99	99	99	999	1034.3	0.9	6.8	999	99	99
