"","Group.1","x"
"135","2-2",3.43636524591867
"136","2-20",2.68805469599546
"137","2-21",2.85985142584744
"138","2-22",3.05274272557842
"139","2-23",3.24789617216378
"140","2-24",3.13096303270177
"141","2-25",3.24737137980253
"142","2-26",3.16357482171151
"143","2-27",3.00872070159858
"144","2-28",3.13437612246577
"145","2-29",4.43046553918894
"146","2-3",3.35833264090013
"147","2-4",3.22577621404943
"148","2-5",3.22338081792542
"149","2-6",3.04624830108474
"150","2-7",3.12345658287196
"151","2-8",3.20595123185582
"152","2-9",2.84083365390919
"153","3-1",3.21588262747202
"154","3-10",3.55673031459844
"155","3-11",3.74260110895696
"156","3-12",3.87209382744122
"157","3-13",3.88892040382876
"158","3-14",3.99650031884096
"159","3-15",4.0367150712004
"160","3-16",4.06489105639112
"161","3-17",4.10334382362884
"162","3-18",4.26079681364375
"163","3-19",4.33979216324539
"164","3-2",3.18216581464677
"165","3-20",4.47078238406962
"166","3-21",4.4519996835447
"167","3-22",4.50172449201298
"168","3-23",4.47109812824262
"169","3-24",4.42263979955694
"170","3-25",4.58201432938598
"171","3-26",4.61572818830063
"172","3-27",4.49982343744071
"173","3-28",4.74527087351921
"174","3-29",4.89573407175867
"175","3-3",2.99484572510257
"176","3-30",5.02255096379811
"177","3-31",5.26821679821531
"178","3-4",2.80832745544878
"179","3-5",2.81985839847022
"180","3-6",2.88631453418446
"181","3-7",3.10761125880637
"182","3-8",3.16776620268247
"183","3-9",3.43549401022544
"184","4-1",5.37924780130939
"185","4-10",6.69357469998816
"186","4-11",7.12664867707831
"187","4-12",7.11051291804358
"188","4-13",7.21643639776351
"189","4-14",7.52237744895713
"190","4-15",7.49591047599149
"191","4-16",7.39586546102095
"192","4-17",7.58490267088332
"193","4-18",7.85874229937979
"194","4-19",8.15063466733472
"195","4-2",5.46252486669463
"196","4-20",8.26766098583797
"197","4-21",8.2790987350632
"198","4-22",8.69111237623561
"199","4-23",8.62204376350772
"200","4-24",8.72487143863374
"201","4-25",9.19292987569563
