,Day,WTMP
65,11-Nov,11.9178394
66,12-Nov,11.76851595
67,13-Nov,11.69306943
68,14-Nov,11.53509656
69,15-Nov,11.46177507
70,16-Nov,11.62960946
71,17-Nov,11.29604508
72,18-Nov,10.84108389
73,19-Nov,10.57980417
75,20-Nov,10.34322816
76,21-Nov,10.07762057
77,22-Nov,10.0419023
78,23-Nov,9.855460453
79,24-Nov,9.554043213
80,25-Nov,9.414663819
81,26-Nov,9.607944484
82,27-Nov,9.839371926
83,28-Nov,9.584789928
84,29-Nov,9.19868924
86,30-Nov,9.24310347
93,1-Dec,9.442478881
104,2-Dec,9.209719415
115,3-Dec,9.026789401
118,4-Dec,8.75957069
119,5-Dec,8.423048995
120,6-Dec,8.284827372
121,7-Dec,7.885583414
122,8-Dec,7.565041977
123,9-Dec,7.262079452
94,10-Dec,7.554391266
95,11-Dec,7.562032944
96,12-Dec,7.428259117
97,13-Dec,7.41538986
98,14-Dec,7.227623282
99,15-Dec,7.217761919
100,16-Dec,6.927547363
101,17-Dec,6.695702305
102,18-Dec,6.408498053
103,19-Dec,6.03834318
105,20-Dec,5.958279441
106,21-Dec,6.150351209
107,22-Dec,6.266330964
108,23-Dec,6.147548857
109,24-Dec,6.329306253
110,25-Dec,6.58331369
111,26-Dec,6.308802842
112,27-Dec,6.339257568
113,28-Dec,6.165712825
114,29-Dec,6.001484452
116,30-Dec,5.662635001
117,31-Dec,5.535010373
145,Feb-29,3.791541284
