Serial Number:20937870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2020-12-24 04:40:00,8.23,255, , , , 
2020-12-24 04:50:00,8.28,265, , , , 
2020-12-24 05:00:00,8.32,274, , , , 
2020-12-24 05:10:00,8.36,272, , , , 
2020-12-24 05:20:00,8.32,274, , , , 
2020-12-24 05:30:00,8.41,276, , , , 
2020-12-24 05:40:00,8.41,275, , , , 
2020-12-24 05:50:00,8.45,280, , , , 
2020-12-24 06:00:00,8.49,285, , , , 
2020-12-24 06:10:00,8.53,286, , , , 
2020-12-24 06:20:00,8.53,292, , , , 
2020-12-24 06:30:00,8.53,294, , , , 
2020-12-24 06:40:00,8.53,295, , , , 
2020-12-24 06:50:00,8.62,291, , , , 
2020-12-24 07:00:00,8.66,289, , , , 
2020-12-24 07:10:00,8.71,283, , , , 
2020-12-24 07:20:00,8.71,277, , , , 
2020-12-24 07:30:00,8.75,274, , , , 
2020-12-24 07:40:00,8.75,272, , , , 
2020-12-24 07:50:00,8.79,272, , , , 
2020-12-24 08:00:00,8.79,274, , , , 
2020-12-24 08:10:00,8.83,269, , , , 
2020-12-24 08:20:00,8.79,269, , , , 
2020-12-24 08:30:00,8.83,269, , , , 
2020-12-24 08:40:00,8.83,269, , , , 
2020-12-24 08:50:00,8.88,269, , , , 
2020-12-24 09:00:00,8.83,268, , , , 
2020-12-24 09:10:00,8.79,262, , , , 
2020-12-24 09:20:00,8.83,255, , , , 
2020-12-24 09:30:00,8.83,246, , , , 
2020-12-24 09:40:00,8.83,237, , , , 
2020-12-24 09:50:00,8.88,231, , , , 
2020-12-24 10:00:00,8.83,220, , , , 
2020-12-24 10:10:00,8.83,213, , , , 
2020-12-24 10:20:00,8.88,207, , , , 
2020-12-24 10:30:00,8.88,201, , , , 
2020-12-24 10:40:00,8.92,192, , , , 
2020-12-24 10:50:00,8.92,184, , , , 
2020-12-24 11:00:00,8.96,173, , , , 
2020-12-24 11:10:00,8.92,165, , , , 
2020-12-24 11:20:00,8.92,156, , , , 
2020-12-24 11:30:00,9.01,146, , , , 
2020-12-24 11:40:00,9.05,134, , , , 
2020-12-24 11:50:00,9.01,122, , , , 
2020-12-24 12:00:00,9.01,106, , , , 
2020-12-24 12:10:00,8.96,93, , , , 
2020-12-24 12:20:00,8.96,81, , , , 
2020-12-24 12:30:00,8.96,72, , , , 
2020-12-24 12:40:00,8.96,66, , , , 
2020-12-24 12:50:00,8.92,62, , , , 
2020-12-24 13:00:00,8.88,56, , , , 
2020-12-24 13:10:00,8.92,54, , , , 
2020-12-24 13:20:00,8.96,55, , , , 
2020-12-24 13:30:00,8.96,54, , , , 
2020-12-24 13:40:00,8.92,53, , , , 
2020-12-24 13:50:00,9.01,54, , , , 
2020-12-24 14:00:00,8.96,54, , , , 
2020-12-24 14:10:00,9.01,54, , , , 
2020-12-24 14:20:00,9.05,55, , , , 
2020-12-24 14:30:00,8.96,0, , , , 
2020-12-24 14:40:00,9.01,0, , , , 
2020-12-24 14:50:00,9.01,0, , , , 
2020-12-24 15:00:00,9.05,0, , , , 
2020-12-24 15:10:00,9.05,0, , , , 
2020-12-24 15:20:00,9.01,0, , , , 
2020-12-24 15:30:00,9.05,0, , , , 
2020-12-24 15:40:00,9.05,0, , , , 
2020-12-24 15:50:00,9.14,0, , , , 
2020-12-24 16:00:00,9.18,0, , , , 
2020-12-24 16:10:00,9.18,0, , , , 
2020-12-24 16:20:00,9.22,0, , , , 
2020-12-24 16:30:00,9.26,0, , , , 
2020-12-24 16:40:00,9.26,0, , , , 
2020-12-24 16:50:00,9.26,0, , , , 
2020-12-24 17:00:00,9.35,0, , , , 
2020-12-24 17:10:00,9.35,0, , , , 
2020-12-24 17:20:00,9.35,0, , , , 
2020-12-24 17:30:00,9.39,0, , , , 
2020-12-24 17:40:00,9.39,0, , , , 
2020-12-24 17:50:00,9.35,0, , , , 
2020-12-24 18:00:00,9.44,0, , , , 
2020-12-24 18:10:00,9.39,0, , , , 
2020-12-24 18:20:00,9.44,0, , , , 
2020-12-24 18:30:00,9.44,0, , , , 
2020-12-24 18:40:00,9.48,0, , , , 
2020-12-24 18:50:00,9.48,0, , , , 
2020-12-24 19:00:00,9.52,0, , , , 
2020-12-24 19:10:00,9.56,0, , , , 
2020-12-24 19:20:00,9.56,0, , , , 
2020-12-24 19:30:00,9.61,0, , , , 
2020-12-24 19:40:00,9.61,0, , , , 
2020-12-24 19:50:00,9.69,0, , , , 
2020-12-24 20:00:00,9.69,0, , , , 
2020-12-24 20:10:00,9.74,0, , , , 
2020-12-24 20:20:00,9.69,0, , , , 
2020-12-24 20:30:00,9.69,0, , , , 
2020-12-24 20:40:00,9.74,0, , , , 
2020-12-24 20:50:00,9.78,0, , , , 
2020-12-24 21:00:00,9.74,0, , , , 
2020-12-24 21:10:00,9.74,0, , , , 
2020-12-24 21:20:00,9.74,0, , , , 
2020-12-24 21:30:00,9.74,0, , , , 
2020-12-24 21:40:00,9.74,0, , , , 
2020-12-24 21:50:00,9.74,0, , , , 
2020-12-24 22:00:00,9.78,0, , , , 
2020-12-24 22:10:00,9.74,0, , , , 
2020-12-24 22:20:00,9.78,0, , , , 
2020-12-24 22:30:00,9.78,0, , , , 
2020-12-24 22:40:00,9.78,0, , , , 
2020-12-24 22:50:00,9.82,0, , , , 
2020-12-24 23:00:00,9.82,0, , , , 
2020-12-24 23:10:00,9.82,0, , , , 
2020-12-24 23:20:00,9.82,0, , , , 
2020-12-24 23:30:00,9.82,0, , , , 
2020-12-24 23:40:00,9.78,0, , , , 
2020-12-24 23:50:00,9.78,0, , , , 
2020-12-25 00:00:00,9.78,0, , , , 
2020-12-25 00:10:00,9.74,0, , , , 
2020-12-25 00:20:00,9.69,0, , , , 
2020-12-25 00:30:00,9.69,0, , , , 
2020-12-25 00:40:00,9.69,0, , , , 
2020-12-25 00:50:00,9.69,0, , , , 
2020-12-25 01:00:00,9.61,0, , , , 
2020-12-25 01:10:00,9.61,7, , , , 
2020-12-25 01:20:00,9.61,13, , , , 
2020-12-25 01:30:00,9.56,21, , , , 
2020-12-25 01:40:00,9.61,27, , , , 
2020-12-25 01:50:00,9.56,41, , , , 
2020-12-25 02:00:00,9.56,58, , , , 
2020-12-25 02:10:00,9.56,74, , , , 
2020-12-25 02:20:00,9.61,142, , , , 
2020-12-25 02:30:00,9.61,156, , , , 
2020-12-25 02:40:00,9.61,169, , , , 
2020-12-25 02:50:00,9.65,184, , , , 
2020-12-25 03:00:00,9.65,195, , , , 
2020-12-25 03:10:00,9.69,210, , , , 
2020-12-25 03:20:00,9.78,222, , , , 
2020-12-25 03:30:00,9.86,239, , , , 
2020-12-25 03:40:00,9.91,251, , , , 
2020-12-25 03:50:00,10.04,266, , , , 
2020-12-25 04:00:00,10.12,277, , , , 
