Tank,Timepoint,Date,Calib.Date,Temperature,pH.MV,Salinity,Light,Flow_mL_sec,Treatment,Notes 
Tank17,1/23/21,20210123,20210122,8.01,-51,32.23,NA,NA,Acclimation,
Tank18,1/23/21,20210123,20210122,8.06,-52,32.24,NA,NA,Acclimation,
Tank1,1/24/21,20210124,20210122,8.34,-48.2,32.69,111,NA,Acclimation,
Tank2,1/24/21,20210124,20210122,8.41,-49.1,32.71,135,NA,Acclimation,
Tank3,1/24/21,20210124,20210122,8.49,-49.4,32.72,123,NA,Acclimation,
Tank4,1/24/21,20210124,20210122,8.36,-50.9,32.62,110,NA,Acclimation,
Tank5,1/24/21,20210124,20210122,8.41,-50.4,32.78,109,NA,Acclimation,
Tank6,1/24/21,20210124,20210122,8.47,-52.5,32.77,102,NA,Acclimation,
Tank7,1/24/21,20210124,20210122,8.18,-53.4,32.78,95,NA,Acclimation,
Tank8,1/24/21,20210124,20210122,8.01,-49.7,32.54,112,NA,Acclimation,
Tank9,1/24/21,20210124,20210122,8.11,-50.5,32.53,106,NA,Acclimation,
Tank10,1/24/21,20210124,20210122,7.91,-52.6,32.53,95,NA,Acclimation,
Tank11,1/24/21,20210124,20210122,8.37,-52.6,32.53,86,NA,Acclimation,
Tank12,1/24/21,20210124,20210122,8.11,-49.6,32.52,105,NA,Acclimation,
Tank15,1/24/21,20210124,20210122,7.86,-51.2,32.22,112,NA,Acclimation,
Tank16,1/24/21,20210124,20210122,7.95,-52.3,32.22,102,NA,Acclimation,
Tank17,1/24/21,20210124,20210122,8.07,-51.4,32.34,113,NA,Acclimation,
Tank18,1/24/21,20210124,20210122,8.11,-50.1,32.25,98,NA,Acclimation,
Tank1,1/25/21,20210125,20210122,8.46,-48.5,33.12,NA,NA,Acclimation,
Tank2,1/25/21,20210125,20210122,8.47,-50.2,33.03,NA,NA,Acclimation,
Tank3,1/25/21,20210125,20210122,8.49,-50.5,33.05,NA,NA,Acclimation,
Tank4,1/25/21,20210125,20210122,8.45,-52.2,32.97,NA,NA,Acclimation,
Tank5,1/25/21,20210125,20210122,8.47,-51.4,33.12,NA,NA,Acclimation,
Tank6,1/25/21,20210125,20210122,8.54,-50,33.02,NA,NA,Acclimation,
Tank7,1/25/21,20210125,20210122,8.27,-54.3,33.07,NA,NA,Acclimation,
Tank8,1/25/21,20210125,20210122,8.12,-50.4,32.78,NA,NA,Acclimation,
Tank9,1/25/21,20210125,20210122,8.41,-51.2,33.01,NA,NA,Acclimation,
Tank10,1/25/21,20210125,20210122,8.12,-50.1,32.8,NA,NA,Acclimation,
Tank11,1/25/21,20210125,20210122,8.42,-50.7,32.97,NA,NA,Acclimation,
Tank12,1/25/21,20210125,20210122,8.33,-50,32.89,NA,NA,Acclimation,
Tank15,1/25/21,20210125,20210122,8.05,-52.2,32.51,NA,NA,Acclimation,
Tank16,1/25/21,20210125,20210122,7.92,-53.6,32.51,NA,NA,Acclimation,
Tank17,1/25/21,20210125,20210122,7.98,-52.4,32.66,NA,NA,Acclimation,
Tank18,1/25/21,20210125,20210122,7.98,-51,32.58,NA,NA,Acclimation,
Tank1,1/26/21,20210126,20210126,8.37,-50.4,30.38,111,NA,Acclimation,
Tank2,1/26/21,20210126,20210126,8.43,-50.4,31.15,96,NA,Acclimation,
Tank3,1/26/21,20210126,20210126,8.45,-50.7,31.17,100,NA,Acclimation,
Tank4,1/26/21,20210126,20210126,8.37,-52.5,31.17,108,NA,Acclimation,
Tank5,1/26/21,20210126,20210126,8.52,-51.5,31.14,110,NA,Acclimation,
Tank6,1/26/21,20210126,20210126,8.37,-50.2,31.18,111,NA,Acclimation,
Tank7,1/26/21,20210126,20210126,8.36,-54.2,31.15,95,NA,Acclimation,
Tank8,1/26/21,20210126,20210126,7.92,-51.7,31.16,108,NA,Acclimation,
Tank9,1/26/21,20210126,20210126,8.21,-51.6,31.14,93,NA,Acclimation,
Tank10,1/26/21,20210126,20210126,8.17,-50.7,31.15,107,NA,Acclimation,
Tank11,1/26/21,20210126,20210126,8.21,-51.1,31.2,110,NA,Acclimation,
Tank12,1/26/21,20210126,20210126,8.11,-50.6,31.22,106,NA,Acclimation,
Tank15,1/26/21,20210126,20210126,8.04,-51.9,31.16,93,NA,Acclimation,
Tank16,1/26/21,20210126,20210126,7.97,-53.4,31.24,94,NA,Acclimation,
Tank17,1/26/21,20210126,20210126,7.77,-52.1,31.14,96,NA,Acclimation,
Tank18,1/26/21,20210126,20210126,8.09,-50.6,31.15,104,NA,Acclimation,
Tank1,1/27/21,20210127,20210126,8.38,-48.6,30.39,NA,3.47,Acclimation,
Tank2,1/27/21,20210127,20210126,8.62,-49.2,31.06,NA,10.13,Acclimation,
Tank3,1/27/21,20210127,20210126,8.32,-51.2,31.09,NA,7.93,Acclimation,
Tank4,1/27/21,20210127,20210126,8.51,-52.2,31.1,NA,12.87,Acclimation,
Tank5,1/27/21,20210127,20210126,8.46,-51.7,31.09,NA,16.73,Acclimation,
Tank6,1/27/21,20210127,20210126,8.51,-50.1,31.12,NA,9.2,Acclimation,
Tank7,1/27/21,20210127,20210126,8.32,-54,31.12,NA,6.87,Acclimation,
Tank8,1/27/21,20210127,20210126,8.01,-51.3,31.12,NA,9.07,Acclimation,
Tank9,1/27/21,20210127,20210126,8.22,-51.6,31.07,NA,14.93,Acclimation,
Tank10,1/27/21,20210127,20210126,8.08,-50.6,30.78,NA,11.53,Acclimation,
Tank11,1/27/21,20210127,20210126,8.29,-50.1,31.12,NA,8.4,Acclimation,
Tank12,1/27/21,20210127,20210126,8.25,-50.9,31.11,NA,5.07,Acclimation,
Tank15,1/27/21,20210127,20210126,7.91,-52.5,31.09,NA,6.53,Acclimation,
Tank16,1/27/21,20210127,20210126,7.99,-54,31.11,NA,5.47,Acclimation,
Tank17,1/27/21,20210127,20210126,7.73,-52.3,31.08,NA,14.07,Acclimation,
Tank18,1/27/21,20210127,20210126,7.95,-50.1,31.11,NA,8,Acclimation,
Tank1,1/28/21,20210128,20210126,9.42,-53.7,30.97,104.2,NA,Acclimation,Installed chiller
Tank2,1/28/21,20210128,20210126,9.58,-54.2,31.11,87.6,NA,Acclimation,Installed chiller
Tank3,1/28/21,20210128,20210126,8.35,-53.5,30.83,105.2,NA,Acclimation,
Tank4,1/28/21,20210128,20210126,8.55,-55.7,31.04,99.6,NA,Acclimation,
Tank5,1/28/21,20210128,20210126,7.05,-54.3,30.59,105,NA,Acclimation,Installed chiller
