Squarical,Timepoint,Date,Calib.Date,Temperature.C,pH.MV,Salinity.psu,Light,Flow.mL.sec,ParentTreatment,LarvaePresent,Notes 
Squarical6,7/30/21,20210730,20210729,22.83,-47.1,30.78,NA,NA,Ambient ,N,NA
Squarical7,7/30/21,20210730,20210729,22.81,-47.1,30.77,NA,NA,Heat,N,NA
Squarical8,7/30/21,20210730,20210729,22.78,-47.4,30.78,NA,NA,Heat,N,NA
Squarical9,7/30/21,20210730,20210729,22.79,-47.3,30.74,NA,NA,Heat,N,NA
Squarical10,7/30/21,20210730,20210729,22.89,-47.4,30.78,NA,NA,Ambient ,N,NA
Squarical1,7/31/21,20210731,20210729,22.78,-55.4,29.83,NA,NA,Heat,N,NA
Squarical2,7/31/21,20210731,20210729,22.72,-55.6,29.84,NA,NA,Ambient ,N,NA
Squarical3,7/31/21,20210731,20210729,22.72,-55.8,29.89,NA,NA,Heat,N,NA
Squarical4,7/31/21,20210731,20210729,22.73,-55.6,29.88,NA,NA,Ambient ,N,NA
Squarical5,7/31/21,20210731,20210729,22.75,-54.9,29.92,NA,NA,Ambient ,N,NA
Squarical6,7/31/21,20210731,20210729,22.71,-55.6,29.89,NA,NA,Ambient ,N,NA
Squarical7,7/31/21,20210731,20210729,22.71,-55.5,29.89,NA,NA,Heat,N,NA
Squarical8,7/31/21,20210731,20210729,22.67,-55.8,29.9,NA,NA,Heat,N,NA
Squarical9,7/31/21,20210731,20210729,22.71,-56.3,29.9,NA,NA,Heat,N,NA
Squarical10,7/31/21,20210731,20210729,22.7,-55.9,29.86,NA,NA,Ambient ,N,NA
Squarical1,8/1/21,20210801,20210729,23.26,-58.9,29.7,NA,NA,Heat,N,NA
Squarical2,8/1/21,20210801,20210729,23.22,-59.3,29.67,NA,NA,Ambient ,N,NA
Squarical3,8/1/21,20210801,20210729,23.2,-58.9,29.71,NA,NA,Heat,N,NA
Squarical4,8/1/21,20210801,20210729,23.28,-58.3,29.68,NA,NA,Ambient ,N,NA
Squarical5,8/1/21,20210801,20210729,23.33,-58.5,29.69,NA,NA,Ambient ,N,NA
Squarical6,8/1/21,20210801,20210729,23.27,-58.8,29.76,NA,NA,Ambient ,N,NA
Squarical7,8/1/21,20210801,20210729,23.27,-58.7,29.72,NA,NA,Heat,N,NA
Squarical8,8/1/21,20210801,20210729,23.28,-59.2,29.72,NA,NA,Heat,N,NA
Squarical9,8/1/21,20210801,20210729,23.35,-59.3,29.73,NA,NA,Heat,N,NA
Squarical10,8/1/21,20210801,20210729,23.3,-58.9,29.69,NA,NA,Ambient ,N,NA
