"","pair_id","miRNA","mRNA","timepoint","Ambient","Heat","cluster"
"70","Cluster_137_evm.TU.chromosome_12.3409","Cluster_137","evm.TU.chromosome_12.3409","TP5",-0.2,0,"3"
"71","Cluster_137_evm.TU.chromosome_12.3694","Cluster_137","evm.TU.chromosome_12.3694","TP5",-0.2,0.8,"1"
"72","Cluster_137_evm.TU.chromosome_12.3952","Cluster_137","evm.TU.chromosome_12.3952","TP5",-0.774596669241483,-0.2,"1"
"73","Cluster_137_evm.TU.chromosome_12.770","Cluster_137","evm.TU.chromosome_12.770","TP5",-0.948683298050514,0.8,"1"
"74","Cluster_137_evm.TU.chromosome_13.1526","Cluster_137","evm.TU.chromosome_13.1526","TP5",0.2,0,"3"
"75","Cluster_137_evm.TU.chromosome_13.2502","Cluster_137","evm.TU.chromosome_13.2502","TP5",-0.2,0.4,"1"
"76","Cluster_137_evm.TU.chromosome_13.2661","Cluster_137","evm.TU.chromosome_13.2661","TP5",-0.4,0.4,"1"
"77","Cluster_137_evm.TU.chromosome_13.275","Cluster_137","evm.TU.chromosome_13.275","TP5",-0.4,-0.8,"3"
"78","Cluster_137_evm.TU.chromosome_13.3466","Cluster_137","evm.TU.chromosome_13.3466","TP5",0,-0.4,"3"
"79","Cluster_137_evm.TU.chromosome_13.3671","Cluster_137","evm.TU.chromosome_13.3671","TP5",-0.8,0.8,"1"
"80","Cluster_137_evm.TU.chromosome_13.379","Cluster_137","evm.TU.chromosome_13.379","TP5",-0.4,0.4,"1"
"81","Cluster_137_evm.TU.chromosome_13.3827","Cluster_137","evm.TU.chromosome_13.3827","TP5",-0.210818510677892,-0.4,"3"
"82","Cluster_137_evm.TU.chromosome_13.782","Cluster_137","evm.TU.chromosome_13.782","TP5",0.948683298050514,-0.4,"2"
"83","Cluster_137_evm.TU.chromosome_13.883","Cluster_137","evm.TU.chromosome_13.883","TP5",0.316227766016838,0.210818510677892,"3"
"84","Cluster_137_evm.TU.chromosome_14.1019","Cluster_137","evm.TU.chromosome_14.1019","TP5",0.8,0.8,"2"
"85","Cluster_137_evm.TU.chromosome_14.130","Cluster_137","evm.TU.chromosome_14.130","TP5",0.4,0.737864787372622,"3"
"86","Cluster_137_evm.TU.chromosome_14.1827","Cluster_137","evm.TU.chromosome_14.1827","TP5",-0.8,-0.2,"1"
"87","Cluster_137_evm.TU.chromosome_14.2988","Cluster_137","evm.TU.chromosome_14.2988","TP5",-0.8,0.2,"1"
"88","Cluster_137_evm.TU.chromosome_14.3801","Cluster_137","evm.TU.chromosome_14.3801","TP5",-0.948683298050514,0.210818510677892,"1"
"89","Cluster_137_evm.TU.chromosome_14.434","Cluster_137","evm.TU.chromosome_14.434","TP5",-0.8,0.8,"1"
"90","Cluster_137_evm.TU.chromosome_14.4648","Cluster_137","evm.TU.chromosome_14.4648","TP5",1,-0.632455532033676,"2"
"91","Cluster_137_evm.TU.chromosome_14.467","Cluster_137","evm.TU.chromosome_14.467","TP5",-0.737864787372622,0.4,"1"
"92","Cluster_137_evm.TU.chromosome_14.5205","Cluster_137","evm.TU.chromosome_14.5205","TP5",-0.4,-0.4,"3"
