"","pair_id","miRNA","mRNA","TP0","TP5","TP7","cluster.x","cluster.y","raw_cluster","cluster"
"122","Cluster_137_evm.TU.chromosome_5.1015","Cluster_137","evm.TU.chromosome_5.1015",0.2,-0.316227766016838,0.5,"1","1","1","4"
"123","Cluster_137_evm.TU.chromosome_5.1215","Cluster_137","evm.TU.chromosome_5.1215",-0.8,0.210818510677892,-0.866025403784439,"4","4","4","1"
"124","Cluster_137_evm.TU.chromosome_5.134","Cluster_137","evm.TU.chromosome_5.134",0.6,-0.4,0.5,"1","1","1","4"
"125","Cluster_137_evm.TU.chromosome_5.138","Cluster_137","evm.TU.chromosome_5.138",0.8,0.4,-0.5,"2","2","2","3"
"126","Cluster_137_evm.TU.chromosome_5.1936","Cluster_137","evm.TU.chromosome_5.1936",0.4,0,0.866025403784439,"1","1","1","4"
"127","Cluster_137_evm.TU.chromosome_5.2173","Cluster_137","evm.TU.chromosome_5.2173",-0.8,0.2,-0.5,"4","4","4","1"
"128","Cluster_137_evm.TU.chromosome_5.2402","Cluster_137","evm.TU.chromosome_5.2402",0.8,0.2,0.5,"3","3","3","5"
"129","Cluster_137_evm.TU.chromosome_5.928","Cluster_137","evm.TU.chromosome_5.928",0.6,-0.8,0.5,"1","1","1","4"
"130","Cluster_137_evm.TU.chromosome_6.1538","Cluster_137","evm.TU.chromosome_6.1538",-0.4,-0.4,-0.5,"3","3","3","5"
"131","Cluster_137_evm.TU.chromosome_6.2824","Cluster_137","evm.TU.chromosome_6.2824",0.4,0.8,0.5,"3","3","3","5"
"132","Cluster_137_evm.TU.chromosome_6.591","Cluster_137","evm.TU.chromosome_6.591",0.8,-0.8,0.866025403784439,"1","1","1","4"
"133","Cluster_137_evm.TU.chromosome_6.906","Cluster_137","evm.TU.chromosome_6.906",-0.8,-0.4,0.5,"5","5","5","2"
"134","Cluster_137_evm.TU.chromosome_7.1106","Cluster_137","evm.TU.chromosome_7.1106",0.210818510677892,0.6,0.866025403784439,"3","3","3","5"
"135","Cluster_137_evm.TU.chromosome_7.1661","Cluster_137","evm.TU.chromosome_7.1661",-0.774596669241483,-0.258198889747161,0.866025403784439,"5","5","5","2"
"136","Cluster_137_evm.TU.chromosome_7.2087","Cluster_137","evm.TU.chromosome_7.2087",0.6,0,-0.5,"2","2","2","3"
"137","Cluster_137_evm.TU.chromosome_7.2336","Cluster_137","evm.TU.chromosome_7.2336",-0.8,-0.2,-0.5,"3","3","3","5"
"138","Cluster_137_evm.TU.chromosome_7.2590","Cluster_137","evm.TU.chromosome_7.2590",-0.4,-0.4,-0.5,"3","3","3","5"
"139","Cluster_137_evm.TU.chromosome_7.33","Cluster_137","evm.TU.chromosome_7.33",-0.6,0,0.5,"5","5","5","2"
"140","Cluster_137_evm.TU.chromosome_7.451","Cluster_137","evm.TU.chromosome_7.451",-0.4,-0.4,-0.5,"3","3","3","5"
"141","Cluster_137_evm.TU.chromosome_7.466","Cluster_137","evm.TU.chromosome_7.466",-0.6,0.8,-0.5,"4","4","4","1"
"142","Cluster_137_evm.TU.chromosome_8.1090","Cluster_137","evm.TU.chromosome_8.1090",0.6,-1,0.5,"1","1","1","4"
"143","Cluster_137_evm.TU.chromosome_8.168","Cluster_137","evm.TU.chromosome_8.168",-0.4,0.6,-1,"4","4","4","1"
"144","Cluster_137_evm.TU.chromosome_8.2168","Cluster_137","evm.TU.chromosome_8.2168",0.4,-0.4,-0.5,"2","2","2","3"
"145","Cluster_137_evm.TU.chromosome_8.2491","Cluster_137","evm.TU.chromosome_8.2491",-0.4,-1,0.5,"1","1","1","4"
"146","Cluster_137_evm.TU.chromosome_8.2587","Cluster_137","evm.TU.chromosome_8.2587",0,-0.8,0.5,"1","1","1","4"
"147","Cluster_137_evm.TU.chromosome_8.297","Cluster_137","evm.TU.chromosome_8.297",-0.8,0.737864787372622,-0.866025403784439,"4","4","4","1"
"148","Cluster_137_evm.TU.chromosome_8.810","Cluster_137","evm.TU.chromosome_8.810",-0.8,0.6,-0.5,"4","4","4","1"
"149","Cluster_137_evm.TU.chromosome_8.818","Cluster_137","evm.TU.chromosome_8.818",-0.8,-0.737864787372622,-0.5,"3","3","3","5"
"150","Cluster_137_evm.TU.chromosome_9.1561","Cluster_137","evm.TU.chromosome_9.1561",-0.4,0.4,-0.5,"4","4","4","1"
"151","Cluster_137_evm.TU.chromosome_9.2109","Cluster_137","evm.TU.chromosome_9.2109",-0.8,-0.8,-0.5,"3","3","3","5"
"152","Cluster_137_evm.TU.chromosome_9.2239","Cluster_137","evm.TU.chromosome_9.2239",0,-1,-0.5,"2","2","2","3"
"153","Cluster_137_evm.TU.chromosome_9.422","Cluster_137","evm.TU.chromosome_9.422",-0.8,-0.316227766016838,-0.5,"3","3","3","5"
"154","Cluster_137_evm.TU.chromosome_9.470","Cluster_137","evm.TU.chromosome_9.470",0.8,-0.737864787372622,-0.866025403784439,"2","2","2","3"
"155","Cluster_137_evm.TU.chromosome_9.478","Cluster_137","evm.TU.chromosome_9.478",-0.6,0.316227766016838,-0.5,"4","4","4","1"
"156","Cluster_137_evm.TU.chromosome_9.593","Cluster_137","evm.TU.chromosome_9.593",-0.4,0.2,0.5,"5","5","5","2"
"157","Cluster_1411_evm.TU.chromosome_1.1075","Cluster_1411","evm.TU.chromosome_1.1075",0.2,-0.2,0.5,"1","1","1","4"
"158","Cluster_1411_evm.TU.chromosome_1.1229","Cluster_1411","evm.TU.chromosome_1.1229",-0.4,0.2,1,"5","5","5","2"
"159","Cluster_1411_evm.TU.chromosome_1.1366","Cluster_1411","evm.TU.chromosome_1.1366",-0.4,0.8,1,"5","5","5","2"
"160","Cluster_1411_evm.TU.chromosome_1.871","Cluster_1411","evm.TU.chromosome_1.871",0.4,0.8,1,"3","3","3","5"
"161","Cluster_1411_evm.TU.chromosome_10.1471","Cluster_1411","evm.TU.chromosome_10.1471",0.2,0.8,1,"5","5","5","2"
"162","Cluster_1411_evm.TU.chromosome_10.2094","Cluster_1411","evm.TU.chromosome_10.2094",1,-0.6,1,"1","1","1","4"
"163","Cluster_1411_evm.TU.chromosome_10.2395","Cluster_1411","evm.TU.chromosome_10.2395",0.8,0.8,-0.5,"4","4","4","1"
"164","Cluster_1411_evm.TU.chromosome_10.2704","Cluster_1411","evm.TU.chromosome_10.2704",0.2,-0.4,1,"1","1","1","4"
"165","Cluster_1411_evm.TU.chromosome_10.3000","Cluster_1411","evm.TU.chromosome_10.3000",0,-0.4,1,"1","1","1","4"
"166","Cluster_1411_evm.TU.chromosome_10.400","Cluster_1411","evm.TU.chromosome_10.400",-0.4,-0.8,0.5,"1","1","1","4"
"167","Cluster_1411_evm.TU.chromosome_11.1073","Cluster_1411","evm.TU.chromosome_11.1073",-0.8,0.4,0.5,"5","5","5","2"
"168","Cluster_1411_evm.TU.chromosome_11.1151","Cluster_1411","evm.TU.chromosome_11.1151",-0.8,0.4,-1,"4","4","4","1"
"169","Cluster_1411_evm.TU.chromosome_11.587","Cluster_1411","evm.TU.chromosome_11.587",-0.4,0.8,1,"5","5","5","2"
"170","Cluster_1411_evm.TU.chromosome_11.65","Cluster_1411","evm.TU.chromosome_11.65",-0.2,0.8,1,"5","5","5","2"
"171","Cluster_1411_evm.TU.chromosome_11.959","Cluster_1411","evm.TU.chromosome_11.959",0.4,0.6,1,"3","3","3","5"
"172","Cluster_1411_evm.TU.chromosome_12.1048","Cluster_1411","evm.TU.chromosome_12.1048",0.6,0.774596669241483,1,"3","3","3","5"
"173","Cluster_1411_evm.TU.chromosome_12.113","Cluster_1411","evm.TU.chromosome_12.113",-0.6,-0.4,-1,"3","3","3","5"
"174","Cluster_1411_evm.TU.chromosome_12.1925","Cluster_1411","evm.TU.chromosome_12.1925",0.6,0.6,1,"3","3","3","5"
"175","Cluster_1411_evm.TU.chromosome_12.2115","Cluster_1411","evm.TU.chromosome_12.2115",-0.6,-0.2,0.5,"5","5","5","2"
"176","Cluster_1411_evm.TU.chromosome_12.215","Cluster_1411","evm.TU.chromosome_12.215",1,-0.8,-0.5,"2","2","2","3"
"177","Cluster_1411_evm.TU.chromosome_12.2471","Cluster_1411","evm.TU.chromosome_12.2471",-0.258198889747161,-0.6,0.5,"1","1","1","4"
"178","Cluster_1411_evm.TU.chromosome_12.2488","Cluster_1411","evm.TU.chromosome_12.2488",-0.4,-0.2,1,"5","5","5","2"
"179","Cluster_1411_evm.TU.chromosome_12.3298","Cluster_1411","evm.TU.chromosome_12.3298",-0.8,0,0,"5","5","5","2"
"180","Cluster_1411_evm.TU.chromosome_12.920","Cluster_1411","evm.TU.chromosome_12.920",-0.8,0.316227766016838,0.866025403784439,"5","5","5","2"
"181","Cluster_1411_evm.TU.chromosome_13.108","Cluster_1411","evm.TU.chromosome_13.108",-0.2,0.2,1,"5","5","5","2"
"182","Cluster_1411_evm.TU.chromosome_13.1257","Cluster_1411","evm.TU.chromosome_13.1257",0,-0.4,0.5,"1","1","1","4"
"183","Cluster_1411_evm.TU.chromosome_13.1419","Cluster_1411","evm.TU.chromosome_13.1419",-0.8,-0.2,1,"5","5","5","2"
"184","Cluster_1411_evm.TU.chromosome_13.1635","Cluster_1411","evm.TU.chromosome_13.1635",0.8,0.2,0.5,"3","3","3","5"
"185","Cluster_1411_evm.TU.chromosome_13.1989","Cluster_1411","evm.TU.chromosome_13.1989",0.4,0.4,-0.5,"4","4","4","1"
"186","Cluster_1411_evm.TU.chromosome_13.2149","Cluster_1411","evm.TU.chromosome_13.2149",-0.316227766016838,0.316227766016838,1,"5","5","5","2"
"187","Cluster_1411_evm.TU.chromosome_13.2426","Cluster_1411","evm.TU.chromosome_13.2426",0,0.774596669241483,0.5,"3","3","3","5"
