"","pair_id","miRNA","mRNA","timepoint","Ambient","Heat","cluster"
"154","Cluster_137_evm.TU.chromosome_5.2173","Cluster_137","evm.TU.chromosome_5.2173","TP7",-0.5,-0.737864787372622,"1"
"155","Cluster_137_evm.TU.chromosome_5.2402","Cluster_137","evm.TU.chromosome_5.2402","TP7",0.5,-0.737864787372622,"2"
"156","Cluster_137_evm.TU.chromosome_5.762","Cluster_137","evm.TU.chromosome_5.762","TP7",0.5,-0.6,"2"
"157","Cluster_137_evm.TU.chromosome_5.928","Cluster_137","evm.TU.chromosome_5.928","TP7",0.5,0,"2"
"158","Cluster_137_evm.TU.chromosome_6.1538","Cluster_137","evm.TU.chromosome_6.1538","TP7",-0.5,-0.737864787372622,"1"
"159","Cluster_137_evm.TU.chromosome_6.591","Cluster_137","evm.TU.chromosome_6.591","TP7",0.866025403784439,-0.948683298050514,"2"
"160","Cluster_137_evm.TU.chromosome_6.906","Cluster_137","evm.TU.chromosome_6.906","TP7",0.5,-0.948683298050514,"2"
"161","Cluster_137_evm.TU.chromosome_7.1106","Cluster_137","evm.TU.chromosome_7.1106","TP7",0.866025403784439,0.632455532033676,"2"
"162","Cluster_137_evm.TU.chromosome_7.1661","Cluster_137","evm.TU.chromosome_7.1661","TP7",0.866025403784439,-0.258198889747161,"2"
"163","Cluster_137_evm.TU.chromosome_7.2087","Cluster_137","evm.TU.chromosome_7.2087","TP7",-0.5,-0.948683298050514,"1"
"164","Cluster_137_evm.TU.chromosome_7.2336","Cluster_137","evm.TU.chromosome_7.2336","TP7",-0.5,-0.4,"1"
"165","Cluster_137_evm.TU.chromosome_7.2590","Cluster_137","evm.TU.chromosome_7.2590","TP7",-0.5,-0.2,"1"
"166","Cluster_137_evm.TU.chromosome_7.33","Cluster_137","evm.TU.chromosome_7.33","TP7",0.5,0.4,"2"
"167","Cluster_137_evm.TU.chromosome_7.451","Cluster_137","evm.TU.chromosome_7.451","TP7",-0.5,-0.948683298050514,"1"
"168","Cluster_137_evm.TU.chromosome_7.466","Cluster_137","evm.TU.chromosome_7.466","TP7",-0.5,0.4,"3"
"169","Cluster_137_evm.TU.chromosome_8.2168","Cluster_137","evm.TU.chromosome_8.2168","TP7",-0.5,0,"1"
"170","Cluster_137_evm.TU.chromosome_8.2491","Cluster_137","evm.TU.chromosome_8.2491","TP7",0.5,-0.4,"2"
"171","Cluster_137_evm.TU.chromosome_8.2587","Cluster_137","evm.TU.chromosome_8.2587","TP7",0.5,-0.4,"2"
"172","Cluster_137_evm.TU.chromosome_8.297","Cluster_137","evm.TU.chromosome_8.297","TP7",-0.866025403784439,0.774596669241483,"3"
"173","Cluster_137_evm.TU.chromosome_8.810","Cluster_137","evm.TU.chromosome_8.810","TP7",-0.5,1,"3"
"174","Cluster_137_evm.TU.chromosome_8.818","Cluster_137","evm.TU.chromosome_8.818","TP7",-0.5,-0.4,"1"
"175","Cluster_137_evm.TU.chromosome_9.1561","Cluster_137","evm.TU.chromosome_9.1561","TP7",-0.5,-0.737864787372622,"1"
"176","Cluster_137_evm.TU.chromosome_9.2109","Cluster_137","evm.TU.chromosome_9.2109","TP7",-0.5,-0.8,"1"
"177","Cluster_137_evm.TU.chromosome_9.2239","Cluster_137","evm.TU.chromosome_9.2239","TP7",-0.5,-0.737864787372622,"1"
"178","Cluster_137_evm.TU.chromosome_9.422","Cluster_137","evm.TU.chromosome_9.422","TP7",-0.5,-0.8,"1"
"179","Cluster_137_evm.TU.chromosome_9.470","Cluster_137","evm.TU.chromosome_9.470","TP7",-0.866025403784439,-0.774596669241483,"1"
"180","Cluster_137_evm.TU.chromosome_9.478","Cluster_137","evm.TU.chromosome_9.478","TP7",-0.5,0.8,"3"
"181","Cluster_137_evm.TU.chromosome_9.593","Cluster_137","evm.TU.chromosome_9.593","TP7",0.5,-0.4,"2"
"182","Cluster_1411_evm.TU.chromosome_1.1075","Cluster_1411","evm.TU.chromosome_1.1075","TP7",0.5,0.2,"2"
"183","Cluster_1411_evm.TU.chromosome_1.1229","Cluster_1411","evm.TU.chromosome_1.1229","TP7",1,-0.8,"2"
"184","Cluster_1411_evm.TU.chromosome_1.1366","Cluster_1411","evm.TU.chromosome_1.1366","TP7",1,-1,"2"
"185","Cluster_1411_evm.TU.chromosome_1.1813","Cluster_1411","evm.TU.chromosome_1.1813","TP7",1,1,"2"
"186","Cluster_1411_evm.TU.chromosome_1.871","Cluster_1411","evm.TU.chromosome_1.871","TP7",1,-0.105409255338946,"2"
"187","Cluster_1411_evm.TU.chromosome_10.1471","Cluster_1411","evm.TU.chromosome_10.1471","TP7",1,-0.2,"2"
"188","Cluster_1411_evm.TU.chromosome_10.2094","Cluster_1411","evm.TU.chromosome_10.2094","TP7",1,0.4,"2"
"189","Cluster_1411_evm.TU.chromosome_10.2301","Cluster_1411","evm.TU.chromosome_10.2301","TP7",0.5,0.8,"2"
"190","Cluster_1411_evm.TU.chromosome_10.2395","Cluster_1411","evm.TU.chromosome_10.2395","TP7",-0.5,0.2,"1"
"191","Cluster_1411_evm.TU.chromosome_10.2704","Cluster_1411","evm.TU.chromosome_10.2704","TP7",1,0.2,"2"
"192","Cluster_1411_evm.TU.chromosome_10.3000","Cluster_1411","evm.TU.chromosome_10.3000","TP7",1,-0.8,"2"
"193","Cluster_1411_evm.TU.chromosome_10.400","Cluster_1411","evm.TU.chromosome_10.400","TP7",0.5,0.8,"2"
"194","Cluster_1411_evm.TU.chromosome_11.1073","Cluster_1411","evm.TU.chromosome_11.1073","TP7",0.5,-0.4,"2"
"195","Cluster_1411_evm.TU.chromosome_11.1151","Cluster_1411","evm.TU.chromosome_11.1151","TP7",-1,0.6,"3"
"196","Cluster_1411_evm.TU.chromosome_11.587","Cluster_1411","evm.TU.chromosome_11.587","TP7",1,0.105409255338946,"2"
"197","Cluster_1411_evm.TU.chromosome_11.65","Cluster_1411","evm.TU.chromosome_11.65","TP7",1,0,"2"
"198","Cluster_1411_evm.TU.chromosome_11.959","Cluster_1411","evm.TU.chromosome_11.959","TP7",1,-0.8,"2"
"199","Cluster_1411_evm.TU.chromosome_12.1048","Cluster_1411","evm.TU.chromosome_12.1048","TP7",1,0.105409255338946,"2"
"200","Cluster_1411_evm.TU.chromosome_12.113","Cluster_1411","evm.TU.chromosome_12.113","TP7",-1,0.8,"3"
"201","Cluster_1411_evm.TU.chromosome_12.1925","Cluster_1411","evm.TU.chromosome_12.1925","TP7",1,-1,"2"
"202","Cluster_1411_evm.TU.chromosome_12.2115","Cluster_1411","evm.TU.chromosome_12.2115","TP7",0.5,0.105409255338946,"2"
"203","Cluster_1411_evm.TU.chromosome_12.215","Cluster_1411","evm.TU.chromosome_12.215","TP7",-0.5,-0.4,"1"
