"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"::chromosome_2:6073914-6084823",30.1526331930669,-1.68021106300298,0.522948342418359,-3.21295800505437,0.00131375497268694,0.0313271382773736,55,44,35,2,20,71,18,6,18,76,47,37,136,85,11,36,91,10,4
"::chromosome_2:8191590-8194022",29.6148555985674,-3.583746212918,0.870016365023931,-4.11917103745447,3.80237839048444e-05,0.00261541973075214,57,5,82,10,0,17,22,23,48,84,29,2,24,66,10,49,133,2,1
"::chromosome_11:24992438-24994671",139.62039309163,-1.40157258557746,0.395549711150724,-3.54335383408582,0.000395072244389628,0.0142473927809741,203,253,151,49,29,139,185,77,172,272,90,136,288,388,69,361,261,32,16
"::chromosome_5:7401577-7408123",645.130740347371,-1.05108995660353,0.305561435220249,-3.43986457533785,0.000582005328939273,0.0185481662523312,1272,1118,868,87,138,1156,522,586,1130,1304,850,797,1308,1004,219,1032,943,283,165
"::chromosome_12:20178832-20200521",437.3409867892,-1.73353813871077,0.524220412561183,-3.30688789900651,0.000943386365203543,0.0247152355981083,694,126,774,137,65,538,159,751,614,787,442,222,634,335,86,850,429,230,69
"::chromosome_5:9358192-9360361",11180.2350030576,-1.84396860333318,0.36428151083417,-5.0619330064561,4.15026873053656e-07,9.35911866259605e-05,22584,8456,16218,2414,2304,19033,6100,5307,20905,18719,11373,12071,33162,18915,5375,20592,14900,3723,3354
"::chromosome_12:40809033-40828854",206.699227453354,-1.62573561437568,0.377404251477105,-4.30767700155148,1.64978063350766e-05,0.00146223094457408,405,172,315,34,25,323,242,213,536,512,297,126,409,204,90,377,395,72,29
"::chromosome_9:20711253-20714957",23.7854173209656,-1.52097424871552,0.464291704002286,-3.2759022735156,0.00105324999281105,0.026680492691946,56,36,24,0,4,46,18,21,69,28,40,27,56,64,9,48,36,13,4
"::chromosome_13:35378409-35378929",64.1996544589611,-5.0855795310348,1.59106663426392,-3.19633346681772,0.00139186147691239,0.0326844607431995,17,0,38,89,2,19,2,35,5,7,49,1,6,10,29,11,54,22,0
"::chromosome_4:1597931-1606422",112.094503369295,0.723616095596932,0.227122674446091,3.18601433063296,0.00144247451939367,0.033420089106095,179,477,100,10,111,231,311,66,191,263,121,321,186,177,22,208,153,15,25
"::chromosome_11:2909395-2914537",158.411816421576,-3.48315305451686,0.601980291956254,-5.78615795410456,7.20145023008197e-09,5.11272977961112e-06,92,34,263,65,18,443,17,61,468,860,101,15,418,131,19,297,308,33,19
"::chromosome_13:23179352-23223536",275.973740634027,-2.24803002044242,0.605318552389081,-3.71379666387203,0.000204172864702014,0.00884997465855565,137,180,281,98,84,440,246,222,517,253,166,203,965,355,316,268,410,73,31
"::chromosome_9:22890910-22896387",104.439643760153,-1.97787621014228,0.543629306609536,-3.63828106044861,0.000274463809575676,0.0107987601949781,538,113,129,3,31,238,70,16,283,430,118,41,202,289,26,222,261,29,11
"::chromosome_4:26455942-26485142",267.449547148995,1.0253253654384,0.294792495469368,3.47812573656558,0.000504933012077023,0.0168452839141426,354,1297,164,32,359,782,702,100,604,471,338,783,393,293,60,379,396,49,43
"::chromosome_10:23694768-23705148",252.468059558485,-0.975262301620139,0.280902241890416,-3.47189219657635,0.000516803823760477,0.0171131229001727,421,427,455,22,141,656,227,181,601,304,341,295,612,589,85,384,362,57,64
"::chromosome_6:7395402-7398429",45.11503946661,-1.28709693883318,0.381987435516967,-3.3694745406777,0.000753116481052417,0.0216051048469385,123,87,48,2,23,85,46,29,127,138,37,35,152,87,17,88,90,5,12
"::chromosome_14:56235929-56236334",302.239850359102,2.2013178696973,0.570203778285078,3.86058099495218,0.000113117736155835,0.00572497860686423,270,2272,159,59,211,356,1538,41,204,443,126,1109,215,97,59,591,271,200,48
"::chromosome_12:32950317-32953708",137.121642607108,-2.16718987812563,0.656058596956271,-3.30334803656278,0.00095537734382893,0.0248831102051351,363,52,461,8,19,492,148,14,239,460,170,21,213,228,46,324,278,43,13
"::chromosome_13:16601056-16603804",8.9800858128959,-3.50126678469832,1.05561618428483,-3.31679907604901,0.000910550735495944,0.0241032115198518,16,3,33,2,1,24,1,3,15,4,21,2,6,18,10,2,5,4,0
"::chromosome_6:3204619-3205672",488.875657583929,-1.60480613134856,0.457042878622013,-3.51128134013828,0.000445952164725899,0.0153406724254784,2081,797,636,35,93,667,335,88,1128,1575,756,236,892,733,124,1562,1225,119,128
"::chromosome_7:14044990-14056488",347.469661976254,2.02891170912489,0.631981668255612,3.21039645774072,0.00132552013300699,0.0314017834701058,471,2453,34,5,1052,688,1260,32,553,426,466,1645,413,308,120,457,256,18,42
"::chromosome_10:32306100-32330732",311.516786542227,0.803342747325663,0.263566678812191,3.0479677891988,0.00230394621829359,0.0459114114976514,448,986,297,35,337,785,914,279,499,430,305,890,388,470,89,385,340,76,63
"::chromosome_4:27119145-27126006",938.47750937882,0.990530289838782,0.235048132369007,4.2141593717653,2.50710212724793e-05,0.00201189299085234,1278,4380,607,51,1211,2192,3166,469,1592,1528,1380,3661,1459,1193,336,1314,1285,123,136
"::chromosome_9:3203496-3208484",89.4533770223256,2.00000335693717,0.401044125393013,4.98699078306463,6.1326989814337e-07,0.000124252043627596,81,844,37,3,128,120,512,19,162,97,128,463,65,126,20,95,104,9,8
"::chromosome_11:19343466-19351471",67.8237204556349,0.924734603710281,0.277946903972139,3.32701890359237,0.000877804184646638,0.0236476874986764,112,302,37,7,71,122,229,45,114,109,59,274,107,87,17,108,116,17,7
"::chromosome_1:8272305-8273673",23.3587695457661,-5.23925697328541,1.5364947009274,-3.40987636997583,0.000649923335819355,0.0196243800468166,18,1,5,24,1,0,0,6,1,4,5,3,5,5,31,4,34,16,1
