#,Date-Time (EST),Ch: 1 - Temperature  °C (°C),Ch: 2 - Light  lux (lux),Button Down,Button Up,Host Connected,End of File
300,02/08/2021 21:50:00,5.53,119,,,,
301,02/08/2021 22:00:00,5.53,0,,,,
302,02/08/2021 22:10:00,5.10,0,,,,
303,02/08/2021 22:20:00,4.72,0,,,,
304,02/08/2021 22:30:00,4.50,0,,,,
305,02/08/2021 22:40:00,4.29,0,,,,
306,02/08/2021 22:50:00,4.72,0,,,,
307,02/08/2021 23:00:00,4.97,0,,,,
308,02/08/2021 23:10:00,5.27,0,,,,
309,02/08/2021 23:20:00,5.40,0,,,,
310,02/08/2021 23:30:00,5.57,0,,,,
311,02/08/2021 23:40:00,5.70,0,,,,
312,02/08/2021 23:50:00,5.27,0,,,,
313,02/09/2021 00:00:00,4.76,0,,,,
314,02/09/2021 00:10:00,4.42,0,,,,
315,02/09/2021 00:20:00,4.42,0,,,,
316,02/09/2021 00:30:00,4.72,0,,,,
317,02/09/2021 00:40:00,5.02,0,,,,
318,02/09/2021 00:50:00,5.19,0,,,,
319,02/09/2021 01:00:00,5.36,0,,,,
320,02/09/2021 01:10:00,5.45,0,,,,
321,02/09/2021 01:20:00,5.53,0,,,,
322,02/09/2021 01:30:00,5.57,0,,,,
323,02/09/2021 01:40:00,5.57,0,,,,
324,02/09/2021 01:50:00,5.62,0,,,,
325,02/09/2021 02:00:00,5.66,0,,,,
326,02/09/2021 02:10:00,5.66,0,,,,
327,02/09/2021 02:20:00,5.70,0,,,,
328,02/09/2021 02:30:00,5.75,0,,,,
329,02/09/2021 02:40:00,5.70,0,,,,
330,02/09/2021 02:50:00,5.70,0,,,,
331,02/09/2021 03:00:00,5.66,0,,,,
332,02/09/2021 03:10:00,5.66,0,,,,
333,02/09/2021 03:20:00,5.66,0,,,,
334,02/09/2021 03:30:00,5.66,0,,,,
335,02/09/2021 03:40:00,5.70,0,,,,
336,02/09/2021 03:50:00,5.75,0,,,,
337,02/09/2021 04:00:00,5.19,0,,,,
338,02/09/2021 04:10:00,4.63,0,,,,
339,02/09/2021 04:20:00,4.29,0,,,,
340,02/09/2021 04:30:00,4.50,0,,,,
341,02/09/2021 04:40:00,4.80,0,,,,
342,02/09/2021 04:50:00,5.02,0,,,,
343,02/09/2021 05:00:00,5.23,0,,,,
344,02/09/2021 05:10:00,5.45,0,,,,
345,02/09/2021 05:20:00,5.57,0,,,,
346,02/09/2021 05:30:00,5.62,0,,,,
347,02/09/2021 05:40:00,5.75,0,,,,
348,02/09/2021 05:50:00,5.57,0,,,,
349,02/09/2021 06:00:00,5.06,0,,,,
350,02/09/2021 06:10:00,4.59,102,,,,
351,02/09/2021 06:20:00,4.37,211,,,,
352,02/09/2021 06:30:00,4.42,314,,,,
353,02/09/2021 06:40:00,4.89,415,,,,
354,02/09/2021 06:50:00,5.19,527,,,,
355,02/09/2021 07:00:00,5.45,633,,,,
356,02/09/2021 07:10:00,5.62,739,,,,
357,02/09/2021 07:20:00,5.62,874,,,,
358,02/09/2021 07:30:00,5.10,1073,,,,
359,02/09/2021 07:40:00,4.72,1282,,,,
360,02/09/2021 07:50:00,4.54,1465,,,,
361,02/09/2021 08:00:00,4.37,1661,,,,
362,02/09/2021 08:10:00,4.37,1866,,,,
363,02/09/2021 08:20:00,4.89,2041,,,,
364,02/09/2021 08:30:00,5.23,2220,,,,
365,02/09/2021 08:40:00,5.57,2406,,,,
366,02/09/2021 08:50:00,5.66,2599,,,,
367,02/09/2021 09:00:00,5.15,2774,,,,
368,02/09/2021 09:10:00,4.93,2925,,,,
369,02/09/2021 09:20:00,4.67,3117,,,,
370,02/09/2021 09:30:00,4.46,3293,,,,
371,02/09/2021 09:40:00,4.42,3457,,,,
372,02/09/2021 09:50:00,4.89,3629,,,,
373,02/09/2021 10:00:00,5.23,3763,,,,
374,02/09/2021 10:10:00,5.49,3800,,,,
375,02/09/2021 10:20:00,5.66,3786,,,,
376,02/09/2021 10:30:00,5.57,3790,,,,
377,02/09/2021 10:40:00,5.15,3793,,,,
378,02/09/2021 10:50:00,4.72,3793,,,,
379,02/09/2021 11:00:00,4.50,3796,,,,
380,02/09/2021 11:10:00,4.46,3796,,,,
381,02/09/2021 11:20:00,4.89,3793,,,,
382,02/09/2021 11:30:00,5.23,3786,,,,
383,02/09/2021 11:40:00,5.40,3786,,,,
384,02/09/2021 11:50:00,5.62,3786,,,,
385,02/09/2021 12:00:00,5.70,3800,,,,
386,02/09/2021 12:10:00,5.57,3679,,,,
387,02/09/2021 12:20:00,5.10,3873,,,,
388,02/09/2021 12:30:00,4.72,3880,,,,
389,02/09/2021 12:40:00,4.46,4012,,,,
390,02/09/2021 12:50:00,4.54,3867,,,,
391,02/09/2021 13:00:00,4.93,3873,,,,
392,02/09/2021 13:10:00,5.19,3873,,,,
393,02/09/2021 13:20:00,5.36,3877,,,,
394,02/09/2021 13:30:00,5.53,3871,,,,
395,02/09/2021 13:40:00,5.62,3867,,,,
396,02/09/2021 13:50:00,5.75,3871,,,,
397,02/09/2021 14:00:00,5.45,3873,,,,
