,kallisto.trimmed.AST-1065_R1_001.fastq.gz,kallisto.trimmed.AST-1105_R1_001.fastq.gz,kallisto.trimmed.AST-1147_R1_001.fastq.gz,kallisto.trimmed.AST-1412_R1_001.fastq.gz,kallisto.trimmed.AST-1560_R1_001.fastq.gz,kallisto.trimmed.AST-1567_R1_001.fastq.gz,kallisto.trimmed.AST-1617_R1_001.fastq.gz,kallisto.trimmed.AST-1722_R1_001.fastq.gz,kallisto.trimmed.AST-2000_R1_001.fastq.gz,kallisto.trimmed.AST-2007_R1_001.fastq.gz,kallisto.trimmed.AST-2302_R1_001.fastq.gz,kallisto.trimmed.AST-2360_R1_001.fastq.gz,kallisto.trimmed.AST-2398_R1_001.fastq.gz,kallisto.trimmed.AST-2404_R1_001.fastq.gz,kallisto.trimmed.AST-2412_R1_001.fastq.gz,kallisto.trimmed.AST-2512_R1_001.fastq.gz,kallisto.trimmed.AST-2523_R1_001.fastq.gz,kallisto.trimmed.AST-2563_R1_001.fastq.gz,kallisto.trimmed.AST-2729_R1_001.fastq.gz,kallisto.trimmed.AST-2755_R1_001.fastq.gz
::chromosome_12:9146271-9146520,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0
::chromosome_5:8205081-8206551,3,0,5,0,0,0,0,0,0,0,1,0,0,1,2,4,0,0,0,0
::chromosome_1:10398095-10408451,423,0,569,56,14,115,384,250,44,435,347,189,286,446,317,69,307,370,5,40
::chromosome_13:15104324-15114726,115.083,0,164.555,135.413,51.6291,116.654,264.912,222.489,518.621,285.677,129.587,51.0015,263.166,119.598,89.3844,31.8354,100.824,146.546,67.8066,3.88116
::chromosome_2:2516167-2516524,6,0,10,0,0,8,7.94824,33.9186,0,8,9,7.85626,11,7,9,0,7,1,0,0
::chromosome_3:12793379-12793620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_14:18704037-18716041,7.0005,0,15.0673,8.13736,0,8.18293,8.03434,22.0474,115.997,22.0626,14.1124,5.19393,5.01549,9.08042,8.02516,0,5.02895,11.2184,0,0
::chromosome_9:10525991-10538356,61.0092,0,59.4292,4.04789,3.22029,25.5724,46.5451,24.8139,6.06521,32.7299,8.04124,9.23736,37.611,63.7895,26.5464,9.0436,41.1398,37.0745,6,21.7662
::chromosome_4:14781888-14790592,229.219,0,502.436,166.186,8,154.743,326.486,406.986,42.3258,336.626,307.743,213.973,409.948,226.746,210.535,58.7672,249.169,274.574,24.1042,10.1052
::chromosome_4:2890094-2899435,138.917,0,158.513,103.319,9,36.7054,156.399,174.416,68.8168,460.476,103.152,63.6173,152.14,213.012,255.597,37.1785,85.4994,180.308,35.2974,21.9875
::chromosome_11:16413344-16413817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_14:21228886-21235998,5.59212,0,9.15013,3.7952,0,6.64663,2.26003,6.00952,13,8.55568,5.01383,7.04062,6,33.1004,6.01715,0,1.00207,2.00974,0,0
::chromosome_3:21398195-21398864,1,0,0,1.12168,0,5,0,0,0,3.35741,0,0,0,0,0,0,0,0,0,0
::chromosome_4:12950568-12954874,56.2121,0,171.756,76.0178,14,66.6367,98.5251,86.0131,83.7843,71.3665,90.4482,63.3741,73.7431,112.514,133.267,27.1002,70.5346,86.2777,22,6.00809
::chromosome_3:9136191-9150643,156.359,0,578.478,90.3949,9.68905,148.127,334.198,199.852,74.1784,321.46,262.058,128.844,293.688,282.727,279.933,55.8377,206.913,182.889,10.3322,19.0277
::chromosome_10:30771857-30788104,1354.06,0,10701,559.762,70.1144,1082.06,985.627,1623.61,97.6795,1774.02,3450.75,600.612,1867.82,1195.11,1511.33,426.583,1433.95,2369.83,138.652,136.507
::chromosome_1:10160628-10163582,414.176,0,235,515.93,22,111,220.003,194,131.669,562.784,644,319.108,158,333.783,453,202.821,254,510.635,113,48
::chromosome_8:17308836-17311744,16.4471,0,40.5815,2.34876,5,7,16.0093,144.826,48.2275,5.19281,2.92515,0,53.4574,22.269,22.3209,0,18.7426,1.11197,0,0
::chromosome_12:10452318-10465572,1027.25,0,1330,677.278,58,209.954,1341.04,1101.74,334.342,1513.81,1577.16,898.551,1334.87,1174.38,1359.48,248.686,1420.73,1019.22,140.247,110.24
::chromosome_9:21868450-21868942,0.447368,0,0,0,0,0.555242,0,1.2634,0,0,3.72384,0,0,0,2.61397,3.20142,0,0,0,0
::chromosome_12:9494713-9499057,97,0,334.904,72,14.6471,88,141.197,344,40,103.445,128.981,97,218,58.3595,80,14,127.299,58,9.40594,5
::chromosome_9:22450289-22458388,446.006,0,574.946,96.9024,74.4284,114.54,300.304,233.424,164.583,471.629,281.677,286.47,631.064,303.811,291.551,89.8991,277.092,506.632,76.8378,26.1609
::chromosome_8:3700326-3700920,12,0,11,1,0,9,7,6,0,16,5,0,3,70,6,1,13,9,0,2
::chromosome_1:7727319-7729094,0,0,4.07629,3.34689,0,2.00338,4.00476,10.007,0,4.03139,2.00371,0,2.08869,0,0,0,1.05095,8.02224,0,1
::chromosome_4:12825786-12826518,674,0,1127,215,11,234,803,823,82,831,767,590,985,531,556,76,658,470,18,40
::chromosome_14:20936497-20941856,11.6537,0,20.2138,4.0044,0,4.03101,24.3162,7.03372,9.37625,4.07566,8.00479,3.01343,0,49.1976,61.7239,1,47.0214,2.00275,2,2
::chromosome_4:1592334-1595278,471.234,0,1679.88,490.754,37,438.036,674.431,321.886,119.772,674.838,334.222,339.1,1770.96,389.172,394.716,100.015,315.857,322.475,113,53.8389
::chromosome_12:38136901-38162561,0,0,0.000423688,0,0,0,0,0,0,0,0,3.20E-05,0,0,0,0,0,0,0,5.78444
::chromosome_13:11561379-11564384,1116.17,0,2595.6,811.077,44,620.678,1296.77,2262.24,269.945,911.217,889.053,616.817,1610.48,901.578,958.252,134.48,795.354,695.579,129.433,102.164
::chromosome_11:2391387-2392554,12,0,17,9,0,3,8,0,6,1,22,6,2,9,2,0,8,39,0,0
::chromosome_11:6871485-6893419,286.317,0,367.753,24.6373,16.3428,119.053,213.04,180.469,39.26,223.639,192.426,102.146,211.529,324.679,208.292,23.3168,216.443,124.897,9.44385,18.4494
::chromosome_10:31366675-31371641,92.6085,0,140.599,47.2958,9,47.9114,77.9097,75.4097,104.618,100.059,47.9797,62.8703,87.3013,107.416,108.262,8,133.469,86.3963,12,6
::chromosome_6:26438176-26445049,68.8748,0,52.6617,20.8106,2.17901,26.1037,71.4425,38.0046,16.8396,75.6702,49.6951,28.9781,34.5953,65.3533,59.3274,6.06256,32.9357,47.5437,10,6.15331
::chromosome_2:16578039-16579492,0,0,1,0,0,1.25722,0,2,0,5,0,12,0,5.37674,0,0,0,0,0,0
::chromosome_5:26621391-26636142,34.6068,0,50.8502,15.3608,3,54.4476,258.176,29.4788,8.03978,114.25,98.6632,35.4782,38.726,20.0634,41.1906,11.0893,103.313,112.173,7.12509,5.12099
::chromosome_4:8654086-8666144,689.389,0,456.645,406.452,31.0295,34.0418,207.66,230.309,137.116,782.5,314.641,321.205,446.205,276.808,644.624,56.4821,458.674,354.191,83.1359,34.5843
::chromosome_12:32419054-32425101,97.1263,0,275.528,139.619,17,112.136,146.328,508.903,130.117,119.595,123.996,131.091,461.333,124.036,106.212,44.1602,116.992,110.234,23.5856,16.0158
::chromosome_12:12066870-12067890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
::chromosome_3:5931346-5931911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_8:28908259-28916147,21.0599,0,192.255,164.494,13.5615,36.9521,73.1433,195.956,65.8668,208.279,441.061,39.5967,243.504,266.369,248.641,10.7714,142.311,249.398,62.2114,44.5759
::chromosome_1:19283842-19289248,92.1943,0,117.134,10.0018,1,26.7887,47.3479,41.0235,1,75.0275,51.8532,32,52.0176,123.143,58.2181,9.13152,40.0182,27.0263,5,2.00349
::chromosome_13:4186805-4192211,226.897,0,251.011,51.3876,6,69.5441,163.771,161.577,50.4267,153.027,120.541,60.1492,160.509,172.049,141.43,10.0288,112.029,73.5036,12.7272,10.1251
::chromosome_13:24268039-24279956,353.719,0,543.815,76.1684,13,156.024,325.053,455.558,47.5537,343.35,432.507,242.884,437.836,417.479,317.688,70.6452,279.428,273.661,9.51365,15
::chromosome_14:39432563-39432932,0,0,0,0,0,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0
::chromosome_14:44552243-44560153,180.203,0,1187.15,13.7181,5,46.485,329.674,182.409,12.264,69.6172,376.474,141.719,64.8655,235.112,428.999,7.16438,373.187,15.0872,5.36596,3.58387
::chromosome_10:10771451-10797976,119.272,0,167,97.8964,7,49.6678,156.469,134.219,208.725,87.2345,91.9905,188.946,182.862,110.072,142.035,31.2958,76.2188,76.3292,12.2456,6.52539
::chromosome_1:19785397-19786918,3,0,27,0,0,3,0,2,0,15,4,0,10,7,0,0,21,16,0,0
::chromosome_6:8669499-8684452,283.864,0,668.168,369.322,67.5144,101.218,425.154,450.186,163.545,1693.22,1177.54,281.38,270.918,506.912,461.457,83.0989,368.455,640.952,67.469,54.6297
::chromosome_6:28381787-28386766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_10:32831047-32831415,0,0,0,0,0,0,0,1,3,0,5,0,0,0,0,0,0,10,1,0
::chromosome_12:27255430-27258145,2260.85,0,3299.05,0,0,3.16776,2775.48,0,0,0,4162.11,0.00979647,966.348,0,236.293,1046.16,1.01005,641.065,0,0
::chromosome_11:25742742-25743061,0,0,8,3,0,0,8,0,56,3,0,0,25,0,0,0,0,11,1,0
::chromosome_9:28385427-28385694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_2:5548468-5550229,11,0,30.3749,1,1,1,23,20.8403,0,21,14,6,13.206,1,4,2,12.0709,2,3,0
::chromosome_14:20245410-20246835,14,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
::chromosome_13:27030269-27032820,130.169,0,204.914,81.4797,2.01308,61.2886,179.432,195.346,48.8025,191.457,204.287,120.136,149.531,111.316,216.115,43.6917,111.184,158.391,24,16.0837
::chromosome_9:20563341-20568712,6.70256,0,157.778,33.8339,0,36.4527,12.3754,45.8923,8.26479,82.1766,284.071,13.8124,6.33321,24.7921,28.6756,5.31063,32.0133,44.077,7.66662,3.60707
::chromosome_7:17946876-17948082,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
::chromosome_7:24199486-24204098,69.7822,0,78.1273,19.096,3.0222,28.3638,64.1222,76.6,20.4684,43.5619,44.4143,51.1475,77.6525,53.8759,59.3056,17.138,31.1146,54.4259,0,7.1162
::chromosome_5:27360544-27364420,518.317,0,187.322,25.5654,8.6305,152.094,186.666,143.466,3.06298,32.4939,103.689,163.263,295.907,356.462,143.058,14.2867,102.568,81.0937,1.03798,26.0479
::chromosome_3:19740956-19741437,25,0,29,53,3,11,62,57.9938,66,33.9803,130,32,38,53,40.9021,4,12,52,18,4
::chromosome_4:21749705-21752809,89.6944,0,123.746,109.891,1.00525,21.719,267.269,103.375,49.1727,169.396,103.267,134.121,211.688,128.865,142.115,77,81.66,321.539,26.4763,7
::chromosome_14:54792676-54794841,4.03396,0,5.22538,0,0,2,1,0,0,12,19,0,3.02,8,23.3254,0,41.0624,0,0,0
::chromosome_4:15090668-15091097,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_8:22821027-22839934,149.544,0,529.661,99.0132,60.673,84.4892,270.711,295.667,118.806,178.473,303.298,61.2223,180.472,237.851,106.046,49.3324,107.563,98.4367,18.073,39.7157
::chromosome_6:22488102-22493164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_12:2729688-2733789,64.769,0,101,42,4,83,149,37.1876,3,82,71,78,89,23,21,37,37.0229,28,6,0
::chromosome_6:7124012-7128049,123.296,0,0,22.1507,5,17.1385,6.04332,16.0112,0,56,177.495,1.00493,15,9,108.255,1.01825,97.2658,43,18.4127,20.2566
::chromosome_3:20750399-20751956,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_13:18487072-18489769,13,0,9,0,12,0,21,27,0,9,6,23,6,13,6,1,3,17,0,0
::chromosome_12:1448874-1460966,1280.26,0,4294.51,533.877,53.1828,939.5,1451.77,2221.17,423.005,1114.13,1001.53,780.543,2338.59,747.192,810.838,235.885,962.571,841.493,113,106
::chromosome_11:17921765-17964641,521.787,0,1469.91,260.255,65.5456,456.438,485.865,628.404,131.417,955.76,482.274,609.395,427.304,1225.6,756.461,222.775,781.05,738.722,137.694,67.7111
::chromosome_3:22509337-22510467,0,0,0,4,0,0,0,9.38703,3,0,1,0,0,0,0,0,0,0,1,1
::chromosome_7:24036973-24038074,10,0,0,0,19,4,113,9,0,0,52,2,24,0,48,0,10,0,0,1
::chromosome_12:25996640-26020838,817.635,0,1457.81,155.796,14.1763,408.812,819.677,777.954,77.1633,587.982,645.541,493.089,1025.1,850.782,605.394,114.053,697.734,532.878,34.4419,55.4488
::chromosome_7:8217065-8218773,0,0,9.11126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_13:12000776-12002347,12.3836,0,5.13808,12.4272,0,18.6503,6.43139,10.8817,7,12.0538,8.35328,9.92837,9.84105,24.3675,17.5002,8.52448,7.05379,1.31036,1.90394,0
::chromosome_11:8393273-8394071,0,0,1,0,0,0,0,1.25,0,0,0,1.5,0,0,0,0,0,1,0,0
::chromosome_10:17854886-17858586,0,0,8,1,0,0,4,3,0,8,8,1,2,4,2,0,5,2,1,0
::chromosome_12:9298693-9299895,206,0,264,268,21,21,293,96,25,301,159,196,179,211,365,30,236,237,8,12
::chromosome_2:1253155-1254118,37,0,23,3,0,0,10,14,1,16,25,3,1,11,7,2,5,15,4,1
::chromosome_14:29363043-29363582,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
::chromosome_1:17287451-17314733,358.802,0,1291.98,87.4202,91.6321,135.7,285.139,1103,152.437,309.698,460.43,271.124,603.618,427.14,330.554,110.911,281.388,275.965,74.6702,35.8171
::chromosome_12:33769585-33777337,605.812,0,683.479,214.982,11,105.83,388.64,312.462,72.1225,448.645,507.619,275.702,286.597,569.318,474.736,137.925,533.701,261.151,34.4412,62
::chromosome_12:26426001-26433379,29,0,123.384,22,1,10,95,107.542,10,31.0021,31,28,46,29,75.0199,6,49.1883,66.0162,2,2
::chromosome_7:29378239-29379130,1,0,4,0,0,4,2,2,0,5,9,6,0,0,5,0,1,0,2,0
::chromosome_14:19848278-19853939,48.0284,0,43.2745,16.2054,1.15754,19.6333,19.888,36.9134,11.8738,39.6838,17.0969,14.8121,28.0948,24.6321,13.716,4.8282,6.21352,38.9595,1.16763,2.50422
::chromosome_11:24036879-24044465,57.1255,0,136.822,31.5617,0,27.3324,77.709,95.8805,18.158,70.1697,70.2587,46.9102,90.5156,44.6661,70.4114,9.10069,65.5834,78.2282,0,3.24839
::chromosome_11:5260312-5260624,18.8678,0,0,0,73.5446,0,0,0,4.54307,83.9707,38.8989,38.0596,0,0,0,68.9742,18.9151,7.82187,0,1.87617
::chromosome_12:36507562-36518159,405.967,0,288.051,865.74,26.4028,240.662,251.453,672.32,13.835,556.841,785.979,476.732,535.388,299.687,518.278,157.988,251.93,333.071,65.4785,26.8791
::chromosome_10:22454926-22458544,140.721,0,147.603,179.985,2,55.4215,119.156,151.446,56.7288,145.619,168.36,123.956,126.608,79.8613,101.395,20.4002,168.24,106.535,39.5659,13
::chromosome_13:40367410-40368103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_4:4707342-4712288,64.0029,0,493.933,16.4235,0,12.4522,120.309,379.736,26.1065,66.1442,42.1594,55.2609,114.559,45.6137,33.8734,15.0592,39.536,81.0176,5,8.62455
::chromosome_7:3354638-3355913,681,0,779,303,35,92,333,528,242,786,724,269,398,885,684,107,604,661,65,103
::chromosome_7:794514-794949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_14:52086528-52093719,241,0,454.102,75.3318,8,71,189.445,271,10.1776,231.66,235.615,118.399,215.56,182,205.549,44.2116,236.175,198.208,13,4
::chromosome_14:19461111-19461438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
::chromosome_6:23112414-23134266,393.319,0,338.675,188.563,14,281.832,592.206,600.905,119.275,374.554,489.821,232.912,578.996,536.005,377.582,94.3409,500.106,345.237,41.0764,35
::chromosome_5:25428042-25432413,67.1001,0,53,19.2467,1,4,59,28.2154,1,72.5501,37.2854,25.4069,43,40,38,17,35.0164,33,1,1
::chromosome_7:2762509-2770686,414.505,0,834.011,66.1726,6.23044,217.01,415.953,443.834,49.5888,383.118,391.496,251.143,643.853,405.381,433.405,53.495,334.606,298.043,21.5955,41.4716
::chromosome_2:19071861-19073592,9.02885,0,6.67602,1.22634,0,8.34842,11.1967,15,2,3.31638,7.08578,1.50395,2.03163,33.5932,9.29563,6,10.7592,6.94468,2.34992,1
::chromosome_11:15645590-15645920,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0
::chromosome_5:8860079-8867086,33.1613,0,69.4268,58.0563,8.08687,64.4978,82.6715,92.3123,55.171,76.1545,32.3911,28.2852,34.2625,86.3984,55.4015,12.1091,80.6539,34.1967,11.1386,10.0842
::chromosome_9:19753963-19755538,2.69896,0,1.0967,21,0,23.8867,2,5,4,3.38022,4,3,9,2,21.8536,0,0,5,0,1
::chromosome_14:14755781-14764766,73.2278,0,158.106,73.8133,15.9864,74.2885,127.578,216.642,89.7346,147.735,109.636,77.1717,118.005,149.905,78.7003,62.4054,61.4578,108.339,35.2158,16.1541
::chromosome_14:4302237-4310180,75.9702,0,319.84,10.0058,3.00157,46.9495,173.768,202.219,3.02209,109.462,61.3545,78.6462,206.207,102.582,107.348,5.03696,100.046,64.2719,8,11
::chromosome_14:27172106-27172508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_14:30064193-30075822,18.2578,0,44.5944,41.2183,3,32.5193,59.4315,48.7424,42,65.6013,68.3049,8.24158,26.3994,30.2064,11.0335,17.2997,19.5908,35.2273,19.0078,3
::chromosome_8:21574690-21575044,0,0,0,0,0,0,0,0,0,0,0,0.265752,0,0,0.497708,0,0,0,0,0
::chromosome_13:37794528-37798768,9.0355,0,5.15957,2.22845,0,1.12885,7.17755,2.04409,14.0433,3.06531,3.29242,0,10.6547,7.08186,5.15688,0,5.50302,11.6809,0,0
::chromosome_6:9640887-9642113,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_14:48854065-48855055,6,0,18,0,0,2,6,8,0,11,29,4,5,25,5,1,12,7,4,6
::chromosome_1:11435204-11435520,4,0,5,0,0,0,8,1,2,8,1,0,13,10,4,1,14,3,0,0
::chromosome_8:18555721-18559340,7.171,0,10.3109,1.02,2.03815,0,1.1461,1.10664,3.08956,2.13207,10.3097,2.24371,0,1.03131,2.17993,2.24404,1.02255,0,0,0
::chromosome_3:5696447-5700714,30.1478,0,200.885,85.3165,6.59954,29.4544,4.07163,11.0973,8.58777,14.2257,11.1667,61.5648,7.67903,10.7813,88.9726,3.24687,13.7321,10.334,28.1743,4.11157
::chromosome_12:16621973-16622990,1,0,7,1,0,1,1,4,0,0,5,2,3,3,0,0,2,0,0,0
::chromosome_14:55889390-55889801,0,0,0,0,0,1.07162,1.11789,2.90E-07,3.31894,0,5.67093,0,0,0,6.85344,0,0,0,0,0
::chromosome_8:14891810-14895731,9.701,0,20.4996,3.10436,18,3.03615,20.1924,33.7696,20.5489,17.8188,18.2318,15.7439,11.6816,6.9453,30.9878,7.42804,5.36656,125.503,1.01207,0
::chromosome_9:16961717-16963895,62,0,17,14,1,18,227,1,7,84,70,26,12,106,68,15,100,29,4,7
::chromosome_8:4975777-4976440,0,0,2.39332,0,0,0,2,0,1.67801,0,0,1,0,0,0,0,0,0,0,0
::chromosome_5:10922487-10944986,946.532,0,1298.5,873.986,60.6114,502.441,963.403,1041.64,672.71,744.657,719.957,382.45,755.627,1125.57,616.241,260.346,756.724,703.286,87.4898,49.1618
::chromosome_10:17082671-17085505,6.04769,0,14.5714,2.12284,0,1.39564,12.6779,20.3332,13.3877,7.19618,24.0578,1.11808,0,2.36411,0,3.09504,19.8347,22.0838,8.00606,0
::chromosome_3:13310734-13313234,272,0,428,99,2,63,267,191,69,246,329,145,238,311,168,41,253,191,22,17
::chromosome_3:10395717-10403486,93.6715,0,157.569,230.41,37.0372,46.7305,260.497,178.861,157.531,139.455,235.94,61.8414,168.703,72.7509,73.0923,31.8706,79.3262,49.215,77.9248,2.11788
::chromosome_3:3034338-3035055,5,0,5,13,0,0,14,15,0,18,10,11,8,4,7,0,23,7,0,0
::chromosome_6:15465103-15466126,5,0,1,0,0,1,7,1,0,6,0,3,0,5,5,0,2,3,0,0
::chromosome_8:22466160-22466475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_13:13473847-13475005,1.0907,0,6.89535,2.11231,2,3.09928,25.2593,2.74924,0,5.14904,1,8.11794,13.0936,1,0,5.92606,5.90407,3,0,0
::chromosome_1:15074856-15076873,73,0,38,8,0,16,11,17.6833,10,35,5,5,59,6,26,4,35,13,3,0
::chromosome_11:7942372-7943330,54,0,190,47,3,106,53,171,14,107,82,781,202,47,113,54,60,61,12,6
::chromosome_14:12685295-12690858,99.5797,0,89.8388,122.61,8.33868,39.1481,119.305,101.227,47.1754,135.722,111.288,90.7375,87.5999,99.3331,134.415,59.5633,48.0451,97.0711,23.8155,8.13878
::chromosome_3:22537829-22538225,0,0,0.760881,0,0,0.333333,0,0.333333,0.465795,0,0,0,0,0,0,0,0,0,0,0
::chromosome_9:377632-387323,311.632,0,533.151,97.8272,14.0285,167.747,195.679,363.615,28.0272,564.167,349.432,235.207,377.429,262.863,265.529,82.2545,337.093,306.493,14.0003,27.8835
::chromosome_14:25046910-25050357,1,0,2,0,0,2,11,0,0,0,1,0,2,0,1,6,1,0,0,0
::chromosome_8:15172750-15181068,123.204,0,6.4743,38.0369,8,31.032,9.2887,7.25058,26.5566,2.1288,8.59205,67.9704,4.00506,9.53652,9.3501,3.29519,5.23043,6.2433,0,5.03303
::chromosome_14:19610816-19612420,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_6:14151514-14152432,0,0,13.5176,0,0,0,0,0,0,2.05635,0,0,0,0,0,0,0,0,0,0
::chromosome_14:37383554-37384229,0,0,2.29732,5.85275,0,0,6.32518,2.10039,6.79057,0,0,1.22746,13.3024,0,2.70444,0,2.12566,6.80303,0,1
::chromosome_12:13955250-13974155,35.9003,0,311.093,13.4628,1.00039,24.5386,76.7985,88.7363,39.3229,73.6308,60.7573,79.202,68.8271,88.5118,76.77,16.1804,69.984,42.2498,3.28558,3.00638
::chromosome_3:16371488-16371836,1.8971,0,0,0,0,0.0816801,0.583565,2.72357,1.23898,3.43845,5.45168,4.66293,6.74327,0,3.19343,0.255307,9.0522,0.469442,1.40176,0
::chromosome_13:31356562-31357408,2,0,0,2,0,0,2,1,0,12,1,10,0,1,13,0,2,0,0,0
::chromosome_5:11353786-11354536,4.77381,0,9.25887,0,0,3.81952,7.91492,13.5356,0,4.69262,4.50919,8,1,6.98696,4.50023,7,8.2482,23.7284,0,0.663172
::chromosome_14:32404645-32405074,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
::chromosome_14:24457828-24462325,0,0,21,1,0,6,2,9,0,3,4,3,9,2,5,0,0,5,0,1
::chromosome_8:19269680-19276837,153.149,0,247.378,34.2638,3.01378,51.8168,95.4005,107.589,26.2054,131.889,141.33,50.3707,121.239,90.7047,109.358,13.0327,73.1083,64.0971,7.00756,12
::chromosome_10:18819017-18834759,165.357,0,188.177,8.85672,6.11544,56.3561,92.1777,119.009,41.9935,142.204,85.1515,65.0069,139.916,140.084,145.769,5.96915,207.582,74.7217,1.58248,5.54288
::chromosome_5:28271396-28276618,0,0,0,1.01011,0,0,0,0,0,1.00018,11.0736,0,0,0,1.0056,0,1,0,0,0
::chromosome_3:15917137-15917791,5,0,4,1,0,0,0,2,0,0,0,0,0,2,1,1,0,1,0,0
::chromosome_5:28280970-28284021,6.40492,0,14.7352,0,5,1.0323,6.64706,0,4.20193,5.20448,13.1472,3.18616,8.32913,0,2.2045,1.12369,4.12134,3.16372,0,0
::chromosome_14:48157828-48161685,64.4473,0,31.2711,7.09933,5.30912,24.5035,50.9356,45.3756,13.0394,36.1618,14.2498,9.77783,33.7356,142.481,68.3964,7.99047,50.117,115.023,7.11652,1.1256
::chromosome_10:9195136-9195427,27,0,92,38,0,18,25,41,4,51,32,35,31,55,34,30,25,20,16,10
::chromosome_14:36294832-36300520,0,0,0,1.00165,0,0,0,3.01862,0,6.02271,4.00092,0,2.00057,0,3.00056,0,1,0,0,0
::chromosome_4:10130243-10143091,512.276,0,653.733,229.83,42.0259,144.264,486.053,530.794,295.472,1111.86,681.655,367.073,430.065,446.61,464.656,103.538,444.134,416.032,86.9849,47.8863
::chromosome_11:15652182-15653127,0,0,2,0,0,0,3.85784,0,0,0,0,0,0,6.31703,0,0,1,0,0,0
::chromosome_12:17214107-17222657,1.2378,0,30.2654,5.69558,14.2542,4.86808,15.4623,30.1093,6.26879,8.30391,12.1046,10.5334,8.72889,13.7673,11.7348,6.474,11.5841,3.04365,5.63235,1.01007
::chromosome_8:23799819-23830428,610.248,0,1387.65,277.785,20.6312,330.093,1008.42,720.595,123.767,692.975,636.048,381.486,731.057,802.976,649.98,132.379,696.99,439.592,57.1197,39.7492
::chromosome_6:20715496-20718722,29,0,50,4,0,16,29,20,0,25,31,22,12,9,28,14,24,2,0,3
::chromosome_10:29465481-29465868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_13:250141-257969,270.852,0,350,30,3,97,243,256,17,249,235,123,255,269,164,51,159,186,8,14
::chromosome_14:29410340-29411978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_13:14562322-14562772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_5:6790521-6802171,0,0,0,0,1.68E-06,0,0,0,58.697,0,0,0,0,0,0,0,0,0,0,0
::chromosome_14:18579326-18581520,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0
::chromosome_6:25520237-25526227,274.677,0,210.746,13.4819,1.00758,39.5683,131.513,109.158,26.0011,180.548,245.333,100.293,108.194,167.342,100.775,26.1266,108.174,115.254,5,13.0794
::chromosome_6:14318818-14319902,60,0,166.506,9,0,12,55,59,3,86,72,58,51,76,68,13,45,48,1,6
::chromosome_10:14223177-14224113,104,0,119,1,1,32,96,95,10,96,77,41,108,75,124,18,87,80,2,4
::chromosome_6:106705-120615,215.622,0,794.083,251.188,41.5945,238.95,372.992,702.078,229.233,216.304,209.047,214.095,678.982,226.744,263.252,39.3612,249.673,175.677,57.4045,20.1099
::chromosome_3:12449604-12469042,92.4851,0,86.541,19.8273,6.00081,33.3244,26.1078,22.2717,49.6517,99.1248,26.5943,29.4391,22.752,26.5408,27.9152,12.3896,44.4024,117.574,3.62556,2.36829
::chromosome_2:11033285-11038803,43.0567,0,259.636,38.73,6,63.3158,113.11,215.432,37.1975,62.1402,97.947,99.2431,152.999,36.1224,113.27,11.4918,91.1737,118.066,10.4708,2.02737
