,kallisto.trimmed.AST-1065_R1_001.fastq.gz,kallisto.trimmed.AST-1105_R1_001.fastq.gz,kallisto.trimmed.AST-1147_R1_001.fastq.gz,kallisto.trimmed.AST-1412_R1_001.fastq.gz,kallisto.trimmed.AST-1560_R1_001.fastq.gz,kallisto.trimmed.AST-1567_R1_001.fastq.gz,kallisto.trimmed.AST-1617_R1_001.fastq.gz,kallisto.trimmed.AST-1722_R1_001.fastq.gz,kallisto.trimmed.AST-2000_R1_001.fastq.gz,kallisto.trimmed.AST-2007_R1_001.fastq.gz,kallisto.trimmed.AST-2302_R1_001.fastq.gz,kallisto.trimmed.AST-2360_R1_001.fastq.gz,kallisto.trimmed.AST-2398_R1_001.fastq.gz,kallisto.trimmed.AST-2404_R1_001.fastq.gz,kallisto.trimmed.AST-2412_R1_001.fastq.gz,kallisto.trimmed.AST-2512_R1_001.fastq.gz,kallisto.trimmed.AST-2523_R1_001.fastq.gz,kallisto.trimmed.AST-2563_R1_001.fastq.gz,kallisto.trimmed.AST-2729_R1_001.fastq.gz,kallisto.trimmed.AST-2755_R1_001.fastq.gz
::chromosome_7:10021878-10028948,25,0,85.4076,7.69825,8,2,54,27,15,10,30,32,42,65,14,1,8,18,9,8
::chromosome_2:12365204-12365531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_9:29598971-29602454,13,0,24,4,1,5,11,110,16,18,27,7,23,14,56,0,31,5,0,0
::chromosome_10:8634865-8635531,2.34177,0,5,0,0,0,15.4132,2.43465,0,0,25.6293,7.7067,29,8,0,2,10,31.6684,1,0
::chromosome_5:11825591-11826470,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
::chromosome_7:27299230-27299923,13,0,0,4,0,4,0,0,0,6,0,1,0,2,9,0,1,0,0,0
::chromosome_6:27432531-27433866,4.23009,0,21.0807,9.2387,0,2.0095,7.0415,3.06107,6.1475,17.0613,5.2336,4.03591,8.02183,4.01737,8.00897,4.04117,9.02336,7.38294,0,0
::chromosome_9:28906657-28910805,107.482,0,297.751,48.0504,9,94,91.1628,200.727,25,139.595,84.531,107.802,200.496,102.992,80.1323,11,88.1506,52.8346,15.4643,10
::chromosome_4:23070823-23073493,55.1475,0,48,9.29781,0,18.5172,45.0606,33.1761,4,12,28.3221,3.04999,36.1817,53.31,5.40782,0,53.5521,39.321,0,0
::chromosome_8:25462523-25469320,125.264,0,152.561,115.361,10,24.3976,192.27,117.609,127,238.692,191.435,156.783,33.1841,260.88,251.954,28.8185,174.056,98.4907,33,30.526
::chromosome_6:15310677-15315635,8.11204,0,6.07456,13.3456,0,26.3154,2.48638,40.4431,5.06411,11.2023,12.3851,2.01446,17.9526,14.9528,4.23376,17.3914,5.08671,9.26685,3.01096,6.0796
::chromosome_8:12710171-12710654,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_11:9831272-9833901,39,0,24.0677,4,1,1.07287,0,42.0613,3,10.0707,8.64943,1,3.06548,12.0509,15.0701,6,9.08971,10,0,0
::chromosome_14:30247045-30249091,7.76876,0,3.02274,6.04685,0,8,1,0,0,14.4829,3,2.00922,0,4,3.03468,1,0,11.0769,0,0
::chromosome_3:523353-526976,101.195,0,99.0844,40.3864,0,40.9835,87.0139,110.15,33.3901,96.2569,103.573,68.3667,138.315,31.6182,64.0841,21.4285,45.387,79.6147,12.1519,4.05492
::chromosome_12:8404357-8404873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
::chromosome_6:18081297-18084586,2.65803,0,80.8164,5.32125,1.06305,55.4447,6.71021,5.23035,0,5.21944,1.05466,3.14563,98.313,33.3335,18.6233,0,145.027,146.005,0.718167,0
::chromosome_11:5500947-5508148,11.0936,0,0,8.54231,0,5.37673,5.08236,3.64195,4.37794,22.1585,0,1.01777,6.20041,5.26056,12.6493,6.03033,3.01171,24.8644,0,0
::chromosome_14:47318940-47329971,232.749,0,136.043,24.6644,4.13811,69.6512,124.714,115.188,37.1527,165.668,87.5911,96.2644,102.458,216.571,130.527,21.1491,88.3406,141.944,4.06539,13.8985
::chromosome_11:2114146-2114971,181,0,171,66,1,66,263,1.00966,4,3,241,225,1.01012,156,157,42,212,156,1,3
::chromosome_2:15940567-15948280,29.0094,0,2.00664,1.01547,2,0,3.00148,2.00215,37,6.06847,41.0082,19.0038,8.01023,0,0,0,0,1.01179,0,0
::chromosome_8:11945468-11949705,28,0,33,19,0,13,23,20,8,31,24,15,16,45,28,5,21,27,1,5
::chromosome_14:49896866-49904182,8.39624,0,9.40363,17.1145,0,5.21976,115.204,9.91276,118.212,11.6012,12.878,5.21042,5.19993,6.1431,7.3109,0,1.03113,6.31218,2.73428,0
::chromosome_14:43129271-43130912,14,0,10,5,0,6,15,3,5,14,31,9,13,27,18,3,36,16,0,2
::chromosome_7:27114641-27125821,86.7929,0,181.606,108.513,9.34518,29.2863,130.043,113.128,32.7555,95.8044,123.682,90.7095,93.8444,101.426,64.9792,25.9811,187.847,131.675,20.1662,24.3754
::chromosome_12:15013980-15031488,231.492,0,610.694,55.9673,9.4237,95.5687,258.254,1316.06,39.8984,286.057,278.295,128.027,578.294,618.488,291.356,75.0822,407.745,454.013,8.5101,3.12634
::chromosome_14:11583412-11584177,9,0,1,0,0,0,6,0,5,3,4,5,0,6,1,1,3,2,0,0
::chromosome_4:20573373-20586662,276.277,0,372.085,114.952,3.87319,170.53,290.371,220.864,34.2539,358.116,307.102,171.821,370.371,217.778,331.261,39.0022,248.772,175.537,21.7293,18.0306
::chromosome_10:4252000-4255112,7.02765,0,3.01752,4.06917,0,2,1.0028,3.05026,1.0236,8.04929,10.0003,2.00513,2.01279,6.04924,9.01805,14,7,2.00854,1,0
::chromosome_1:12578084-12583647,11.2524,0,22,9,0,56,12.4603,10,22,27,39,15,18.547,25,1,1,6,26.1966,7,1
::chromosome_8:11838942-11844361,117,0,220.569,41.3006,3,62.5834,103.307,105,30.1615,95.9498,99,51.4772,110.222,109.379,80.1754,28.6392,100.215,144.066,15.941,9.65302
::chromosome_10:14534803-14540246,120.215,0,57.0833,52.7235,7.31257,30.3117,51.1011,58.734,12.095,108.158,210.322,45.5923,50.0444,105.414,90.5805,18.6128,90.1587,99,16.2162,19
::chromosome_13:37941229-37946080,112.98,0,266.776,154.299,11,54.9109,126.759,129.301,97.0605,142.746,202.188,112.588,152.385,170.71,174.035,24.0667,136.013,162.038,51,20
::chromosome_13:18964824-18971653,198.203,0,182.546,174.719,4.02314,61.1071,110.841,366.106,28.9493,112.911,233.886,84.3841,73.8008,59.6748,127.56,13.1738,121.651,169.953,15.7894,4.00201
::chromosome_10:25320533-25323932,6.13814,1,48.1741,1.22288,0,19.4392,15.3838,15.7161,0,7.19964,3.08515,6.90169,8.52093,9.98597,3.63815,1.08896,3.45287,6.05971,0,1.00813
::chromosome_3:19214898-19253875,58.7015,0,46.7007,36.0026,1.12809,32.5198,190.038,31.7549,41.086,44.2396,56.221,36.0063,92.759,47.0549,75.7208,13.2317,23.0959,61.7277,8.49593,10.4429
::chromosome_3:17412910-17424343,425.299,0,861.666,19.1113,11.0238,372.114,346.098,314.128,84.191,283.407,162.199,242.344,445.344,557.509,246.296,37,447,258.102,9.00059,59.0059
