"","id","read_count_1065","read_count_1147","read_count_1412","read_count_1560","read_count_1567","read_count_1617","read_count_1722","read_count_2000","read_count_2007","read_count_2302","read_count_2360","read_count_2398","read_count_2404","read_count_2412","read_count_2512","read_count_2523","read_count_2563","read_count_2729"
"1547","chromosome_7_246034",0,41,0,0,0,4,7,2,3,8,0,2,0,0,2,1,0,0
"1548","chromosome_7_246146",5,13,10,0,55,1,38,0,40,41,0,3,52,4,2,0,4,0
"1549","chromosome_7_246195",0,3,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0
"1550","chromosome_7_246346",5,13,10,0,55,1,38,0,40,41,0,3,52,4,2,0,4,0
"1551","chromosome_7_246438",0,0,0,0,0,9,0,18,0,0,0,0,0,0,0,0,0,0
"1552","chromosome_7_246607",4,33,1,2,2,12,11,0,6,5,0,23,3,3,0,1,1,0
"1553","chromosome_7_247288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1554","chromosome_7_247470",4,21,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
"1555","chromosome_7_247593",7,6,5,0,2,0,2,0,28,3,13,0,1,3,0,4,10,0
"1556","chromosome_7_248097",9,720,10,0,18,10,83,8,14,21,4,44,94,1,2,2,9,2
"1557","chromosome_7_248259",0,2,2,0,0,0,0,0,0,0,0,29,21,0,0,0,0,0
"1558","chromosome_7_248261",0,2,2,0,0,0,0,0,0,0,0,29,21,0,0,0,0,0
"1559","chromosome_7_248698",0,51,0,0,1,0,0,2,1,6,0,13,0,0,0,0,0,0
"1560","chromosome_7_248703",0,10,4,1,0,15,11,24,8,1,0,6,0,2,2,0,2,0
"1561","chromosome_7_248707",0,7,1,0,5,1,0,4,2,1,0,6,1,1,0,1,0,0
"1562","chromosome_7_248709",0,7,1,0,5,1,0,4,2,1,0,6,1,1,0,1,0,0
"1563","chromosome_7_248934",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"1564","chromosome_7_249420",3,90,3,0,24,12,33,39,2,14,1,20,13,0,0,7,1,3
"1565","chromosome_7_249976",0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,5,0
"1566","chromosome_7_250286",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"1567","chromosome_7_250288",0,38,1,0,1,0,4,2,2,4,0,6,3,0,0,0,2,0
"1568","chromosome_7_251368",8,1077,42,3,102,47,497,79,17,48,15,203,92,9,4,13,22,33
"1569","chromosome_7_251721",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"1570","chromosome_7_251910",0,0,2,1,0,0,0,3,0,0,0,0,0,0,1,0,1,0
"1571","chromosome_7_251990",0,43,0,1,13,3,8,2,1,3,0,8,3,2,2,1,3,0
"1572","chromosome_7_252033",8,0,11,1,14,10,36,1,20,0,1,6,5,0,0,9,3,6
"1573","chromosome_7_253097",0,68,6,0,8,1,24,21,1,12,4,31,4,2,0,5,0,1
"1574","chromosome_7_253280",1,0,0,0,1,0,10,4,1,4,0,4,5,0,0,0,2,0
"1575","chromosome_7_253343",154,13941,195,102,1930,960,1936,193,466,1407,621,3094,1168,476,155,820,275,558
"1576","chromosome_7_254547",0,0,21,0,0,0,0,2,0,1,0,0,6,0,0,0,1,0
"1577","chromosome_7_255013",0,13,3,0,0,1,10,0,0,0,0,1,1,0,0,0,0,0
"1578","chromosome_7_255129",0,1,0,0,0,0,0,0,0,0,0,11,1,0,0,0,4,0
"1579","chromosome_7_255495",0,83,2,0,0,0,2,14,0,14,0,0,0,0,0,1,0,0
"1580","chromosome_7_255754",0,4,0,0,0,0,2,0,3,0,0,0,4,0,0,0,0,0
"1581","chromosome_7_256202",0,0,0,0,0,0,3,0,1,2,0,2,10,0,0,0,0,0
"1582","chromosome_7_256324",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"1583","chromosome_7_256386",1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,3,2,0
"1584","chromosome_7_257202",1,453,11,2,38,8,43,12,6,39,2,58,33,2,4,33,5,5
"1585","chromosome_7_257837",0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"1586","chromosome_7_258455",1,4,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0
"1587","chromosome_7_258870",0,6,0,0,0,0,0,1,0,0,0,2,3,0,0,1,0,0
"1588","chromosome_7_259536",6,17,6,0,8,0,3,0,0,1,0,88,2,4,0,0,1,0
"1589","chromosome_7_259740",10,17,12,5,10,19,5,15,6,18,12,10,11,5,5,5,4,14
"1590","chromosome_7_261138",0,11,0,0,0,0,2,0,0,1,0,2,5,0,0,1,0,0
"1591","chromosome_7_263625",1,3,0,2,0,0,1,0,0,2,0,0,0,0,0,0,1,0
"1592","chromosome_7_263968",2,10,3,4,24,0,0,8,71,2,12,5,7,7,0,3,1,0
"1593","chromosome_7_265454",0,17,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0
"1594","chromosome_7_266539",8981,168561,13860,510,12494,21154,49465,16446,20441,47664,3092,48683,18023,5514,1776,19257,20889,2628
"1595","chromosome_7_266715",0,2,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
"1596","chromosome_7_267453",0,2,0,0,0,0,0,5,0,0,0,7,0,2,0,0,4,1
"1597","chromosome_7_268223",0,68,6,0,8,1,24,21,1,12,4,31,4,2,0,5,0,1
"1598","chromosome_7_268617",0,18,0,0,1,1,2,1,1,2,0,2,0,0,0,1,2,0
"1599","chromosome_7_269006",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600","chromosome_7_269014",0,6,5,2,3,0,0,0,0,1,0,7,0,0,0,0,0,0
"1601","chromosome_7_269129",0,41,0,0,0,4,7,2,3,8,0,2,0,0,2,1,0,0
"1602","chromosome_7_269202",4,16,0,0,0,5,0,7,16,0,0,15,0,0,0,3,0,0
"1603","chromosome_7_269329",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"1604","chromosome_7_269694",4,54,0,0,31,0,0,8,0,0,0,0,0,0,0,0,0,0
"1605","chromosome_7_269745",67,1431,139,0,111,150,322,203,210,416,29,205,800,75,27,186,32,32
"1606","chromosome_7_270311",0,10,0,0,0,6,0,0,30,0,0,0,0,0,0,0,1,1
"1607","chromosome_7_270446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1608","chromosome_7_270465",0,8,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"1609","chromosome_7_271547",6,206,24,0,31,21,60,42,30,110,6,144,27,5,2,7,6,10
"1610","chromosome_7_271549",6,206,24,0,31,21,60,42,30,110,6,144,27,5,2,7,6,10
"1611","chromosome_7_271554",35,3598,62,14,723,42,219,243,93,305,23,332,1379,34,29,130,40,17
"1612","chromosome_7_271556",35,3598,62,14,723,42,219,243,93,305,23,332,1379,34,29,130,40,17
"1613","chromosome_7_272603",3,251,7,1,12,36,17,17,28,32,4,15,8,0,0,11,11,4
"1614","chromosome_7_273041",184,18907,768,18,2350,2646,5303,1517,624,2125,209,5727,2376,229,60,1120,700,171
"1615","chromosome_7_273353",0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"1616","chromosome_8_273635",95,5294,320,6,461,290,829,432,584,530,86,850,524,62,42,281,113,19
"1617","chromosome_8_273663",4,73,10,0,0,3,2,0,1,2,0,0,14,0,0,1,1,4
"1618","chromosome_8_274069",24,376,0,0,46,18,12,34,1,2,1,44,30,19,7,38,0,0
"1619","chromosome_8_274091",0,10,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0
"1620","chromosome_8_274661",1,24,0,0,1,0,12,2,0,0,0,5,3,1,0,0,1,0
