Id,Time,Delta T [min],Device,Channel,Sensor,Calibration,User,Value,Oxygen Unit,Temp,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9258937,12:29:24,1.125,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.976,µmol/L,10.132,°C,1030,hPa,Humid,35,0
9258948,12:29:25,1.142,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.951,µmol/L,10.14,°C,1030,hPa,Humid,35,0
9258952,12:29:26,1.158,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.993,µmol/L,10.135,°C,1030,hPa,Humid,35,0
9258960,12:29:27,1.175,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.113,µmol/L,10.127,°C,1030,hPa,Humid,35,0
9258969,12:29:28,1.192,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.081,µmol/L,10.128,°C,1030,hPa,Humid,35,0
9258977,12:29:29,1.209,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.759,µmol/L,10.156,°C,1030,hPa,Humid,35,0
9258984,12:29:30,1.225,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.77,µmol/L,10.16,°C,1030,hPa,Humid,35,0
9258991,12:29:31,1.242,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.979,µmol/L,10.147,°C,1030,hPa,Humid,35,0
9259001,12:29:32,1.259,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.834,µmol/L,10.163,°C,1030,hPa,Humid,35,0
9259010,12:29:33,1.275,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.75,µmol/L,10.152,°C,1030,hPa,Humid,35,0
9259020,12:29:34,1.292,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.855,µmol/L,10.15,°C,1030,hPa,Humid,35,0
9259026,12:29:35,1.308,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.93,µmol/L,10.153,°C,1030,hPa,Humid,35,0
9259035,12:29:36,1.325,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.101,µmol/L,10.141,°C,1030,hPa,Humid,35,0
9259041,12:29:37,1.342,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.959,µmol/L,10.144,°C,1030,hPa,Humid,35,0
9259050,12:29:38,1.359,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.849,µmol/L,10.151,°C,1030,hPa,Humid,35,0
9259060,12:29:39,1.375,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.943,µmol/L,10.149,°C,1030,hPa,Humid,35,0
9259064,12:29:40,1.392,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.93,µmol/L,10.137,°C,1030,hPa,Humid,35,0
9259073,12:29:41,1.409,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.789,µmol/L,10.155,°C,1030,hPa,Humid,35,0
9259082,12:29:42,1.425,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.903,µmol/L,10.148,°C,1030,hPa,Humid,35,0
9259089,12:29:43,1.442,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.916,µmol/L,10.154,°C,1030,hPa,Humid,35,0
9259098,12:29:44,1.458,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.029,µmol/L,10.147,°C,1030,hPa,Humid,35,0
9259107,12:29:45,1.475,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.88,µmol/L,10.153,°C,1030,hPa,Humid,35,0
9259115,12:29:46,1.492,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.812,µmol/L,10.15,°C,1030,hPa,Humid,35,0
9259120,12:29:47,1.508,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.801,µmol/L,10.156,°C,1030,hPa,Humid,35,0
9259131,12:29:48,1.525,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.738,µmol/L,10.15,°C,1030,hPa,Humid,35,0
9259139,12:29:49,1.542,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.738,µmol/L,10.163,°C,1030,hPa,Humid,35,0
9259146,12:29:50,1.559,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.92,µmol/L,10.151,°C,1030,hPa,Humid,35,0
9259155,12:29:51,1.576,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.892,µmol/L,10.154,°C,1030,hPa,Humid,35,0
9259162,12:29:52,1.592,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,279.033,µmol/L,10.146,°C,1030,hPa,Humid,35,0
9259169,12:29:53,1.608,SABD0000000001 (OXY-10 ST),5,OXY-CH5 (PSt7-10),19/12/20 11:17:47,default,278.816,µmol/L,10.163,°C,1030,hPa,Humid,35,0
