Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9258598,19/12/20 12:28:42,0.680,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.979,µmol/L,10.201,°C,1029.000,hPa,Humid,35,0
9258607,19/12/20 12:28:43,0.697,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.234,µmol/L,10.188,°C,1029.000,hPa,Humid,35,0
9258614,19/12/20 12:28:44,0.714,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.272,µmol/L,10.195,°C,1029.000,hPa,Humid,35,0
9258625,19/12/20 12:28:45,0.731,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.926,µmol/L,10.196,°C,1029.000,hPa,Humid,35,0
9258631,19/12/20 12:28:46,0.747,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.143,µmol/L,10.193,°C,1029.000,hPa,Humid,35,0
9258639,19/12/20 12:28:47,0.764,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.363,µmol/L,10.192,°C,1029.000,hPa,Humid,35,0
9258647,19/12/20 12:28:48,0.780,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.068,µmol/L,10.186,°C,1029.000,hPa,Humid,35,0
9258654,19/12/20 12:28:49,0.797,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.155,µmol/L,10.184,°C,1029.000,hPa,Humid,35,0
9258662,19/12/20 12:28:50,0.813,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.139,µmol/L,10.207,°C,1029.000,hPa,Humid,35,0
9258669,19/12/20 12:28:51,0.831,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.426,µmol/L,10.217,°C,1029.000,hPa,Humid,35,0
9258678,19/12/20 12:28:52,0.847,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.146,µmol/L,10.211,°C,1029.000,hPa,Humid,35,0
9258686,19/12/20 12:28:53,0.863,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.113,µmol/L,10.197,°C,1029.000,hPa,Humid,35,0
9258695,19/12/20 12:28:54,0.880,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.106,µmol/L,10.203,°C,1029.000,hPa,Humid,35,0
9258704,19/12/20 12:28:55,0.897,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.422,µmol/L,10.209,°C,1029.000,hPa,Humid,35,0
9258709,19/12/20 12:28:56,0.913,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.053,µmol/L,10.201,°C,1029.000,hPa,Humid,35,0
9258717,19/12/20 12:28:57,0.930,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.264,µmol/L,10.195,°C,1029.000,hPa,Humid,35,0
9258727,19/12/20 12:28:58,0.947,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.146,µmol/L,10.190,°C,1029.000,hPa,Humid,35,0
9258737,19/12/20 12:28:59,0.964,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.197,µmol/L,10.200,°C,1029.000,hPa,Humid,35,0
9258741,19/12/20 12:29:00,0.980,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.193,µmol/L,10.198,°C,1029.000,hPa,Humid,35,0
9258751,19/12/20 12:29:01,0.997,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.448,µmol/L,10.198,°C,1029.000,hPa,Humid,35,0
9258759,19/12/20 12:29:02,1.014,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,275.836,µmol/L,10.212,°C,1029.000,hPa,Humid,35,0
9258768,19/12/20 12:29:03,1.030,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.148,µmol/L,10.206,°C,1029.000,hPa,Humid,35,0
9258773,19/12/20 12:29:04,1.046,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.125,µmol/L,10.198,°C,1029.000,hPa,Humid,35,0
9258781,19/12/20 12:29:05,1.063,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.259,µmol/L,10.196,°C,1029.000,hPa,Humid,35,0
9258791,19/12/20 12:29:06,1.080,SABD0000000001 (OXY-10 ST),1,OXY-CH1 (PSt7-10),19/12/20 11:12:53,default,276.442,µmol/L,10.197,°C,1029.000,hPa,Humid,35,0
