YYYY	MM	DD	hh	WD	WSP	D GST	WVHT	DPD	APD	MWD	BAR	ATMP	WTMP	DEWP	VIS	TIDE
2004	11	8	19	312	6.3	7.8	99	99	99	999	1017.5	10.1	12	999	99	99
2004	11	8	20	317	5.8	7.4	99	99	99	999	1018.1	10.5	12	999	99	99
2004	11	8	21	322	6.8	8.9	99	99	99	999	1018.8	8.6	11.6	999	99	99
2004	11	8	22	317	5.3	7.8	99	99	99	999	1020.1	8	11.6	999	99	99
2004	11	8	23	314	5.3	9	99	99	99	999	1021.2	7.3	11.5	999	99	99
2004	11	9	0	323	6.6	12	99	99	99	999	1021.9	6.3	11.3	999	99	99
2004	11	9	1	326	8.2	11.8	99	99	99	999	1022.6	5.2	11.1	999	99	99
2004	11	9	2	323	6.2	10.5	99	99	99	999	1023.5	4.3	11.3	999	99	99
2004	11	9	4	358	6.5	10.1	99	99	99	999	1024.1	3	11.3	999	99	99
2004	11	9	5	350	7.9	10.4	99	99	99	999	1024.3	2.4	11.2	999	99	99
2004	11	9	6	354	5.3	9	99	99	99	999	1024.5	2	11.2	999	99	99
2004	11	9	7	351	5.1	8	99	99	99	999	1025.3	1.5	10.8	999	99	99
2004	11	9	8	349	5.6	7.6	99	99	99	999	1025.7	1.2	10.9	999	99	99
2004	11	9	9	356	6.6	8.5	99	99	99	999	1026.3	0.9	10.8	999	99	99
2004	11	9	10	352	3.5	6.9	99	99	99	999	1027.1	0.6	9.5	999	99	99
2004	11	9	11	26	5.4	9.4	99	99	99	999	1027.6	1	9.4	999	99	99
2004	11	9	12	356	3.7	6.6	99	99	99	999	1028.6	1.6	9.7	999	99	99
2004	11	9	13	356	4.5	7.5	99	99	99	999	1029	2.4	9.5	999	99	99
2004	11	9	14	357	5.8	7.8	99	99	99	999	1029	2.7	9.6	999	99	99
2004	11	9	15	7	4.4	9.2	99	99	99	999	1029.2	3.2	9.8	999	99	99
2004	11	9	16	22	5.6	8.4	99	99	99	999	1029.1	3.3	9.6	999	99	99
2004	11	9	17	26	5.5	9.1	99	99	99	999	1028.6	3.4	9.8	999	99	99
2004	11	9	18	2	3.6	7.7	99	99	99	999	1028.5	4.2	10	999	99	99
2004	11	9	19	15	5	9	99	99	99	999	1028.7	4.8	10.1	999	99	99
2004	11	9	20	3	3.8	8.3	99	99	99	999	1029.2	5.1	10.4	999	99	99
2004	11	9	21	2	5.3	8.3	99	99	99	999	1029.7	4.1	10.3	999	99	99
2004	11	9	22	356	5	7.4	99	99	99	999	1030.6	3.4	9.9	999	99	99
2004	11	9	23	25	4.4	7.3	99	99	99	999	1031.4	2.9	9.8	999	99	99
2004	11	10	0	18	5.1	10.1	99	99	99	999	1032.3	2.2	9.9	999	99	99
2004	11	10	1	20	6.4	10.2	99	99	99	999	1033	1.7	9.8	999	99	99
2004	11	10	2	25	4.9	10.4	99	99	99	999	1033.7	1.2	9.6	999	99	99
2004	11	10	3	35	4.9	9.1	99	99	99	999	1033.8	0.6	9.6	999	99	99
2004	11	10	4	32	5.8	10.1	99	99	99	999	1033.9	0.1	9.6	999	99	99
2004	11	10	5	35	5.2	8.2	99	99	99	999	1034.1	-0.3	9.7	999	99	99
2004	11	10	6	32	4.8	8	99	99	99	999	1034.5	-0.6	9.9	999	99	99
2004	11	10	7	7	4.6	7.2	99	99	99	999	1034.8	-0.9	9.8	999	99	99
2004	11	10	8	352	3.5	7	99	99	99	999	1035	-1.4	9.9	999	99	99
2004	11	10	9	350	4.3	6.4	99	99	99	999	1035.4	-1.4	9.9	999	99	99
2004	11	10	10	28	4.2	6.9	99	99	99	999	1035.5	-1.6	9.8	999	99	99
2004	11	10	11	34	2.7	5.6	99	99	99	999	1035.8	-1.6	8.4	999	99	99
2004	11	10	12	38	3.7	5.1	99	99	99	999	1036.1	-1.1	8.1	999	99	99
2004	11	10	13	32	2.7	5.1	99	99	99	999	1036.9	0	8.7	999	99	99
2004	11	10	14	6	3.6	5.8	99	99	99	999	1037.3	1.2	8.8	999	99	99
2004	11	10	15	35	2.3	3.9	99	99	99	999	1037	1.1	8.8	999	99	99
2004	11	10	16	358	0.3	4.3	99	99	99	999	1036.8	2.8	8.7	999	99	99
2004	11	10	17	274	1.3	2.6	99	99	99	999	1036	4.2	8.9	999	99	99
2004	11	10	18	227	2.3	3.6	99	99	99	999	1035.1	3.4	8.9	999	99	99
2004	11	10	19	194	3.4	5.6	99	99	99	999	1034.3	3	9.2	999	99	99
2004	11	10	20	208	4.2	5.6	99	99	99	999	1034.2	3.4	11	999	99	99
2004	11	10	21	227	5.5	6.7	99	99	99	999	1033.6	3.6	11.4	999	99	99
2004	11	10	22	261	5.3	8.2	99	99	99	999	1033.5	3.6	10.8	999	99	99
2004	11	10	23	269	3.5	4.9	99	99	99	999	1033.6	3.5	10.9	999	99	99
2004	11	11	0	263	4.4	6.1	99	99	99	999	1033.6	4.2	10.3	999	99	99
2004	11	11	1	258	4.2	6.9	99	99	99	999	1033.5	4.8	10	999	99	99
2004	11	11	2	256	6.9	8.9	99	99	99	999	1032.7	6	9.9	999	99	99
2004	11	11	3	264	4.2	6.8	99	99	99	999	1032.1	6.2	9.8	999	99	99
2004	11	11	4	248	7.6	10.7	99	99	99	999	1031.2	7.5	9.9	999	99	99
2004	11	11	5	244	8.1	10.9	99	99	99	999	1031	7.7	10	999	99	99
2004	11	11	6	251	9	11.5	99	99	99	999	1030	8.2	10.1	999	99	99
2004	11	11	7	253	8.7	11.3	99	99	99	999	1029.7	8.8	10.4	999	99	99
2004	11	11	8	256	9.2	12.9	99	99	99	999	1028.8	9	10.3	999	99	99
2004	11	11	9	251	5.2	7.6	99	99	99	999	1028.5	8.8	10	999	99	99
2004	11	11	10	257	5	8.7	99	99	99	999	1028	9.2	10.6	999	99	99
2004	11	11	11	255	7.3	9.4	99	99	99	999	1027.5	9.6	10.3	999	99	99
2004	11	11	12	256	5.9	8.8	99	99	99	999	1027.5	9.7	10.3	999	99	99
