"","Day","WTMP"
"215","5-10",10.8812466100038
"216","5-11",11.1312027679998
"217","5-12",11.1263930815122
"218","5-13",11.1235255802364
"219","5-14",11.3828991489031
"220","5-15",11.5737671649769
"221","5-16",11.6649612479225
"222","5-17",11.8848766194932
"223","5-18",12.0881188306356
"224","5-19",12.2320237147796
"225","5-2",9.84268070482351
"226","5-20",12.5583800603809
"227","5-21",12.7673025382445
"228","5-22",12.8906751456307
"229","5-23",12.7548063304532
"230","5-24",12.9953358535325
"231","5-25",13.1060028237836
"232","5-26",13.7188108628297
"233","5-27",13.9383993670735
"234","5-28",14.0780130905384
"235","5-29",14.1290317007048
"236","5-3",10.0104999439108
"237","5-30",14.5057464790401
"238","5-31",14.8237037565749
"239","5-4",10.1050774118579
"240","5-5",10.3271782503623
"241","5-6",10.359525215141
"242","5-7",10.6565676676285
"243","5-8",11.069099837342
"244","5-9",10.7919495250215
"245","6-1",14.9439352439553
"246","6-10",16.1090505323752
"247","6-11",16.1814059320032
"248","6-12",16.3020088433749
"249","6-13",16.5137130968015
"250","6-14",16.4551743397126
"251","6-15",16.4079173506447
"252","6-16",16.9216918902668
"253","6-17",17.0819490259975
"254","6-18",17.265967679575
"255","6-19",17.3660574219262
"256","6-2",14.9861452854142
"257","6-20",17.593286081266
"258","6-21",17.7412278683309
"259","6-22",17.852808930123
"260","6-23",18.0462338663032
"261","6-24",18.1681004989087
"262","6-25",18.5542697780103
"263","6-26",18.7745839672005
"264","6-27",18.7033092624524
"265","6-28",18.9537648758018
"266","6-29",18.8809363571939
"267","6-3",15.0101874590547
"268","6-30",19.1318031629817
"269","6-4",14.8849773089052
"270","6-5",15.1139835617107
"271","6-6",15.1642007561616
"272","6-7",15.4338958997946
"273","6-8",15.8454850799748
"274","6-9",16.0918190341704
"275","7-1",19.4769231747282
"276","7-10",20.1178589535942
"277","7-11",20.2253116536123
"278","7-12",20.3459603978915
"279","7-13",20.5088342653118
"280","7-14",20.3571192736725
"281","7-15",20.3351799040212
"282","7-16",20.6341838351884
"283","7-17",20.945312513719
"284","7-18",21.150379448801
"285","7-19",20.9787121319567
"286","7-2",19.5162320075442
"287","7-20",21.0441855440611
"288","7-21",21.0349253836864
"289","7-22",20.9715472436842
"290","7-23",20.9482394028379
"291","7-24",20.8144282011958
"292","7-25",20.9765663490436
"293","7-26",21.1041631636818
"294","7-27",21.342888791838
"295","7-28",21.3681539827086
"296","7-29",21.2315713880544
"297","7-3",19.6558790407643
"298","7-30",21.1621034969201
"299","7-31",21.3371608052601
"300","7-4",20.2100284086868
"301","7-5",19.9603450122852
"302","7-6",20.0654667348168
"303","7-7",20.11722514467
"304","7-8",20.0520120856786
"305","7-9",19.9371941411749
"306","8-1",21.4385426254008
