PlugID,Area_cm,vol_mL,Site,Treatment,Timepoint,ExperimentalTank,mean_concentration,prot_ug,prot_ug.cm2,prot_mg.cm2
AST-2669,2.724,28,ENDV,Heat,TP4,6,218.3941605,6115.036494,2244.873896,2.244873896
AST-2731,3.216,14.5,ENDV,Heat,TP3,15,137.485626,1993.541577,619.882331,0.619882331
AST-2755,1.43,10.5,FW,Heat,TP7,17,37.34803017,392.1543168,274.233788,0.274233788
AST-2859,1.073,4,FW,Heat,TP0,15,554.5219559,2218.087823,2067.183433,2.067183433
AST-2867,3.449,5.5,ENDV,Ambient,TP3,18,195.1089128,1073.09902,311.1333779,0.3111333779
AST-2870,3.256,5,FW,Heat,TP6,7,115.9989767,579.9948833,178.1311067,0.1781311067
AST-2873,4.21,13,FW,Heat,TP0,11,305.5626138,3972.31398,943.5425131,0.9435425131
AST-3002,10.246,30,ENDV,Ambient,TP7,2,420.2303976,12606.91193,1230.422792,1.230422792
FLD-0001,3.979,16,FW,Field,TP3,NA,192.0661529,1344.46307,463.4481455,0.4634481455
FLD-0002,3.482,12,FW,Field,TP3,NA,983.325194,11799.90233,3388.828928,3.388828928
FLD-0003,6.894,39,FW,Field,TP3,NA,507.6419937,3553.493956,542.9326136,0.5429326136
FLD-0004,5.023,9,FW,Field,TP3,NA,922.2019851,8299.817866,1652.362705,1.652362705
FLD-0005,3.05,17,FW,Field,TP3,NA,195.1089128,1073.09902,311.1333779,0.3111333779
FLD-0006,5.447,11,FW,Field,TP3,NA,785.0151031,8635.166134,1585.306799,1.585306799
FLD-0007,4.125,8,FW,Field,TP3,NA,1340.737988,10725.9039,2600.219128,2.600219128
FLD-0008,2.387,14,FW,Field,TP4,NA,411.2501601,5757.502241,2412.024399,2.412024399
FLD-0009,2.724,28,FW,Field,TP4,NA,218.3941605,6115.036494,2244.873896,2.244873896
FLD-0010,4.099,46,FW,Field,TP4,NA,645.597796,29697.49862,7245.059433,7.245059433
FLD-0011,1.543,5,FW,Field,TP4,NA,319.9568311,1599.784155,1036.801138,1.036801138
FLD-0012,1.812,12,FW,Field,TP4,NA,483.1488554,5797.786265,3199.661294,3.199661294
FLD-0013,0.699,3.5,FW,Field,TP4,NA,358.5958884,1255.085609,1795.544506,1.795544506
FLD-0014,2.354,20,FW,Field,TP4,NA,323.282617,6465.652339,2746.666244,2.746666244
FLD-0015,3.469,21,FW,Field,TP5,NA,176.1810374,3699.801785,1066.532656,1.066532656
FLD-0016,1.995,14,FW,Field,TP5,NA,289.6760498,4055.464697,2032.814384,2.032814384
FLD-0017,3.731,10,FW,Field,TP5,NA,1172.425122,11724.25122,3142.388426,3.142388426
FLD-0018,5.645,23,FW,Field,TP5,NA,164.8664202,3791.927665,671.732093,0.671732093
FLD-0020,7.453,42,FW,Field,TP5,NA,393.6282002,16532.38441,2218.218759,2.218218759
FLD-0021,13.177,16,FW,Field,TP5,NA,1387.129617,22194.07387,1684.304005,1.684304005
FLD-0022,8.902,15,FW,Field,TP5,NA,1373.463176,20601.94764,2314.305509,2.314305509
FLD-0023,5.633,13,FW,Field,TP6,NA,1108.914287,14415.88574,2559.184402,2.559184402
FLD-0024,1.263,4,FW,Field,TP6,NA,150.6706153,602.6824613,477.1832631,0.4771832631
FLD-0025,3.735,5.5,FW,Field,TP6,NA,111.407606,612.741833,164.0540383,0.1640540383
FLD-0026,3.735,5.5,FW,Field,TP6,NA,111.407606,612.741833,164.0540383,0.1640540383
FLD-0027,7.14,21,FW,Field,TP6,NA,1404.22127,29488.64666,4130.062558,4.130062558
FLD-0028,0.659,8.5,ENDV,Field,TP6,NA,70.09568039,595.8132833,904.1172736,0.9041172736
FLD-0029,1.693,4,FW,Field,TP6,NA,246.0264858,984.1059432,581.2793522,0.5812793522
FLD-0030,3.734,11,FW,Field,TP7,NA,286.4271724,3150.698896,843.7865281,0.8437865281
FLD-0031,11.134,35,FW,Field,TP7,NA,328.4421558,11495.47545,1032.465911,1.032465911
FLD-0032,3.973,27,FW,Field,TP7,NA,461.8319258,12469.462,3138.550717,3.138550717
FLD-0033,3.469,21,FW,Field,TP7,NA,176.1810374,3699.801785,1066.532656,1.066532656
FLD-0034,1.995,14,FW,Field,TP7,NA,289.6760498,4055.464697,2032.814384,2.032814384
FLD-0035,9.138,23,FW,Field,TP7,NA,526.4447479,12108.2292,1325.041497,1.325041497
FLD-0036,1.03,10,FW,Field,TP7,NA,107.1197625,1071.197625,1039.997694,1.039997694
FLD-0037,3.734,11,FW,Field,TP7,NA,286.4271724,3150.698896,843.7865281,0.8437865281
FLD-0038,6.682,8,FW,Field,TP7,NA,861.1950416,6889.560332,1031.062606,1.031062606
