PlugID,Site,Treatment,Timepoint,AirbrushDate,AirbrushTech,vol_mL,Notes
AST-2016,ENDV,Ambient,TP3,6/27/22,CG,7,
FLD-0005,FW,NA,TP3,6/27/22,CG,17,
AST-1087,ENDV,Ambient,TP5,6/27/22,CG,35,
AST-2512,FW,Heat,TP5,6/27/22,CG,15,
AST-1748,ENDV,Ambient,TP6,6/27/22,CG,12,
AST-1742,ENDV,Heat,TP6,6/27/22,CG,15,
AST-2870,FW,Heat,TP6,6/27/22,CG,5,
AST-2378,ENDV,Ambient,TP1,8/29/22,JA,10,
AST-1496,FW,Heat,TP2,8/29/22,JA,4,
AST-1443,FW,Ambient,TP3,8/29/22,JA,7,
FLD-0004,FW,NA,TP3,8/29/22,JA,9,
FLD-0021,FW,NA,TP5,8/29/22,JA,16,
AST-1698,FW,Heat,TP6,8/29/22,JA,3.5,
AST-3002,ENDV,Ambient,TP7,8/29/22,JA,30,
AST-1567,FW,Heat,TP0,8/30/22,JA,5.5,
AST-2398,FW,Heat,TP0,8/30/22,JA,4.5,
AST-1233,FW,Ambient,TP0,8/30/22,JA,3,"Homogenizer couldn't reach, in freezer as ""unhomogenized slurry"""
AST-1777,FW,Heat,TP1,8/30/22,JA,2.5,"Homogenizer couldn't reach, in freezer as ""unhomogenized slurry"""
FLD-0006,FW,NA,TP3,8/30/22,JA,11,
FLD-0025,FW,NA,TP6,8/30/22,JA,16,
AST-1117,ENDV,Heat,TP6,8/30/22,JA,4,
AST-1560,FW,Ambient,TP7,8/30/22,JA,6,
AST-1325,ENDV,Heat,TP1,8/31/22,JA,8,
AST-1075,ENDV,Heat,TP3,8/31/22,JA,13,
FLD-0022,FW,NA,TP5,8/31/22,JA,15,
AST-2168,FW,Ambient,TP6,8/31/22,JA,5.5,
AST-1423,FW,Heat,TP0,1/20/23,JA,15,
AST-2533,FW,Ambient,TP0,1/20/23,JA,3.5,
AST-1345,FW,Ambient,TP0,1/20/23,JA,11,
AST-1618,FW,Heat,TP0,1/20/23,JA,3.5,
AST-1037,FW,Ambient,TP2,1/20/23,JA,15,
AST-1735,FW,Heat,TP2,1/20/23,JA,20,
AST-1126,ENDV,Ambient,TP3,1/20/23,JA,13.5,
AST-1290,ENDV,Ambient,TP6,1/20/23,JA,17,
AST-1540,FW,Heat,TP6,1/20/23,JA,4,
AST-1585,FW,Heat,TP0,1/22/23,JA,7,
AST-2003,ENDV,Heat,TP0,1/22/23,JA,24,
AST-1457,FW,Ambient,TP1,1/22/23,JA,9.5,
AST-1182,FW,Ambient,TP2,1/22/23,JA,13,
AST-2561,ENDV,Heat,TP3,1/22/23,JA,9,
AST-1498,FW,Heat,TP5,1/22/23,JA,5,
AST-1486,ENDV,Heat,TP7,1/22/23,JA,24,
AST-2211,ENDV,Heat,TP7,1/22/23,JA,8,
AST-1147,FW,Ambient,TP0,1/23/23,JA,9.5,
AST-2859,FW,Heat,TP0,1/23/23,JA,4,
AST-1146,FW,Heat,TP1,1/23/23,JA,NA,Blank in notebook 
FLD-1241,FW,NA,TP2,1/23/23,JA,10.5,
AST-1473,FW,Heat,TP2,1/23/23,JA,4,
AST-2403,FW,Ambient,TP2,1/23/23,JA,7,
FLD-0007,FW,NA,TP3,1/23/23,JA,8,
AST-1077,ENDV,Ambient,TP3,1/23/23,JA,5,
AST-2867,ENDV,Ambient,TP3,1/23/23,JA,5.5,
AST-1689,ENDV,Heat,TP3,1/23/23,JA,8,
AST-1719,ENDV,Ambient,TP3,1/23/23,JA,5.5,
FLD-0002,FW,NA,TP3,1/23/23,JA,12,
FLD-0017,FW,NA,TP5,1/23/23,JA,10,
FLD-0024,FW,NA,TP6,1/23/23,JA,9,
FLD-0023,FW,NA,TP6,1/23/23,JA,13,
FLD-0027,FW,NA,TP6,1/23/23,JA,21,
FLD-0038,FW,NA,TP7,1/23/23,JA,8,
AST-1041,ENDV,Heat,TP7,1/23/23,JA,11,
AST-2302,FW,Ambient,TP7,1/23/23,JA,4.5,
FLD-0015,FW,NA,TP5,1/24/23,JA,18,
FLD-0016,FW,NA,TP5,1/24/23,JA,10,
FLD-0018,FW,NA,TP5,1/24/23,JA,11,
FLD-0019,FW,NA,TP5,1/24/23,JA,9.5,
FLD-0026,FW,NA,TP6,1/24/23,JA,11,
FLD-0028,FW,NA,TP6,1/24/23,JA,11,
FLD-0030,FW,NA,TP6,1/24/23,JA,6.5,
FLD-0034,FW,NA,TP7,1/24/23,JA,5.5,
FLD-0035,FW,NA,TP7,1/24/23,JA,15,
FLD-0036,FW,NA,TP7,1/24/23,JA,6,
FLD-0037,FW,NA,TP7,1/24/23,JA,5,
FLD-0042,NA,NA,NA,5/22/22,NA,NA,"Clipped and airbrushed this sample on 5/25/22, but it is not in any of my notes? double check sample in freezer"
AST-2521,FW,Heat,TP4,NA,NA,NA,"X - whirlpak ripped in freezer, no coral inside"
FLD-1237,FW,NA,TP2,NA,NA,NA,"X - whirlpak ripped in freezer, no coral inside "
AST-1228,FW,Heat,TP3,NA,NA,NA,"X - whirlpak ripped in freezer, no coral inside "
