Tin_ID,Plug_ID,Fraction ,Volume_mL,Tin_g,Tin_Dry_g,Dry_Biomass_g,Tin_Burn_g,AFDW_g_mL,Notes
902,AST-1159,Host,4,1.1388,1.1856,0.0468,1.1779,0.001925,
924,FLD-0014,Host,4,1.1352,1.1759,0.0407,1.1706,0.001325,
939,AST-1649,Host,4,1.1496,1.1895,0.0399,1.1857,0.00095,
806,,,,1.1422,,,,,
901,AST-1499,Host,4,1.1459,1.1799,0.034,1.1764,0.000875,
959,AST-1693,Host,4,1.1588,1.1954,0.0366,1.1895,0.001475,
955,FLD-0001,Host,4,1.1466,1.1909,0.0443,1.1814,0.002375,
942,FLD-0039,Host,4,1.1328,1.1829,0.0501,1.1756,0.001825,
903,AST-2412,Host,4,1.1381,1.1639,0.0258,1.1627,0.0003,
976,,,,1.1251,,,,,
985,,,,1.1506,,,,,
946,FLD-0027,Host,4,1.1432,1.1758,0.0326,1.1613,0.003625,
980,,,,1.1271,,,,,
956,FLD-0040,Host,4,1.1513,1.1742,0.0229,1.1674,0.0017,
824,,,,1.14,,,,,
629,AST-1109,Host,4,1.1288,1.1737,0.0449,1.1698,0.000975,
971,AST-2044,Host,4,1.1512,1.1888,0.0376,1.1852,0.0009,
938,AST-1735,Host,4,1.1294,1.1406,0.0112,1.1377,0.000725,
943,,,,1.1304,,,,,
960,AST-1492,Host,4,1.1361,1.1881,0.052,1.1844,0.000925,
913,,,,1.1432,,,,,
944,,,,1.1307,,,,,
951,,,,1.1301,,,,,
643,AST-2016,Host,4,1.1254,1.1605,0.0351,1.157,0.000875,
945,FLD-0028,Host,4,1.12,1.1412,0.0212,1.1301,0.002775,
923,AST-2880,Host,4,1.1257,1.1568,0.0311,1.1553,0.000375,
918,,,,1.1133,,,,,
970,AST-1290,Host,4,1.1308,1.1377,0.0069,1.137,0.000175,
962,FLD-0002,Host,4,1.1491,1.1651,0.016,1.158,0.001775,
908,,,,1.1125,,,,,
937,AST-2197,Host,4,1.1417,1.1851,0.0434,1.1779,0.0018,
963,,,,1.1279,,,,,
975,FLD-0029,Host,4,1.1478,1.1984,0.0506,1.1869,0.002875,
927,AST-1416,Host,4,1.1345,1.1712,0.0367,1.1687,0.000625,
948,AST-2007,Host,4,1.1327,1.1794,0.0467,1.1743,0.001275,
988,,,,1.1396,,,,,
984,AST-1754,Host,4,1.1307,1.1693,0.0386,1.167,0.000575,
978,AST-2360,,,1.1437,,,1.177,,
973,AST-1826,Host,4,1.1242,1.1549,0.0307,1.1524,0.000625,
916,AST-2003,Host,4,1.1273,1.1472,0.0199,1.1404,0.0017,
926,AST-1617,Host,4,1.1445,1.1873,0.0428,1.1812,0.001525,
935,,,,1.1419,,,,,
905,,,,1.1456,,,,,
634,,,,1.1324,,,,,
646,,,,1.1122,,,,,
907,,,,1.1268,,,,,
969,,,,1.1215,,,,,
952,AST-1080,Host,4,1.1276,1.1681,0.0405,1.1634,0.001175,
977,AST-1288,Host,4,1.134,1.1805,0.0465,1.1729,0.0019,
917,FLD-0033,Host,4,1.1166,1.1465,0.0299,1.1405,0.0015,
979,,,,1.1478,,,,,
753,AST-1184,Host,4,1.1379,1.1805,0.0426,1.1759,0.00115,
717,,,,1.1386,,,,,
736,AST-1486,Symbiont,1,1.135,1.1776,0.0426,1.1373,0.0403,
761,AST-2563,Host,4,1.135,1.1776,0.0426,1.1741,0.000875,
995,AST-1167,Symbiont,1,1.154,1.1589,0.0049,1.1578,0.0011,
986,,,,1.1288,,,,,
631,AST-1249,Host,4,1.1208,1.1627,0.0419,1.1595,0.0008,
647,AST-1167,Host,4,1.1278,1.1522,0.0244,1.1497,0.000625,
966,,,,1.1454,,,,,
722,FLD-1214,Host,4,1.1503,1.1714,0.0211,1.1599,0.002875,
964,,,,1.1359,,,,,
965,FLD-0011,Host,4,1.1419,1.1842,0.0423,1.1783,0.001475,
919,AST-1761,Host,4,1.1174,1.1502,0.0328,1.146,0.00105,
823,,,,1.1423,,,,,
708,,,,1.1488,,,,,
639,FLD-0024,Host,4,1.1265,1.15,0.0235,1.1382,0.00295,
640,AST-2020,Host,4,1.1293,1.1703,0.041,1.1645,0.00145,
934,,,,1.142,,,,,
940,,,,1.1319,,,,,
932,,,,1.151,,,,,
759,,,,1.1535,,,,,
