"","ID","Site","Treatment","Timepoint","chla.ug.ml","chlc2.ug.ml","chla.ug.cm2","chlc2.ug.cm2"
"94","AST-2208","FW","Ambient","TP6",0.09863176,0.0314834400000001,0.506039813432836,0.161528843283582
"95","AST-1255","ENDV","Ambient","TP6",0.1296042,-0.0176076,0.667489442060086,-0.0906829184549355
"96","AST-1748","ENDV","Ambient","TP6",0.25677896,0.06761844,0.0922559137724551,0.0242940502994012
"97","AST-2168","FW","Ambient","TP6",0.0029638,0.0147606,0.00436436412315931,0.0217358232931727
"98","AST-2870","FW","Heat","TP6",0.20078796,0.0539966400000001,0.308335319410319,0.0829186732186733
"99","AST-1540","FW","Heat","TP6",0.12885668,0.01403352,0.304445788541051,0.0331565741287655
"100","AST-2044","FW","Heat","TP6",0.2111744,0.0349962,2.10123781094527,0.348220895522388
"101","AST-2079","ENDV","Heat","TP6",0.46442892,0.11158488,4.44522062421973,1.06802007490637
"102","AST-1742","ENDV","Heat","TP6",0.37896052,0.08377188,1.23172433369447,0.272281300108342
"103","AST-1698","FW","Heat","TP6",0.05246656,0.02259204,0.200254045801527,0.0862291603053434
"104","AST-1041","ENDV","Heat","TP7",0.8437632,0.1795362,2.4856441349759,0.528896143545795
"105","AST-1065","FW","Heat","TP7",0.2111744,0.0349962,2.31014465894466,0.382841312741313
"106","AST-1091","ENDV","Ambient","TP7",0.31685504,0.0485391599999999,2.3752251874063,0.363861769115442
"107","AST-1105","FW","Ambient","TP7",0.16148476,0.03507504,1.0974297810219,0.238365487037503
"108","AST-1159","ENDV","Ambient","TP7",0.1846608,0.0355656000000001,0.851216594641313,0.163943993085567
"109","AST-1486","ENDV","Heat","TP7",0.31648128,0.0643597199999999,0.858545350966429,0.174594018311292
"110","AST-1560","FW","Ambient","TP7",0.8378356,0.150015,4.37512062663185,0.783368146214099
"111","AST-1647","ENDV","Heat","TP7",0.13497116,0.03564444,0.412526468463462,0.108943828841345
"112","AST-1739","ENDV","Ambient","TP7",0.20097484,0.0460863600000001,0.511832889471003,0.117370486793277
"113","AST-2007","FW","Heat","TP7",0.62943812,0.13768968,2.44204896217265,0.534198564500485
"114","AST-2211","ENDV","Ambient","TP7",0.4381022,0.104244,0.884831507195153,0.210540772532189
"115","AST-2302","FW","Ambient","TP7",0.76774684,0.17227416,0.831895203467373,0.186668365037322
"116","AST-2523","FW","Ambient","TP7",0.2701292,0.0633786,2.62261359223301,0.615326213592232
"117","AST-2729","FW","Heat","TP7",0.32964464,0.06803016,2.1715720685112,0.44815652173913
"118","AST-2755","FW","Heat","TP7",0.35615824,0.06746076,2.61514791608392,0.495341244755245
"119","AST-3002","ENDV","Ambient","TP7",0.1080838,0.0520343999999999,0.316466328323248,0.152355260589498
"120","AST-1562","ENDV","Heat","TP5",0.11847024,0.0330339600000001,0.736221066804764,0.205286131538064
"121","AST-1578","ENDV","Heat","TP5",0.11235576,0.01142304,0.650042364852649,0.0660888229976496
"122","FLD-0017","FW","Field","TP5",1.09514892,0.33522768,2.93526915036183,0.898492843741624
"123","FLD-0020","FW","Field","TP5",0.01650092,0.00261048000000001,0.0929878760230779,0.0147108761572522
"124","FLD-0021","FW","Field","TP5",0.00315068,0.00685032000000001,0.00382567200424983,0.00831791151248388
"125","FLD-0022","FW","Field","TP5",0.40510036,0.09902304,0.682600022466861,0.166855268478993
"126","FLD-0008","FW","Field","TP4",0.0658168,0.0183522,0.230733742331288,0.0643372480280455
"127","FLD-0009","FW","Field","TP4",0.01612716,0.01843104,0.17245664527956,0.197093308890926
"128","FLD-0010","FW","Field","TP4",0.00315068,0.00685032000000001,0.0353577165162235,0.0768759990241523
"129","FLD-0011","FW","Field","TP4",0.03262808,0.02104152,0.345982586156112,0.223120683357879
"130","FLD-0012","FW","Field","TP4",0.06896748,0.02520252,0.515914721723519,0.188528725314183
"131","FLD-0013","FW","Field","TP4",0.07545572,0.0309928800000001,0.499391780649228,0.205121487551214
"132","FLD-0014","FW","Field","TP4",0.01946472,0.01737108,0.165375700934579,0.147587765505523
"133","FLD-0001","FW","Field","TP3",0.00333756,-0.00105996,0.013420698668007,-0.00426221663734607
"134","FLD-0002","FW","Field","TP3",0.00667512,-0.00211992,0.0230044342331993,-0.00730587018954624
"135","FLD-0003","FW","Field","TP3",0.00963892000000001,0.01264068,0.0545282680591819,0.0715095039164491
"136","FLD-0004","FW","Field","TP3",0.00648824,0.00579036,0.0116253553653195,0.0103749233525782
"137","FLD-0005","FW","Field","TP3",0.02613984,0.01525116,0.145697468852459,0.0850064655737706
"138","FLD-0006","FW","Field","TP3",0.0481946,0.0632034000000001,0.0973270791261244,0.127636754176611
"139","FLD-0007","FW","Field","TP3",0.26975544,0.0791991599999999,0.523162065454545,0.153598370909091
"140","FLD-0023","FW","Field","TP6",0.3654234,0.095922,0.843334670690573,0.221371560447364
"141","FLD-0024","FW","Field","TP6",0.5845548,0.2147514,0.943845209903122,0.346746071044133
"142","FLD-0024","FW","Field","TP6",0.63146752,0.19200168,1.01959233584499,0.310013476856835
"143","FLD-0025","FW","Field","TP6",1.24013276,0.36769224,4.95062978043912,1.46783329341317
"144","FLD-0027","FW","Field","TP6",0.29608216,0.08654004,0.870829882352941,0.254529529411765
"145","FLD-0029","FW","Field","TP6",0.23656672,0.08188848,1.75606260869565,0.607867826086956
"146","FLD-0031","FW","Field","TP7",0.13384988,0.0831061200000001,0.642626310013717,0.399000576131688
"147","FLD-0032","FW","Field","TP7",0.09214352,0.02569308,0.575747065868263,0.160539942723249
"148","FLD-0033","FW","Field","TP7",0.02298916,0.00840083999999996,0.195399364375462,0.0714040354767181
"149","FLD-0038","FW","Field","TP7",0.59587564,0.15619956,0.713409925172104,0.187009350493864
