Measurement Name :,20210805_Run1_WildTypeTest,,Generated On :,"05/08/2021, 10:04:09",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
05.08.21 09:26:25,9.53,199.24,209.58,207.23,204.89,194.62,207.9,203.89,199.24,196.27,200.24,201.9,208.9,196.6,206.56,201.56,198.91,199.24,199.91,203.56,207.9,195.94,201.23,202.56,205.23,,24,965,30,22.91,
05.08.21 09:26:40,9.78,199.24,209.58,206.9,204.23,194.95,207.56,203.23,199.24,196.6,199.24,201.56,208.57,196.6,206.23,201.23,198.91,198.91,199.91,203.23,207.9,195.61,201.23,201.9,205.23,,24,965,30,22.91,
05.08.21 09:26:55,10.03,199.24,209.91,206.9,204.89,194.3,207.9,203.56,199.24,196.6,199.58,201.56,208.9,196.93,206.56,201.9,198.91,198.58,199.91,203.23,207.9,195.61,201.23,201.56,205.23,,24,965,30,22.89,
05.08.21 09:27:10,10.28,199.24,209.24,206.56,204.56,194.62,207.23,203.56,198.91,196.27,199.58,201.23,208.57,196.27,206.56,201.56,198.58,198.91,199.58,203.23,207.9,195.28,200.9,201.56,205.56,,24,965,30,22.91,
05.08.21 09:27:25,10.53,199.24,209.58,206.9,204.56,194.62,207.56,203.56,198.58,196.27,199.91,201.23,208.23,195.94,206.23,201.23,198.58,198.58,199.58,203.23,207.9,194.95,200.9,201.23,204.89,,24,965,30,22.89,
05.08.21 09:27:41,10.8,199.24,209.58,206.9,204.56,194.3,207.9,203.23,198.91,196.27,199.58,201.23,208.57,196.27,206.23,201.23,198.91,198.58,199.91,203.56,207.9,195.28,201.23,201.56,205.23,,24,965,30,22.89,
05.08.21 09:27:56,11.05,199.24,209.24,206.56,204.56,193.97,207.23,202.89,198.25,195.94,199.24,200.9,208.57,195.61,205.89,201.23,198.25,198.25,199.58,203.23,207.23,194.62,200.57,201.23,204.56,,24,965,30,22.87,
05.08.21 09:28:11,11.3,198.58,208.9,206.56,204.23,193.64,207.23,202.89,198.25,195.28,199.24,200.57,208.23,195.28,205.89,200.9,197.92,197.92,199.24,202.89,207.56,194.62,200.57,201.56,204.56,,24,965,30,22.89,
05.08.21 09:28:26,11.55,198.91,209.24,206.9,204.56,193.97,207.23,203.23,198.58,195.61,198.58,200.9,208.23,195.28,206.23,201.23,198.58,197.92,199.24,203.23,207.56,194.62,200.57,201.56,205.23,,24,965,30,22.89,
05.08.21 09:28:41,11.8,198.58,209.24,206.23,203.23,192.98,206.9,202.56,197.59,195.28,198.58,199.91,207.9,194.62,205.56,200.9,197.92,197.26,199.24,202.89,206.56,193.97,200.24,201.23,204.56,,24,965,30,22.87,
05.08.21 09:28:56,12.05,198.91,209.24,206.56,204.23,192.98,206.9,202.89,197.59,195.28,198.58,200.57,207.9,194.95,205.89,200.9,197.92,197.92,198.91,202.56,207.23,193.97,199.91,201.23,204.89,,24,965,30,22.87,
05.08.21 09:29:11,12.3,199.24,209.58,206.56,204.23,193.64,207.23,203.23,197.92,195.61,198.58,200.9,208.23,194.95,206.23,201.23,198.91,197.92,199.58,203.23,207.56,193.97,200.24,201.23,204.89,,24,965,30,22.85,
05.08.21 09:29:26,12.55,198.58,209.24,206.56,203.56,192.65,206.56,202.56,197.26,194.62,197.92,199.91,207.9,194.62,205.23,200.57,198.25,197.26,199.24,202.89,206.56,193.97,199.91,200.9,204.23,,24,965,30,22.85,
05.08.21 09:29:41,12.8,198.58,209.58,206.23,204.23,192.65,206.56,203.23,197.26,194.95,198.58,200.57,207.9,194.95,205.56,200.9,198.58,197.59,198.91,202.56,207.23,193.97,200.24,201.23,204.89,,24,965,30,22.87,
05.08.21 09:29:56,13.05,198.25,209.24,205.89,203.89,192.33,206.56,202.23,196.6,194.3,197.59,199.24,207.56,193.97,205.89,200.24,197.59,197.59,198.58,202.56,206.56,193.31,199.24,200.57,204.23,,24,965,30,22.85,
05.08.21 09:30:11,13.3,199.24,209.58,206.56,203.89,192.33,207.23,202.56,197.26,194.95,198.58,199.91,207.9,194.3,205.89,201.23,198.25,197.59,199.24,202.89,207.23,193.97,199.91,200.9,204.56,,24,965,30,22.84,
05.08.21 09:30:26,13.55,198.58,209.91,206.23,203.89,192.33,207.23,202.56,197.59,194.62,198.25,199.58,208.23,194.3,205.56,200.9,198.25,196.93,199.24,202.56,206.9,193.64,199.91,200.9,204.56,,24,965,30,22.84,
05.08.21 09:30:41,13.8,198.58,209.24,206.23,203.23,192,207.23,202.56,196.6,194.3,197.92,199.58,207.56,193.97,205.56,200.9,197.92,196.93,198.91,202.56,206.56,193.31,199.58,200.57,204.23,,24,965,30,22.84,
05.08.21 09:30:56,14.05,198.25,209.58,206.56,203.23,192.33,206.9,202.56,196.93,193.97,197.92,199.58,207.9,193.64,205.89,200.57,198.25,197.26,198.91,202.56,206.56,192.98,199.58,200.57,204.23,,24,965,30,22.84,
05.08.21 09:31:11,14.3,198.58,209.24,206.23,203.56,192,206.56,201.9,196.93,193.97,197.26,198.91,207.9,193.64,205.89,200.9,198.25,196.6,198.58,202.56,206.56,192.98,199.24,200.9,204.23,,24,965,30,22.84,
05.08.21 09:31:26,14.55,198.58,209.91,206.56,203.23,192,206.9,202.56,196.93,193.97,197.59,199.58,207.56,193.97,205.89,200.57,197.92,196.93,198.58,202.23,206.9,193.31,199.24,200.57,204.89,,24,965,30,22.83,
05.08.21 09:31:41,14.8,198.25,209.58,206.23,203.23,191.67,206.9,202.23,196.6,193.97,196.93,198.58,207.56,193.31,205.89,200.9,198.25,196.6,198.25,202.56,206.56,192.65,199.24,200.57,204.23,,24,965,30,22.84,
05.08.21 09:31:56,15.05,197.92,208.9,206.56,203.56,191.34,207.23,201.9,196.6,193.64,197.26,198.58,207.23,193.64,205.56,200.24,197.92,196.93,198.25,202.23,206.9,192.33,198.91,200.57,204.23,,24,965,30,22.84,
05.08.21 09:32:11,15.3,197.59,208.9,205.89,202.89,190.36,206.56,201.9,195.94,193.64,196.6,198.58,207.23,192.98,205.56,199.58,197.92,196.27,197.92,201.56,205.89,192,198.91,200.24,203.89,,24,965,30,22.82,
05.08.21 09:32:26,15.55,198.25,209.24,205.89,202.89,191.01,206.9,201.9,196.6,193.64,197.26,198.91,207.23,192.65,204.89,200.24,197.92,196.27,198.25,202.23,206.23,192.33,198.91,200.57,203.89,,24,965,30,22.82,
05.08.21 09:32:41,15.8,197.92,209.24,206.23,203.23,190.69,206.56,201.9,195.94,193.64,196.6,198.58,207.23,192.98,205.56,200.24,197.92,195.94,198.25,201.9,206.23,192.33,198.91,200.57,204.23,,24,965,30,22.82,
05.08.21 09:32:56,16.05,197.92,209.24,206.23,202.89,190.69,206.56,201.9,196.27,193.64,196.27,198.58,207.23,192.98,205.23,200.24,198.25,195.61,198.25,201.9,206.23,192,198.58,199.91,204.23,,24,965,30,22.82,
05.08.21 09:33:11,16.3,197.59,208.9,205.89,202.56,190.03,206.56,201.56,195.94,192.65,196.6,198.58,206.9,192.98,204.89,199.91,197.59,195.61,198.25,201.56,205.89,191.67,198.25,199.91,203.89,,24,965,30,22.8,
05.08.21 09:33:26,16.55,198.25,208.9,205.89,202.89,190.36,206.23,201.56,195.61,192.65,196.27,198.25,206.9,192.98,204.89,200.24,197.59,195.28,197.92,201.56,206.23,191.34,198.58,200.24,203.89,,24,965,30,22.8,
05.08.21 09:33:41,16.8,197.92,208.9,206.23,202.56,190.03,206.56,201.9,195.94,193.31,196.27,198.25,206.9,192.65,205.56,200.24,197.59,194.95,198.25,201.9,206.56,191.67,198.25,200.24,204.23,,24,965,30,22.8,
05.08.21 09:33:56,17.05,197.26,209.24,206.23,202.56,190.03,206.23,201.56,195.61,192.65,196.6,197.92,207.23,192.98,205.23,200.24,197.59,195.28,198.25,201.9,206.23,191.67,198.58,200.57,204.23,,24,965,30,22.8,
05.08.21 09:34:11,17.3,197.59,208.9,205.89,202.89,190.03,206.56,201.56,195.28,192.98,195.94,197.92,206.9,192.65,205.23,200.24,197.59,194.95,198.25,201.23,206.23,191.34,198.58,200.24,203.89,,24,965,30,22.8,
05.08.21 09:34:26,17.55,197.26,208.9,205.56,202.56,189.71,205.89,201.56,195.28,192.33,195.61,197.92,206.9,192,204.89,199.91,197.26,193.97,197.59,201.23,205.56,191.34,197.92,199.58,203.89,,24,965,30,22.8,
05.08.21 09:34:41,17.8,197.59,209.24,206.56,202.56,190.03,206.56,201.56,195.61,192.65,196.27,197.59,206.9,192.33,205.23,199.91,197.59,194.62,197.92,201.56,205.56,191.34,198.25,200.24,204.23,,24,965,30,22.78,
05.08.21 09:34:56,18.05,197.26,208.9,205.89,202.56,189.05,206.23,200.9,195.28,192,195.61,197.59,206.56,192,204.89,199.58,197.59,193.97,197.26,201.56,205.89,191.34,198.25,199.91,203.56,,24,965,30,22.8,
05.08.21 09:35:11,18.3,196.93,208.9,205.56,202.89,189.05,206.23,201.56,194.95,192,195.94,197.92,206.23,191.67,205.23,199.24,197.26,193.64,197.26,201.56,205.89,191.01,197.92,199.91,203.23,,24,965,30,22.78,
05.08.21 09:35:26,18.55,196.93,208.57,205.89,202.89,189.05,206.23,201.23,195.28,192,195.61,197.26,206.56,191.67,204.89,199.58,197.59,193.64,197.26,201.23,205.56,190.69,197.92,199.91,203.56,,24,965,30,22.78,
05.08.21 09:35:41,18.8,196.27,208.23,205.89,202.23,188.73,205.89,200.9,194.95,191.67,194.95,196.93,205.89,191.67,204.23,199.24,196.93,193.64,196.93,200.9,205.56,190.69,197.92,199.58,203.56,,24,965,30,22.78,
05.08.21 09:35:56,19.05,196.93,208.9,206.56,202.89,189.05,206.56,201.56,195.61,192,195.61,197.59,206.56,191.67,205.23,199.91,197.59,193.97,197.59,201.56,205.89,191.01,198.25,200.24,203.89,,24,965,30,22.78,
05.08.21 09:36:11,19.3,196.27,208.57,205.89,202.23,188.4,205.89,200.57,194.62,191.34,195.28,196.6,205.56,191.34,204.89,199.24,196.93,193.31,196.93,201.23,205.89,190.36,197.59,199.91,203.89,,24,965,30,22.77,
05.08.21 09:36:26,19.55,196.27,208.9,205.89,202.23,188.07,206.23,201.23,194.62,191.34,195.28,197.26,206.23,191.34,204.56,199.58,196.6,193.31,196.93,200.9,205.23,190.69,197.59,200.24,203.56,,24,965,30,22.78,
05.08.21 09:36:41,19.8,196.6,208.23,205.56,201.56,188.07,206.56,201.23,194.95,191.34,195.61,196.93,206.23,191.34,205.23,199.24,196.93,193.31,196.93,201.23,205.89,190.69,197.92,199.91,203.89,,24,965,30,22.77,
05.08.21 09:36:56,20.05,196.27,208.9,205.56,202.23,187.75,205.89,201.23,194.62,190.69,194.95,196.93,205.89,190.69,204.56,199.24,196.93,192.98,196.6,200.9,205.56,190.36,197.92,199.58,203.23,,24,965,30,22.77,
05.08.21 09:37:11,20.3,196.27,208.9,205.89,202.23,188.07,206.23,201.56,194.95,190.69,195.28,197.26,206.23,190.69,205.23,199.24,196.6,192.98,197.26,200.57,205.56,190.69,197.26,199.91,203.56,,24,965,30,22.77,
05.08.21 09:37:26,20.55,195.94,208.9,205.56,202.56,186.77,206.23,200.9,194.3,190.36,195.28,196.93,205.56,191.01,204.23,198.91,196.6,192.65,196.6,200.9,205.56,190.36,197.59,199.24,203.89,,24,965,30,22.77,
05.08.21 09:37:41,20.8,195.94,208.57,205.89,202.56,187.42,205.56,201.23,194.95,190.36,194.95,196.6,206.23,190.69,204.56,198.91,196.93,192.65,196.6,200.57,205.56,190.36,197.59,199.91,203.23,,24,965,30,22.75,
05.08.21 09:37:56,21.05,196.27,208.23,205.56,202.23,187.1,206.23,201.23,194.62,190.36,194.62,196.27,205.56,190.69,204.23,198.58,196.93,192.33,196.93,200.57,205.89,190.03,197.59,199.91,203.23,,24,965,30,22.76,
05.08.21 09:38:11,21.3,195.61,208.57,205.56,202.23,186.77,205.89,200.57,193.97,190.03,194.62,196.27,205.56,190.03,204.56,198.58,196.6,191.34,196.6,200.57,205.56,189.71,196.93,199.58,203.56,,24,965,30,22.75,
05.08.21 09:38:26,21.55,195.61,208.57,205.89,201.56,186.77,205.56,200.9,194.62,190.03,194.62,196.27,205.89,190.03,204.56,198.91,196.93,191.67,196.27,200.9,205.23,190.03,197.26,199.91,203.23,,24,965,30,22.76,
05.08.21 09:38:41,21.8,195.61,208.23,205.56,202.23,186.77,206.23,200.9,194.95,190.03,194.95,196.27,205.89,190.36,204.56,198.91,196.6,191.67,196.6,200.9,205.56,190.03,196.93,199.58,203.56,,24,965,30,22.76,
05.08.21 09:38:56,22.05,195.28,207.9,205.56,201.56,186.12,205.56,200.57,194.3,189.71,194.3,196.27,205.23,190.03,204.23,198.91,195.94,191.01,195.94,200.57,205.23,189.71,197.26,199.24,203.23,,24,965,30,22.76,
05.08.21 09:39:11,22.3,195.61,208.57,205.89,201.9,186.45,206.56,200.9,194.95,190.36,194.3,196.6,205.89,190.36,204.89,199.24,196.6,191.67,196.27,200.9,205.89,190.36,197.59,199.58,203.56,,24,965,30,22.76,
05.08.21 09:39:26,22.55,195.28,208.23,205.56,201.9,185.8,205.89,200.24,193.64,189.38,193.97,195.61,205.23,189.38,204.23,198.58,196.6,190.69,195.94,200.24,205.23,189.71,197.26,199.24,202.89,,24,965,30,22.75,
05.08.21 09:39:41,22.8,194.95,208.23,205.56,202.23,186.12,206.23,200.57,194.3,189.05,194.62,195.94,205.56,189.71,204.56,198.91,196.6,191.01,196.27,200.9,205.89,189.38,197.26,199.24,203.56,,24,965,30,22.75,
05.08.21 09:39:56,23.05,194.95,208.23,205.56,201.9,185.47,205.89,200.57,193.97,189.05,194.3,196.27,205.56,190.03,204.23,198.58,196.27,190.69,195.94,200.24,205.23,189.71,196.93,199.58,203.56,,24,965,30,22.73,
05.08.21 09:40:11,23.3,194.95,208.23,205.56,201.9,185.47,206.23,200.24,193.97,189.38,193.97,195.94,205.56,189.38,204.56,198.58,195.94,190.69,196.27,200.9,204.89,189.38,197.26,199.24,203.23,,24,965,30,22.73,
05.08.21 09:40:26,23.55,194.62,208.23,205.56,201.9,185.15,205.89,200.57,193.97,188.73,193.97,195.61,205.23,190.03,203.89,198.58,196.27,190.36,195.94,200.24,205.56,189.38,196.6,199.24,203.56,,24,965,30,22.73,
05.08.21 09:40:41,23.8,194.3,207.56,204.89,201.56,184.82,205.23,200.57,192.98,188.07,193.31,195.94,205.23,188.73,204.23,198.25,195.94,190.03,195.61,200.24,205.23,189.05,196.6,198.58,202.89,,24,965,30,22.73,
05.08.21 09:40:56,24.05,194.62,208.57,205.56,201.56,184.82,205.23,200.24,194.3,188.4,193.97,195.94,205.56,189.38,204.56,198.58,196.27,190.03,195.94,200.24,205.23,189.38,196.93,198.91,203.23,,24,965,30,22.73,
05.08.21 09:41:11,24.3,194.62,208.23,205.23,202.56,184.17,205.56,200.24,193.97,188.73,193.64,195.61,205.23,189.05,204.23,198.91,195.94,189.71,195.94,200.24,205.56,189.05,196.6,198.58,203.23,,24,965,30,22.75,
05.08.21 09:41:26,24.55,194.62,208.23,205.56,202.23,184.17,205.23,200.24,193.31,188.4,193.97,195.61,205.89,189.38,204.23,198.25,195.61,189.71,195.94,200.24,205.56,189.05,196.6,198.91,203.23,,24,965,30,22.73,
05.08.21 09:41:41,24.8,193.97,208.23,205.56,201.9,184.17,205.56,200.24,193.31,187.75,193.97,195.61,205.56,188.73,204.23,197.92,195.61,189.38,195.61,199.91,205.23,188.73,196.93,198.91,203.23,,24,965,30,22.73,
