Measurement Name :,20210805_Run2_WildTypeTest,,Generated On :,"05/08/2021, 10:53:48",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
05.08.21 10:26:13,6.03,201.56,200.24,224.49,221.41,207.9,196.6,221.07,225.52,188.07,204.89,223.12,223.12,180.29,196.27,218.69,220.39,196.93,192.65,222.1,222.44,204.56,193.31,223.46,221.07,,24,965,30,22.94,
05.08.21 10:26:28,6.28,200.9,200.24,224.83,221.75,208.57,196.93,220.39,225.86,187.1,204.56,222.44,223.46,179.64,195.61,218.69,220.05,197.59,192.65,221.07,222.44,204.56,193.31,223.46,221.41,,24,965,30,22.94,
05.08.21 10:26:43,6.53,201.23,200.24,224.15,221.07,208.57,195.94,220.73,225.86,186.77,205.23,222.78,222.78,179,195.94,219.71,220.73,197.26,192,222.1,222.44,204.23,192.98,223.46,221.75,,24,965,30,22.94,
05.08.21 10:26:58,6.78,200.9,199.24,223.8,221.75,208.23,196.27,221.07,226.2,186.77,204.23,221.75,222.78,178.68,195.28,218.69,220.05,197.59,191.67,221.75,221.75,204.56,192,223.46,221.75,,24,965,30,22.94,
05.08.21 10:27:13,7.03,200.57,198.91,224.49,221.75,208.9,194.95,220.39,225.86,186.12,204.56,222.44,223.46,177.71,194.3,219.37,220.73,196.6,191.34,221.41,222.44,203.56,191.01,223.12,221.41,,24,965,30,22.94,
05.08.21 10:27:28,7.28,200.24,199.58,224.15,221.41,208.23,194.62,220.73,225.17,185.8,204.89,222.44,222.78,177.71,194.95,219.71,220.73,197.26,191.01,221.75,222.44,203.89,191.34,223.12,221.41,,24,965,30,22.93,
05.08.21 10:27:43,7.53,197.59,195.94,221.41,218.35,204.56,191.34,218.35,224.15,182.23,202.56,220.39,221.41,174.5,190.36,216.32,219.03,193.31,188.4,219.03,221.41,200.9,188.73,221.07,219.71,,24,965,30,22.93,
05.08.21 10:27:58,7.78,199.91,198.58,223.8,221.75,207.56,194.62,220.73,224.83,185.15,204.23,222.44,223.46,177.39,194.3,219.03,220.73,195.61,190.03,221.41,222.44,203.56,190.36,223.12,221.07,,24,965,30,22.93,
05.08.21 10:28:13,8.03,199.24,197.92,223.8,221.75,208.23,193.97,221.07,226.2,185.15,204.56,222.78,223.46,177.07,194.62,219.03,219.71,195.61,190.03,221.41,222.44,203.89,190.36,222.78,222.1,,24,965,30,22.91,
05.08.21 10:28:28,8.28,199.24,197.92,224.49,220.05,207.23,194.62,221.07,225.52,184.17,203.89,221.75,223.12,176.11,193.64,218.35,220.73,194.62,189.71,221.75,222.78,204.23,189.71,223.12,221.41,,24,965,30,22.91,
05.08.21 10:28:43,8.53,199.24,197.59,224.15,222.1,208.23,193.31,220.39,225.17,184.5,204.23,222.44,223.12,176.43,193.31,218.35,220.39,195.28,189.05,220.73,222.1,204.56,190.03,222.78,221.75,,24,965,30,22.91,
05.08.21 10:28:58,8.78,199.24,197.26,223.8,220.73,208.23,193.31,220.39,224.83,184.17,204.89,222.78,223.46,175.14,193.31,218.35,220.05,194.95,189.38,220.73,222.44,203.56,189.05,222.78,221.41,,24,965,30,22.91,
05.08.21 10:29:13,9.03,198.58,197.26,224.49,221.41,207.56,193.64,220.05,225.86,183.2,203.89,222.78,222.78,174.82,192.65,219.03,220.73,194.95,189.05,221.75,222.78,203.56,189.05,222.78,222.1,,24,965,30,22.91,
05.08.21 10:29:28,9.28,198.91,197.59,224.15,221.07,207.9,193.31,220.73,225.17,184.17,204.23,222.44,223.12,174.82,193.31,218.69,220.39,195.28,188.73,221.75,222.78,204.89,189.71,222.78,221.75,,24,965,30,22.91,
05.08.21 10:29:43,9.53,198.58,197.59,224.49,221.75,207.56,193.31,220.05,225.86,183.2,203.56,222.44,222.78,175.79,192,219.03,220.39,193.97,188.4,221.41,222.1,203.89,188.07,223.12,222.1,,24,965,30,22.89,
05.08.21 10:29:58,9.78,197.59,197.26,224.15,221.75,207.23,192.33,221.07,225.86,183.2,203.89,222.44,223.8,174.5,192.65,219.03,220.39,194.62,188.73,221.41,222.44,204.23,189.05,223.12,222.1,,24,965,30,22.89,
05.08.21 10:30:13,10.03,197.92,197.26,224.83,222.1,207.56,192.65,220.39,226.2,182.23,202.56,221.75,223.12,173.86,192,219.03,221.07,194.62,187.42,221.41,222.1,203.56,188.4,223.12,221.75,,24,965,30,22.91,
05.08.21 10:30:28,10.28,197.59,195.94,224.15,221.41,207.23,192,220.05,225.86,181.9,203.56,222.44,222.78,172.9,191.67,218.69,220.05,193.97,187.1,221.41,221.75,203.23,187.42,223.12,221.75,,24,965,30,22.89,
05.08.21 10:30:43,10.53,197.26,196.6,224.49,221.75,207.56,192,220.39,225.52,182.55,204.56,222.78,223.12,173.86,191.67,219.37,220.73,193.97,187.42,221.41,222.44,203.89,188.4,223.12,222.1,,24,965,30,22.89,
05.08.21 10:30:58,10.78,196.93,195.28,224.83,220.73,206.9,191.67,220.39,225.17,181.9,204.23,221.41,223.12,173.54,191.34,218.69,220.73,192.98,187.1,221.75,222.44,203.56,187.75,223.46,221.75,,24,965,30,22.89,
05.08.21 10:31:13,11.03,196.93,194.95,224.15,221.75,207.56,191.34,220.39,225.52,181.26,203.56,222.44,223.8,172.9,191.34,219.03,219.71,192.98,186.77,221.41,221.75,204.23,187.42,223.46,221.07,,24,965,30,22.89,
05.08.21 10:31:28,11.28,197.26,195.28,224.49,221.07,206.9,190.69,220.39,225.86,182.23,203.89,222.78,223.46,172.27,190.69,218.69,219.71,192.98,187.1,220.73,221.75,203.56,187.1,223.12,221.41,,24,965,30,22.89,
05.08.21 10:31:43,11.53,196.6,194.95,223.8,221.75,206.23,190.36,219.71,225.17,180.61,202.89,221.41,222.78,172.9,190.69,218.01,220.73,193.31,186.12,220.73,222.44,203.56,185.47,222.78,221.75,,24,965,30,22.89,
05.08.21 10:31:58,11.78,195.94,195.28,224.49,220.73,206.56,190.03,220.39,225.86,181.58,203.89,222.78,223.46,171.95,190.03,218.69,219.37,192.98,186.12,221.41,222.1,203.56,186.45,223.12,222.1,,24,965,30,22.89,
05.08.21 10:32:13,12.03,195.94,194.95,224.15,221.41,207.56,189.71,221.07,225.52,180.29,204.23,221.75,223.12,172.59,189.38,218.35,220.39,192.65,185.15,221.07,221.75,203.23,185.15,222.78,221.41,,24,965,30,22.87,
05.08.21 10:32:28,12.28,195.61,194.62,225.17,221.41,206.56,190.36,220.05,225.86,180.29,203.23,222.1,223.12,172.59,189.05,219.03,220.73,192.33,185.8,221.07,222.78,202.56,185.47,223.46,221.41,,24,965,30,22.89,
05.08.21 10:32:43,12.53,195.28,193.64,224.15,220.39,206.56,189.38,220.05,225.86,179.97,203.56,222.1,222.78,172.59,189.71,218.35,221.07,192.65,184.5,221.41,221.75,203.23,183.85,222.44,221.07,,24,965,30,22.87,
05.08.21 10:32:58,12.78,196.27,193.97,224.49,221.41,207.23,189.05,220.05,225.52,179.64,202.89,222.1,222.78,172.9,189.38,218.69,220.39,192.33,184.82,221.41,222.78,202.89,185.47,223.46,222.44,,24,965,30,22.87,
05.08.21 10:33:13,13.03,195.61,193.64,224.49,221.07,206.23,188.4,220.05,224.83,179.32,202.23,222.44,222.1,172.27,189.05,219.03,221.07,192,184.82,220.73,222.1,203.56,184.5,223.12,221.41,,24,965,30,22.85,
05.08.21 10:33:28,13.28,195.61,193.64,224.15,220.39,207.9,188.73,220.39,225.52,179.64,202.89,222.44,222.44,172.59,188.4,218.69,220.39,192,184.17,221.07,222.1,202.89,184.17,222.44,221.75,,24,965,30,22.87,
05.08.21 10:33:43,13.53,195.61,192.98,224.15,221.75,207.23,188.73,220.39,225.17,178.68,203.23,222.1,223.12,172.27,187.75,218.69,220.39,191.67,183.85,221.41,222.44,203.23,183.85,223.46,222.1,,24,965,30,22.87,
05.08.21 10:33:58,13.78,194.95,192.98,224.15,221.07,206.9,188.07,220.73,225.52,178.36,203.56,222.1,222.1,172.59,188.4,218.35,220.39,191.34,184.17,221.07,221.75,202.56,183.85,222.44,221.07,,24,965,30,22.87,
05.08.21 10:34:13,14.03,194.95,193.31,224.83,220.73,206.9,188.4,220.39,225.17,179,202.23,222.44,223.12,171.95,188.73,218.69,220.39,192,183.52,221.07,222.44,202.89,183.52,222.44,220.73,,24,965,30,22.85,
05.08.21 10:34:28,14.28,194.62,192.98,224.83,221.41,205.89,188.07,220.39,226.2,178.68,201.9,222.78,223.12,172.27,188.07,218.69,219.71,191.01,183.85,220.73,221.75,202.23,182.55,223.12,221.07,,24,965,30,22.87,
05.08.21 10:34:43,14.53,193.97,192.33,224.49,221.07,206.56,186.77,220.39,224.83,177.71,202.23,222.1,223.12,172.59,187.42,218.01,220.39,191.34,183.52,221.07,222.1,202.89,182.23,222.78,221.75,,24,965,30,22.85,
05.08.21 10:34:58,14.78,193.64,192.33,224.15,220.05,206.23,187.1,219.71,225.52,178.36,202.56,221.75,222.78,172.27,187.75,218.69,220.05,190.69,183.52,221.41,222.44,202.56,181.9,222.78,221.07,,24,965,30,22.85,
05.08.21 10:35:13,15.03,194.3,192,224.83,221.41,206.9,186.77,220.05,225.52,178.36,203.23,222.1,222.78,171.95,186.77,219.03,219.71,190.69,182.88,221.41,221.75,202.89,182.23,223.12,221.75,,24,965,30,22.85,
05.08.21 10:35:28,15.28,193.64,192.33,223.8,222.1,206.9,187.75,220.05,225.52,178.36,202.56,222.44,223.46,172.27,187.1,218.01,220.73,191.34,182.55,221.41,221.75,202.89,181.9,223.12,221.75,,24,965,30,22.85,
05.08.21 10:35:43,15.53,193.31,192,224.15,221.75,207.23,187.42,220.73,224.83,177.39,203.23,222.78,222.78,171.95,186.77,218.35,220.39,191.01,182.55,221.07,222.44,203.23,181.26,222.44,221.75,,24,965,30,22.85,
05.08.21 10:35:58,15.78,193.31,191.67,224.15,221.41,205.89,186.77,220.73,225.86,177.71,202.56,222.1,223.46,171.63,187.1,218.69,220.05,190.36,182.23,221.75,222.1,202.89,181.58,223.12,221.75,,24,965,30,22.84,
05.08.21 10:36:13,16.03,192.65,192,224.15,221.41,205.89,186.45,220.39,224.83,177.07,201.56,222.1,222.78,171.95,185.8,218.69,219.37,190.36,182.23,221.07,222.44,202.89,180.94,222.44,221.41,,24,965,30,22.85,
05.08.21 10:36:28,16.28,192.65,191.34,223.8,220.73,206.56,185.15,219.71,225.17,177.39,202.56,222.44,223.46,170.99,185.8,218.35,220.39,190.36,181.9,221.41,221.75,202.23,179.97,223.12,220.05,,24,965,30,22.84,
05.08.21 10:36:43,16.53,192.98,192,223.46,221.07,205.56,185.8,221.07,225.86,176.43,201.9,221.75,222.78,171.63,186.12,219.03,220.05,190.36,181.58,221.41,222.1,202.89,180.61,223.12,221.75,,24,965,30,22.84,
05.08.21 10:36:58,16.78,192.33,191.01,224.49,221.07,206.56,186.12,220.73,225.17,176.75,201.9,222.1,223.46,171.63,186.45,217.67,220.73,191.34,180.94,222.1,222.1,202.23,180.61,222.78,222.1,,24,965,30,22.84,
05.08.21 10:37:13,17.03,192.33,191.34,224.83,221.41,206.9,185.47,220.39,225.52,176.43,202.89,222.44,223.46,171.63,186.12,219.03,220.05,191.34,181.26,221.75,222.1,203.56,179.97,223.12,220.73,,24,965,30,22.84,
05.08.21 10:37:28,17.28,192,191.01,224.15,221.41,205.89,185.47,220.39,225.52,176.11,202.23,222.1,222.78,170.67,185.15,218.01,220.05,190.03,180.29,221.07,222.44,202.23,180.29,222.44,221.07,,24,965,30,22.85,
05.08.21 10:37:43,17.53,192,191.01,223.46,221.07,205.89,185.15,220.73,225.52,176.11,202.23,222.1,222.44,170.67,185.15,218.69,219.71,190.69,180.61,221.75,222.1,202.56,179.64,222.78,221.07,,24,965,30,22.84,
05.08.21 10:37:58,17.78,191.67,190.36,224.49,220.73,206.23,185.8,220.73,225.52,175.79,202.89,222.1,222.78,170.67,184.5,219.03,220.39,190.03,179.97,221.41,222.1,202.89,179.32,223.46,221.07,,24,965,30,22.84,
05.08.21 10:38:13,18.03,192,190.36,224.15,221.41,206.56,184.82,219.71,225.52,175.14,202.56,222.1,222.44,171.31,184.5,218.69,220.39,190.69,180.29,220.73,221.75,202.56,179.32,223.12,221.41,,24,965,30,22.84,
05.08.21 10:38:28,18.28,191.34,190.36,223.8,221.07,205.89,184.82,219.71,224.83,175.14,201.56,222.1,222.44,170.67,184.82,218.01,220.39,190.03,179.32,220.73,221.75,202.56,178.36,223.12,221.41,,24,965,30,22.84,
05.08.21 10:38:43,18.53,191.67,190.36,223.8,221.75,204.89,184.5,220.39,225.17,175.46,201.9,222.1,224.15,171.63,184.82,219.03,220.39,190.69,179.64,221.07,221.75,202.89,179,223.12,222.1,,24,965,30,22.84,
05.08.21 10:38:58,18.78,191.01,189.38,225.17,221.07,204.23,185.15,220.73,225.52,174.5,202.56,221.75,222.44,170.35,184.5,218.69,220.39,190.69,179.64,221.75,222.44,203.23,178.68,222.78,221.41,,24,965,30,22.84,
05.08.21 10:39:13,19.03,191.34,189.71,223.8,221.75,205.56,183.85,220.39,225.86,174.82,202.89,221.75,223.12,170.67,184.82,218.69,220.39,190.03,179,221.41,222.78,202.89,178.68,223.12,221.41,,24,965,30,22.84,
05.08.21 10:39:28,19.28,191.34,190.03,224.49,220.73,205.89,183.85,220.05,224.49,174.5,200.57,221.75,222.78,170.03,183.85,218.35,220.39,190.03,178.68,221.07,221.75,202.23,178.68,222.78,221.07,,24,965,30,22.82,
05.08.21 10:39:43,19.53,190.69,189.71,224.49,220.39,205.89,182.88,220.39,225.17,174.18,201.9,221.75,222.78,169.72,183.52,218.35,219.71,189.71,178.03,220.73,221.41,202.56,178.68,222.78,221.75,,24,965,30,22.83,
05.08.21 10:39:58,19.78,190.36,189.05,224.15,221.07,205.56,183.2,220.39,225.52,174.82,202.56,222.1,223.12,169.72,183.52,218.69,220.39,189.71,178.03,221.75,222.44,202.56,178.36,222.44,221.75,,24,965,30,22.83,
05.08.21 10:40:13,20.03,190.36,188.73,223.46,220.73,205.89,183.52,220.39,225.52,173.86,202.23,222.1,222.44,169.72,183.85,218.35,219.37,189.05,177.71,221.75,222.44,202.23,178.36,222.44,221.41,,24,965,30,22.82,
05.08.21 10:40:28,20.28,190.03,188.4,224.83,221.75,205.56,184.17,220.39,225.52,174.18,201.56,222.44,222.44,169.72,183.2,218.69,219.71,189.71,178.03,221.07,221.75,202.56,178.36,222.44,221.07,,24,965,30,22.82,
05.08.21 10:40:43,20.53,189.38,188.73,224.15,221.07,205.56,183.52,220.39,225.17,174.5,201.56,222.1,222.78,169.08,183.52,218.01,219.37,189.71,177.39,220.73,221.75,202.23,179,222.44,220.73,,24,965,30,22.84,
05.08.21 10:40:58,20.78,190.03,189.05,224.15,221.07,205.89,183.52,220.73,224.49,174.5,202.23,221.41,222.78,169.08,183.2,218.35,220.05,189.71,177.39,220.73,222.44,201.56,177.71,222.78,221.07,,24,965,30,22.83,
05.08.21 10:41:13,21.03,190.36,188.4,223.46,220.73,206.23,182.88,219.71,225.52,174.18,202.56,222.44,222.78,169.4,183.52,218.35,221.07,189.71,177.39,221.07,223.12,202.89,179,223.46,222.1,,24,965,30,22.82,
05.08.21 10:41:28,21.28,189.05,188.4,224.49,221.07,206.23,182.55,220.39,224.83,173.86,202.56,221.75,223.46,169.08,182.88,218.01,220.39,189.71,177.07,221.07,222.1,201.9,177.71,222.44,221.41,,24,965,30,22.82,
05.08.21 10:41:43,21.53,189.38,187.42,223.12,220.73,204.56,182.23,219.71,225.52,173.54,200.24,221.41,222.44,168.45,182.55,218.01,220.05,189.38,176.75,220.73,222.78,202.23,178.03,223.46,221.07,,24,965,30,22.82,
05.08.21 10:41:58,21.78,189.05,188.4,224.49,221.07,206.23,183.52,220.39,225.52,173.86,202.23,222.1,223.46,169.08,183.2,218.69,220.05,189.71,177.07,221.07,222.44,202.89,178.36,222.78,220.73,,24,965,30,22.82,
05.08.21 10:42:13,22.03,188.4,188.07,224.15,221.41,205.56,182.55,219.37,225.17,173.22,200.9,221.41,222.44,169.08,182.55,218.35,220.05,189.71,176.43,220.73,221.75,202.23,178.03,222.44,221.07,,24,965,30,22.83,
05.08.21 10:42:28,22.28,189.38,187.42,224.83,221.41,205.89,181.9,220.05,225.86,174.18,201.9,222.44,222.78,169.4,182.55,218.35,220.39,190.03,175.79,221.07,222.44,201.9,178.68,222.78,221.75,,24,965,30,22.83,
05.08.21 10:42:43,22.53,189.38,187.42,224.49,221.07,206.23,181.9,220.05,225.52,173.54,200.9,221.41,222.78,168.76,182.23,218.69,219.71,189.71,176.43,221.07,222.78,201.9,178.68,223.46,221.07,,24,965,30,22.82,
05.08.21 10:42:58,22.78,189.05,188.07,224.83,221.07,204.89,182.23,220.05,224.83,174.18,200.57,222.44,222.44,168.13,181.9,218.35,220.73,189.38,175.79,220.73,222.1,202.56,178.03,222.78,221.41,,24,965,30,22.83,
05.08.21 10:43:13,23.03,188.73,188.07,224.49,221.41,204.56,182.55,220.39,225.17,173.22,201.23,222.78,223.12,168.13,181.26,218.35,220.39,188.73,175.46,220.73,221.75,201.9,178.68,222.44,220.73,,24,965,30,22.82,
05.08.21 10:43:28,23.28,188.07,187.75,224.83,221.41,205.56,182.55,220.05,225.52,173.54,201.9,222.1,222.1,168.45,181.26,218.69,220.05,189.05,176.43,221.07,222.1,202.23,178.36,223.12,221.07,,24,965,30,22.82,
05.08.21 10:43:43,23.53,188.4,187.1,223.8,221.41,204.56,181.58,220.39,225.17,173.22,200.9,222.44,222.78,168.13,181.58,218.01,220.05,188.73,175.14,220.39,221.75,202.23,179,222.44,220.73,,24,965,30,22.8,
05.08.21 10:43:58,23.78,188.07,187.1,224.83,221.07,204.89,181.9,220.39,225.86,172.9,200.9,222.1,223.46,168.13,181.9,218.69,219.71,189.38,175.79,220.39,222.44,202.56,179,223.46,221.07,,24,965,30,22.8,
05.08.21 10:44:13,24.03,188.07,187.42,224.15,221.07,204.89,181.9,220.73,226.2,173.54,200.24,222.1,223.8,168.76,181.58,219.03,220.39,188.73,175.46,221.41,222.78,201.9,178.68,223.12,221.75,,24,965,30,22.8,
05.08.21 10:44:28,24.28,188.73,187.75,224.49,221.07,205.89,181.9,220.39,225.17,173.54,201.56,222.78,222.44,168.13,181.58,219.71,220.39,189.38,174.82,221.07,222.44,201.23,178.68,223.12,221.07,,24,965,30,22.8,
05.08.21 10:44:43,24.53,187.75,186.77,224.49,221.07,204.89,181.26,220.05,225.52,173.22,200.57,221.41,222.44,167.81,180.94,218.69,220.73,189.38,174.82,221.07,222.1,201.56,178.68,223.12,221.07,,24,965,30,22.8,
05.08.21 10:44:58,24.78,187.1,186.77,223.8,220.39,203.56,181.58,220.05,225.52,172.9,200.9,221.75,222.1,168.13,181.26,218.35,219.37,189.05,175.14,221.41,222.1,201.9,178.36,223.12,220.73,,24,965,30,22.82,
05.08.21 10:45:13,25.03,187.42,187.1,224.83,221.41,204.89,181.26,220.39,225.52,172.9,200.24,221.75,222.1,167.81,179.97,219.03,220.05,188.4,173.86,221.07,222.1,201.23,179.32,222.78,221.07,,24,965,30,22.8,
