"","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_10.2598",476,1559,354,16,654,714,1096,96,421,349,499,1484,642,636,148,569,434,0,31
"evm.TU.chromosome_12.2540",160,987,66,15,255,155,1197,74,110,108,108,232,81,78,51,105,59,0,10
"evm.TU.chromosome_7.2346",117,26,31,0,3,24,22,5,136,11,25,24,32,20,11,35,30,0,13
"evm.TU.chromosome_12.2838",127,789,134,9,71,135,534,70,57,117,82,906,114,54,18,108,60,2,16
"evm.TU.chromosome_1.96",101,662,58,6,109,208,378,76,99,266,175,433,95,135,8,146,187,0,0
"evm.TU.chromosome_12.1802",688,337,200,55,113,427,199,64,553,398,288,191,435,503,81,501,345,84,93
"evm.TU.chromosome_6.363",165,751,38,25,117,160,515,48,123,182,190,300,265,318,43,242,198,2,17
"evm.TU.chromosome_11.2039",505,135,131,29,22,101,80,12,295,240,134,63,290,155,10,82,217,128,71
"evm.TU.chromosome_3.705",196,1169,35,0,303,348,870,44,251,297,198,627,302,403,44,279,208,6,26
"evm.TU.chromosome_10.2560",534,117,360,16,13,139,80,174,343,526,166,152,262,149,41,462,926,43,27
"evm.TU.chromosome_7.1248",50,180,52,0,103,104,165,58,66,71,68,152,70,103,22,55,40,0,0
"evm.TU.chromosome_9.2065",135,3318,131,4,28,134,447,12,126,145,135,362,102,108,32,150,81,10,11
"evm.TU.chromosome_11.3023",493,1470,272,20,284,554,1179,285,532,406,297,1233,258,234,64,532,348,33,14
"evm.TU.chromosome_13.1160",640,298,187,53,73,400,283,60,502,431,199,150,378,347,42,515,447,144,32
"evm.TU.chromosome_12.2118",41,78,7,0,452,50,596,134,39,58,177,264,209,123,8,48,18,5,0
"evm.TU.chromosome_7.2650",59,3521,935,14,2218,566,1167,97,610,480,829,2415,316,422,225,798,157,43,33
"evm.TU.chromosome_12.3937",0,437,137,7,87,225,169,68,40,215,176,235,107,41,76,147,41,0,7
"evm.TU.chromosome_1.961",673,484,340,33,98,358,231,155,272,756,269,201,373,303,85,546,176,65,72
"evm.TU.chromosome_5.2690",55,390,56,0,213,140,290,24,40,40,47,209,57,24,16,81,82,13,0
"evm.TU.chromosome_5.2691",20,134,19,0,58,61,178,0,16,19,28,46,25,10,6,11,11,0,0
"evm.TU.chromosome_6.832",78,763,26,0,77,243,370,52,94,88,135,170,115,86,26,164,71,0,0
"evm.TU.chromosome_11.125",264,222,440,35,26,273,108,148,235,486,263,193,1271,671,150,266,562,81,55
"evm.TU.chromosome_8.2394",131,56,8,5,0,21,38,41,455,47,8,6,248,52,12,50,184,25,0
"evm.TU.chromosome_8.2390",964,826,1073,87,102,1685,654,796,1540,1297,616,664,526,865,145,683,876,271,165
"evm.TU.chromosome_3.970",470,708,635,18,145,695,201,187,695,822,556,328,449,678,112,574,484,86,108
"evm.TU.chromosome_13.2650",29,161,100,0,29,25,302,27,41,12,5,134,77,39,12,17,52,0,0
"evm.TU.chromosome_13.2658",4601,1115,1802,199,297,2596,973,842,2256,1758,1777,2140,3287,3093,509,2408,3097,556,187
"evm.TU.chromosome_7.299",898,3644,604,53,1050,1025,3930,348,1176,722,895,3434,804,1079,162,931,813,287,76
"evm.TU.chromosome_4.2476",87,10,55,0,0,129,12,0,51,84,7,9,100,49,21,93,54,6,4
"evm.TU.chromosome_14.725",233,15,69,12,0,109,18,6,84,40,102,43,144,330,48,76,42,5,8
"evm.TU.chromosome_14.3654",14,13,55,6,8,28,16,15,119,29,5,4,76,22,7,53,11,55,26
"evm.TU.chromosome_12.2425",4224,623,17790,1179,301,9783,1448,4177,5081,9109,3698,736,3519,4970,2047,5271,5983,1686,221
"evm.TU.chromosome_12.2426",71,9,134,0,7,156,16,15,59,85,47,11,51,40,24,101,48,17,6
"evm.TU.chromosome_12.2420",4456,660,7029,186,207,8721,892,220,3650,7546,2575,572,3788,3611,864,6435,3871,604,166
"evm.TU.chromosome_12.1881",34,0,72,0,0,158,0,15,14,207,42,13,66,22,9,137,29,48,7
"evm.TU.chromosome_7.2229",11176,2759,2774,190,281,2986,889,592,4710,4917,2391,1077,8409,8911,897,6630,3478,428,1147
"evm.TU.chromosome_2.249",75,1251,942,22,706,771,1586,35,55,805,1650,632,785,1596,604,597,294,14,60
"evm.TU.chromosome_7.2768",2709,5,812,39,25,505,125,40,114,316,10,211,79,1764,137,515,1444,21,162
"evm.TU.chromosome_10.3195",253,4168,633,28,476,552,2479,200,547,873,295,2571,788,919,95,360,451,93,28
"evm.TU.chromosome_9.2573",315,1669,553,8,342,364,661,46,334,541,348,764,238,328,129,370,228,6,9
"evm.TU.chromosome_12.1878",423,24,352,71,22,599,12,19,143,667,134,35,281,93,98,1400,218,191,10
"evm.TU.chromosome_8.2740",16308,11430,6565,649,1999,10222,10795,2070,14404,15095,7611,6933,11708,10162,2548,12566,8327,2098,1686
"evm.TU.chromosome_12.201",1284,410,920,34,14,406,186,215,1314,2222,530,254,436,786,103,1375,742,97,63
"evm.TU.chromosome_12.207",133,250,44,0,108,65,495,10,60,115,49,164,132,44,7,48,82,6,4
"evm.TU.chromosome_10.1882",2103,389,522,50,233,519,259,88,1177,1555,486,268,1667,2157,332,994,1402,120,202
"evm.TU.chromosome_5.2615",12054,3695,5644,1117,680,3934,3508,4287,5407,9237,2843,2708,9826,8718,1341,8664,10384,1155,1017
"evm.TU.chromosome_8.2229",98,4069,155,6,37,280,313,145,36,173,11,248,29,98,42,23,4,2,2
"evm.TU.chromosome_8.2227",29,2688,134,6,0,201,128,123,4,79,6,262,22,20,25,21,8,4,0
"evm.TU.chromosome_5.1072",50,314,25,0,193,134,181,24,127,65,38,338,152,65,48,73,53,0,8
"evm.TU.chromosome_12.1969",112,553,19,4,492,151,160,5,145,184,77,493,121,38,23,99,95,0,7
"evm.TU.chromosome_12.3521",1508,968,297,24,132,677,573,96,855,836,396,404,722,774,213,652,1027,63,118
"evm.TU.chromosome_9.2801",1950,1856,2387,139,377,2175,1795,886,2751,2683,1698,1935,2109,1799,489,1891,1746,520,408
"evm.TU.chromosome_4.158",612,1941,742,10,1613,245,3264,119,275,1025,162,1266,117,57,89,395,105,21,13
"evm.TU.chromosome_5.472",27161,13591,10432,1208,3800,12652,9342,2274,19522,24308,10180,12598,23099,14125,3569,23241,19021,2405,1283
"evm.TU.chromosome_13.2365",82,918,17,13,32,66,87,24,7,47,80,85,121,59,5,40,50,0,0
"evm.TU.chromosome_8.852",352,277,561,7,14,106,88,123,127,542,383,109,633,621,73,94,595,169,26
"evm.TU.chromosome_12.799",440,23,249,12,16,303,8,48,390,168,69,18,53,86,0,53,47,13,40
"evm.TU.chromosome_12.795",579,98,469,6,18,386,40,39,630,375,152,23,216,135,7,107,162,36,51
"evm.TU.chromosome_12.792",523,56,519,3,23,384,59,82,550,374,183,40,168,121,0,141,76,43,60
"evm.TU.chromosome_3.1160",50,236,53,0,50,61,115,29,39,156,109,133,60,115,48,46,81,0,0
"evm.TU.chromosome_5.2022",189,8591,851,20,840,533,2448,571,385,330,373,2216,0,548,62,339,463,26,47
"evm.TU.chromosome_6.203",5830,21126,2057,145,4409,9458,13033,1356,6182,7745,4908,17095,2835,4766,784,7786,3243,357,324
"evm.TU.chromosome_1.1286",377,3220,76,13,353,250,530,27,160,634,413,1652,112,362,117,344,450,20,5
"evm.TU.chromosome_13.3218",59901,6042,15224,2277,2033,13380,11764,1609,33078,35379,2368,8391,14307,21979,3104,20406,6831,4700,2053
"evm.TU.chromosome_8.2198",480,96,29,17,2,95,96,33,343,907,43,47,90,170,30,215,63,92,8
"evm.TU.chromosome_10.2417",2619,650,649,121,10,811,1061,94,1030,4301,135,120,642,603,57,1395,1592,107,407
"evm.TU.chromosome_10.707",465,145,214,51,59,75,136,42,162,698,76,54,408,170,63,417,143,59,30
"evm.TU.chromosome_8.2672",229,109,310,10,12,131,37,59,318,388,53,140,167,351,35,297,237,27,29
"evm.TU.chromosome_2.1919",417,143,14,17,39,99,118,2,1675,603,42,52,51,248,4,260,57,29,30
"evm.TU.chromosome_5.2618_evm.TU.chromosome_5.2619",805,266,435,71,74,525,332,183,815,686,477,354,538,416,82,636,801,170,150
"evm.TU.chromosome_9.1668",154,35,321,26,8,335,79,0,114,561,123,21,128,160,28,160,143,54,10
"evm.TU.chromosome_5.1014",140,627,31,0,148,341,338,3,108,171,150,1277,165,98,22,161,141,0,0
"evm.TU.chromosome_3.1981",1884,1062,495,72,260,1290,590,147,1328,1228,515,885,893,807,172,866,866,253,60
"evm.TU.chromosome_1.1046",1036,3078,630,39,692,1356,1792,240,1303,1549,909,1963,861,859,184,972,811,123,98
"evm.TU.chromosome_14.6265",171,138,80,16,21,91,72,44,181,600,97,69,101,127,16,97,150,131,6
"evm.TU.chromosome_14.6261",114,258,193,39,118,115,347,91,0,194,203,342,100,59,30,99,146,0,0
"evm.TU.chromosome_9.2293",1629,4031,1612,95,1521,1884,4094,432,2176,2891,1290,4842,1164,1508,238,1959,1423,260,134
"evm.TU.chromosome_6.2472",24,556,48,1,306,139,328,51,17,106,339,427,19,15,73,34,17,0,4
"evm.TU.chromosome_13.4146",13235,7623,8495,869,1642,8018,3947,3812,16348,11812,4771,5355,12977,10365,2452,10256,9017,2770,1876
"evm.TU.chromosome_11.2437",45,8,21,0,8,25,11,0,142,52,22,24,14,24,4,69,77,12,18
"evm.TU.chromosome_12.2985",84,10,46,0,2,136,8,6,39,21,53,10,52,84,0,29,17,0,13
"evm.TU.chromosome_14.5951",56,57,95,16,18,62,21,51,92,122,49,51,56,46,0,52,58,37,41
"evm.TU.chromosome_14.5957",425,208,37,6,22,137,100,12,173,354,76,67,283,173,34,168,193,34,59
"evm.TU.chromosome_14.430",1109,65,303,25,33,290,69,130,1229,2036,968,64,144,329,63,531,498,271,136
"evm.TU.chromosome_5.1198",18524,13597,16791,3478,2084,15932,9933,6715,18364,15459,10580,12014,34177,36913,7430,32484,25617,2385,4227
"evm.TU.chromosome_5.1193",529,1958,114,15,520,741,1459,77,571,556,430,1313,491,394,185,522,486,28,32
"evm.TU.chromosome_8.2349",46,1696,426,7,159,179,786,84,84,531,247,400,426,353,105,138,97,0,10
"evm.TU.chromosome_7.1956",862,2263,902,62,998,1200,1704,242,826,771,718,1646,885,867,158,831,787,108,41
"evm.TU.chromosome_1.875",32,241,7,5,43,93,167,0,55,72,65,222,73,70,16,58,48,0,0
"evm.TU.chromosome_9.1392",536,127,265,22,70,526,162,62,512,501,147,51,596,1059,98,366,994,93,96
"evm.TU.chromosome_11.1491",522,3195,1422,33,670,977,2723,474,220,636,1321,1656,395,221,251,477,194,49,72
"evm.TU.chromosome_10.2013_evm.TU.chromosome_10.2014_evm.TU.chromosome_10.2015_evm.TU.chromosome_10.2016",23,1490,85,0,195,159,288,0,61,83,138,401,76,46,94,60,13,0,0
"evm.TU.chromosome_9.140",1188,488,858,91,109,369,443,153,1884,1766,576,474,488,960,95,1539,981,245,106
"evm.TU.chromosome_10.2910",18426,4385,5910,613,697,5428,4290,2438,10471,14991,4433,4400,16075,7518,2575,12186,10345,1099,551
"evm.TU.chromosome_9.937",89,346,45,8,94,136,209,11,132,118,83,283,123,119,32,134,96,6,0
"evm.TU.chromosome_4.1540",2548,699,814,144,293,1659,348,159,932,3677,700,573,2885,715,437,2179,1096,295,175
"evm.TU.chromosome_9.2931",74,375,141,19,205,186,352,128,87,134,250,295,254,158,48,127,147,18,12
"evm.TU.chromosome_11.2041",108,8,51,0,13,26,14,14,190,155,10,0,64,50,0,21,64,37,0
"evm.TU.chromosome_10.1999",68,12,296,14,0,712,15,5,437,496,73,38,365,32,4,307,146,16,3
"evm.TU.chromosome_11.1022",31,81,36,0,30,43,157,33,18,44,14,189,80,24,9,24,35,0,2
"evm.TU.chromosome_14.1192",51,353,55,12,276,209,141,98,64,83,127,274,74,67,9,100,55,0,0
"evm.TU.chromosome_9.1589",124,9,282,0,0,218,24,43,161,115,49,22,99,185,58,113,156,12,11
"evm.TU.chromosome_9.2588",173,19,147,7,6,138,27,10,118,194,72,0,89,74,9,101,111,6,0
"evm.TU.chromosome_9.2583",459,2460,276,21,578,907,2287,254,742,479,435,1835,493,412,124,420,532,83,35
"evm.TU.chromosome_11.3013_evm.TU.chromosome_11.3014",105,554,39,7,115,182,387,29,200,201,89,300,179,131,44,177,114,8,3
"evm.TU.chromosome_3.1903",696,322,193,35,79,155,48,27,336,414,215,156,206,495,35,247,311,69,107
"evm.TU.chromosome_2.502",3381,640,2390,69,90,2250,971,802,3624,4414,2110,1374,988,1422,574,2430,1904,214,171
"evm.TU.chromosome_6.111",713,410,386,33,111,185,309,221,611,862,116,121,314,247,55,153,1163,288,53
"evm.TU.chromosome_4.1970",772,17390,3405,112,3321,3968,6546,7093,1008,1653,4208,6165,4913,5335,495,1173,3349,85,207
"evm.TU.chromosome_4.1978",908,688,415,17,108,849,456,116,895,670,611,418,1074,774,177,804,897,165,52
"evm.TU.chromosome_14.7253",266,45,228,13,28,143,15,9,318,214,149,108,132,375,17,186,226,21,41
"evm.TU.chromosome_2.28",101,109,105,20,15,96,70,62,172,118,90,106,148,111,38,102,130,57,24
"evm.TU.chromosome_8.1967",141,662,49,0,191,93,481,46,74,273,181,478,69,32,19,42,165,9,0
"evm.TU.chromosome_8.1969",243,718,89,7,1147,1064,1542,30,207,248,1682,427,241,363,170,455,277,5,0
"evm.TU.chromosome_7.2816_evm.TU.chromosome_7.2817",396,1268,186,0,533,536,1237,108,357,319,278,1213,350,288,127,340,312,45,25
"evm.TU.chromosome_6.2332",349,111,37,8,26,194,74,20,207,265,110,99,688,498,109,338,310,45,82
"evm.TU.chromosome_1.1239",406,157,44,0,24,142,108,5,175,275,79,60,261,153,22,263,95,17,48
"evm.TU.chromosome_14.952",102,540,99,0,101,203,515,33,137,130,52,306,255,127,50,129,100,0,0
"evm.TU.chromosome_9.473",83,504,231,23,223,223,676,89,45,262,119,427,213,284,138,85,730,2,11
"evm.TU.chromosome_7.2395",22,499,20,5,266,7,201,7,67,91,37,128,218,80,36,120,41,5,6
"evm.TU.chromosome_5.1734",644,191,69,0,15,83,77,0,380,319,52,45,229,197,16,290,197,71,49
"evm.TU.chromosome_4.568",105,629,92,14,84,317,466,83,187,106,235,499,145,165,36,212,147,7,23
"evm.TU.chromosome_10.1880",1078,167,215,0,55,643,55,138,497,1121,272,57,777,35,139,571,852,59,72
"evm.TU.chromosome_8.400",8842,2897,269,102,532,2707,1012,267,11242,4545,2344,2379,4378,6193,526,8827,2721,110,545
"evm.TU.chromosome_5.1089",285,31,51,4,0,222,42,0,183,130,117,37,37,178,18,180,145,11,20
"evm.TU.chromosome_13.630",334,230,106,4,29,368,107,22,211,324,70,171,207,212,41,265,119,47,39
"evm.TU.chromosome_3.444",807,733,168,41,35,459,362,110,1224,819,638,285,3076,582,120,552,1518,28,237
"evm.TU.chromosome_12.378",250,73,109,0,26,197,51,67,200,98,108,116,337,444,57,67,234,31,26
"evm.TU.chromosome_14.6667",896,408,137,10,134,542,274,66,436,516,282,277,995,549,86,826,413,182,71
"evm.TU.chromosome_5.1302",3886,1880,484,202,286,3344,1210,444,1731,2144,2283,1549,2593,2746,562,3364,4121,419,395
"evm.TU.chromosome_14.7048",810,30,162,6,6,576,40,59,4542,691,270,69,61,336,26,342,134,159,40
"evm.TU.chromosome_10.2336",138,565,137,9,174,220,580,47,193,188,135,391,132,126,37,182,353,25,11
"evm.TU.chromosome_12.2419",1125,127,1155,55,79,2093,179,298,1188,1123,753,193,1047,939,245,1407,831,86,62
"evm.TU.chromosome_12.1857",146,8,267,40,0,234,7,9,294,84,35,3,50,193,20,132,347,50,0
"evm.TU.chromosome_2.218",500,1614,529,43,449,805,1113,223,646,838,475,1471,363,423,84,540,295,73,56
"evm.TU.chromosome_4.2109",2417,1453,1521,48,282,2940,1305,661,2792,1864,1825,1608,1683,2203,480,1230,2206,249,183
"evm.TU.chromosome_4.2107",187,7121,43,9,813,767,893,53,330,383,358,472,1270,121,114,196,1556,0,64
"evm.TU.chromosome_11.584",563,328,103,18,35,194,226,36,657,308,352,209,371,512,78,408,348,24,42
"evm.TU.chromosome_3.322",713,49,461,3,14,364,102,84,749,537,468,64,141,238,33,671,473,79,38
"evm.TU.chromosome_8.2734",738,4012,92,35,625,666,1285,38,556,486,373,1473,554,686,147,543,535,30,82
"evm.TU.chromosome_8.2739",424,2089,451,34,462,726,1695,315,612,660,508,1116,390,545,165,460,685,84,40
"evm.TU.chromosome_6.2853",1211,6001,395,12,1250,838,3763,97,929,908,687,2526,652,601,173,1070,751,59,67
"evm.TU.chromosome_14.440",530,315,134,10,122,455,219,131,629,196,528,298,759,477,99,454,560,51,89
"evm.TU.chromosome_9.352",4669,712,491,50,199,687,1033,110,1201,1664,376,515,681,604,141,813,934,84,102
"evm.TU.chromosome_11.791",430,90,157,15,19,115,66,58,283,201,106,138,332,287,93,134,145,8,76
"evm.TU.chromosome_1.1511",630,73,125,5,13,78,73,49,320,443,71,35,154,161,42,70,250,49,44
"evm.TU.chromosome_7.637",3016,1461,875,58,210,863,547,329,1008,1543,803,708,1647,903,328,985,1046,66,244
"evm.TU.chromosome_13.1739",115,54,61,0,7,63,50,16,202,73,70,25,177,75,10,150,121,29,12
"evm.TU.chromosome_2.2078",135,23,176,10,21,172,14,26,149,220,79,19,214,228,11,161,164,11,0
"evm.TU.chromosome_13.228",352,275,314,18,27,702,158,159,474,310,300,250,352,695,115,392,844,67,41
"evm.TU.chromosome_8.1187",2844,10279,825,65,2152,3066,6476,180,2177,2022,1474,4942,2134,2171,260,3073,1672,88,170
"evm.TU.chromosome_12.2957",138,352,120,4,189,223,640,113,136,200,188,340,139,147,31,106,180,23,0
"evm.TU.chromosome_10.2607",2370,337,873,90,75,1593,279,423,2527,1650,897,356,1497,1442,313,1298,1721,386,126
"evm.TU.chromosome_12.2039",1668,645,1016,42,97,1123,732,402,1269,1350,629,738,943,1159,150,2034,1267,270,260
"evm.TU.chromosome_12.2036",333,1140,72,5,294,343,1132,29,283,278,284,738,775,188,50,280,282,27,28
"evm.TU.chromosome_12.2035",303,163,84,0,18,165,90,35,255,191,81,45,43,161,31,211,188,36,31
"evm.TU.chromosome_9.2156",415,12060,305,55,2645,704,2187,107,498,4208,1044,1136,296,473,330,312,770,59,94
"evm.TU.chromosome_6.888",173,1475,70,14,276,100,1071,8,214,366,153,507,276,159,68,201,139,16,16
"evm.TU.chromosome_9.871",736,83,197,0,30,148,60,143,469,143,112,52,430,599,43,535,176,24,57
"evm.TU.chromosome_2.1927",358197,135590,260862,40498,45043,249735,102979,103178,327267,298549,176933,195697,485472,365874,82379,247292,281418,60232,51950
"evm.TU.chromosome_8.399",10161,2947,1470,189,719,3697,1528,687,13670,8664,3211,2932,5239,6286,867,8852,3766,570,503
"evm.TU.chromosome_14.5661",141,762,74,13,172,236,623,41,158,130,91,517,257,100,23,167,145,0,8
"evm.TU.chromosome_14.5662",48,241,84,12,110,113,293,79,50,131,76,147,66,22,5,88,33,12,3
"evm.TU.chromosome_12.2606",694,86,191,24,38,144,62,42,256,231,142,70,11,194,21,253,191,10,18
"evm.TU.chromosome_12.3186",2628,1762,855,119,77,2225,1197,550,2532,3475,581,773,2704,1476,388,1570,1593,254,218
"evm.TU.chromosome_14.75",55,229,13,0,76,83,307,28,37,103,31,176,121,48,34,55,86,0,0
"evm.TU.chromosome_3.280",27,14,25,0,5,123,13,7,12,24,69,6,27,7,6,27,32,13,12
"evm.TU.chromosome_11.1357",380,3173,684,10,897,938,2017,150,305,619,838,1522,806,369,316,560,643,41,30
"evm.TU.chromosome_3.137",236,807,155,12,364,337,437,63,299,394,214,324,155,197,24,234,201,21,14
"evm.TU.chromosome_13.3780",417,251,94,16,22,213,119,31,146,153,45,76,178,339,54,215,197,56,20
"evm.TU.chromosome_9.133",1709,528,563,84,98,916,435,287,859,692,546,543,1028,986,294,1043,1149,153,93
"evm.TU.chromosome_10.1454",640,366,156,9,26,257,174,104,484,584,128,239,606,282,42,585,550,158,32
"evm.TU.chromosome_9.139",950,446,699,42,70,379,269,183,1486,1580,480,400,456,653,62,1283,774,256,118
"evm.TU.chromosome_13.4070",274,995,221,28,178,374,893,58,448,552,304,1212,245,220,38,309,228,16,31
"evm.TU.chromosome_4.2428",103,35,42,12,0,35,23,14,65,162,29,14,43,26,0,40,28,20,5
"evm.TU.chromosome_14.7127",262,82,203,21,32,104,53,25,290,175,119,54,79,225,8,139,105,34,44
"evm.TU.chromosome_6.2242",860,524,184,14,96,528,206,113,556,388,250,292,591,577,68,475,447,36,48
"evm.TU.chromosome_6.2243",1214,611,253,38,110,650,446,51,1130,613,518,592,835,1002,138,952,706,122,95
"evm.TU.chromosome_10.562",162,109,109,13,23,188,39,31,229,81,65,158,210,121,16,138,142,31,31
"evm.TU.chromosome_1.750",51,7,38,0,0,17,13,8,18,98,26,7,13,71,0,52,17,68,7
"evm.TU.chromosome_5.1925",305,31,102,16,19,113,36,65,147,293,36,13,225,328,29,208,288,166,57
"evm.TU.chromosome_6.762",602,160,204,0,26,270,59,34,114,608,72,29,229,86,50,482,133,25,26
"evm.TU.chromosome_6.761",183,15,50,0,0,129,32,33,96,94,93,72,168,112,9,114,120,20,8
"evm.TU.chromosome_9.2464",1000,96,193,16,78,877,362,23,1365,1510,263,306,359,436,99,589,484,200,153
"evm.TU.chromosome_12.3130",12334,2446,3488,1026,403,4322,5223,3578,13474,9266,1509,4656,9659,9848,1023,4747,14533,2782,484
"evm.TU.chromosome_9.251",155,201,95,4,12,94,81,23,134,91,66,112,138,172,10,107,70,51,41
"evm.TU.chromosome_14.5905",283,48,157,0,0,0,132,70,605,62,186,92,154,50,19,131,59,28,218
"evm.TU.chromosome_8.1906",482,239,67,19,32,66,272,78,1714,1569,196,157,185,396,24,490,243,60,25
"evm.TU.chromosome_13.226",1768,487,515,53,60,1537,479,117,640,258,799,582,2705,1469,413,660,1251,244,102
"evm.TU.chromosome_4.1254",235,1028,203,5,271,385,1051,133,205,263,166,609,266,213,85,270,236,20,6
"evm.TU.chromosome_11.214",2186,74,1559,78,67,882,397,340,861,1198,391,683,243,2386,226,1089,1496,202,109
"evm.TU.chromosome_3.267",190,13,47,4,0,12,16,4,151,148,45,9,42,101,11,31,109,21,0
"evm.TU.chromosome_13.301",55,22811,74,38,1464,690,15188,55,11,22,750,5813,32,33,91,28,14,6,31
"evm.TU.chromosome_14.6590",204,1030,68,13,261,251,656,54,133,218,129,331,224,153,56,139,249,9,10
"evm.TU.chromosome_11.1192",529,1695,320,30,419,660,2094,209,702,382,543,1154,687,369,125,418,505,81,34
"evm.TU.chromosome_6.2071",416,209,152,28,50,167,114,24,207,277,136,104,225,399,9,170,374,83,27
"evm.TU.chromosome_10.491",96,58,117,17,0,141,15,0,131,100,78,0,68,131,13,121,103,36,11
"evm.TU.chromosome_14.1804",90,340,63,0,113,58,292,32,11,152,32,825,35,25,16,82,34,0,0
"evm.TU.chromosome_9.194",431,1730,134,7,484,671,1483,134,457,433,461,1629,376,346,76,527,308,0,0
"evm.TU.chromosome_7.2048",1576,1439,679,131,303,1464,1307,258,1499,3483,699,1224,1087,635,217,1845,1173,231,364
"evm.TU.chromosome_12.3818",972,140,511,49,140,532,294,205,640,1145,143,555,1054,373,140,1295,432,292,77
"evm.TU.chromosome_12.3811",75031,65029,33365,2869,14322,56340,42441,26830,68358,65748,38158,42907,60331,64365,15342,57066,60682,10456,7558
"evm.TU.chromosome_13.2700",164,57,1053,10,10,355,15,117,254,287,210,23,92,322,11,177,241,110,7
"evm.TU.chromosome_1.74",695,829,385,28,98,512,479,145,538,595,367,348,637,639,85,616,488,129,84
"evm.TU.chromosome_14.831",469,2766,68,9,1864,381,1273,22,249,296,345,1233,109,175,78,229,416,46,25
"evm.TU.chromosome_5.1754",265,1651,196,0,383,397,826,81,215,150,211,948,274,199,83,211,143,11,3
"evm.TU.chromosome_10.2279",703,1933,146,16,530,966,947,99,462,812,441,1310,774,568,84,628,685,28,38
"evm.TU.chromosome_10.420",858,327,57,34,33,61,80,100,176,2076,64,20,537,327,91,195,318,175,68
"evm.TU.chromosome_2.530",625,246,154,15,60,147,211,67,365,609,170,181,519,404,67,309,323,34,46
"evm.TU.chromosome_10.2737",277,121,167,4,43,219,102,46,258,177,169,148,118,251,59,211,201,98,21
"evm.TU.chromosome_4.452",341,2414,346,52,1126,1013,2307,269,469,1059,579,1674,392,340,127,463,581,134,93
"evm.TU.chromosome_4.1944",287,156,275,40,65,530,108,108,384,718,177,154,409,344,119,422,360,105,74
