"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_2.324",465.434028380015,-4.70288676925717,1.19846774248216,-3.92408289564553,8.70607560121307e-05,0.0316552908860107,41,4221,24,0,107,119,1067,60,19,100,15,140,63,318,42,56,9805,25,22
"evm.TU.chromosome_3.370",62.0884682231396,3.46406980935043,0.854783957382865,4.0525676452288,5.06585698413033e-05,0.0230243199928724,49,103,69,3,11,66,297,189,79,68,41,71,15,28,9,32,12,21,15
"evm.TU.chromosome_12.926",89.4351431294767,1.45637806789112,0.329974324273917,4.41361027436232,1.01660897574404e-05,0.00821420052401184,111,376,88,12,161,180,355,47,118,149,154,278,61,73,18,165,58,15,7
"evm.TU.chromosome_14.5366",112.157699744823,-21.2412152441899,2.38777900073174,-8.89580452700208,5.79975873748953e-19,8.43516910780478e-15,0,37,0,0,4,0,465,0,1113,381,0,27,57,36,0,736,36,156,0
"evm.TU.chromosome_14.1107",1704.16866421378,2.1487757232753,0.499144075679504,4.30492081940488,1.67045471789936e-05,0.0110432242805129,1244,4650,3647,112,1576,2762,5334,2734,827,3646,2220,5543,1480,1160,317,1252,1289,278,261
"evm.TU.chromosome_14.7156",159.590232104982,-1.49892708476751,0.37648366882202,-3.98138673440339,6.85143681634012e-05,0.0276798047380141,352,486,151,10,44,223,205,34,467,204,84,121,599,490,120,163,459,51,30
"evm.TU.chromosome_9.1142",290.411142933009,4.7260789639904,0.884491294575111,5.34327357767913,9.12828330129125e-08,0.00033190438083495,219,196,2544,0,51,882,232,262,342,769,528,54,52,66,31,34,16,42,25
"evm.TU.chromosome_7.1243",4812.56038112909,4.84772508686593,0.999942342536314,4.84800461051571,1.24709503306529e-06,0.00250999903383052,3035,1000,1188,443,622,13718,829,27523,1045,1634,412,349,1110,2225,175,1462,520,764,207
"evm.TU.chromosome_11.2667",141.362445188692,2.37481001868936,0.585412497477757,4.05664386893208,4.97829018893819e-05,0.0230243199928724,253,415,710,0,154,350,395,77,258,126,119,360,145,101,13,151,104,22,18
"evm.TU.chromosome_7.1323",89.7771370582641,1.45528382171891,0.384221603426418,3.78761581530282,0.000152099792628504,0.0425411419997879,180,245,151,0,59,281,158,58,185,252,185,207,115,113,19,184,66,17,21
"evm.TU.chromosome_7.2592",419.127619230249,7.38456591060939,1.21700244324999,6.06783162315514,1.29648720579896e-09,9.42805496057006e-06,0,16,123,0,32,3774,59,2358,66,28,26,12,21,43,2,11,9,3,15
"evm.TU.chromosome_9.2235",7373.39343916621,5.83784563926246,1.14878997105283,5.08173450879993,3.74003906795874e-07,0.000993833344732385,175,1146,896,253,415,35741,572,46752,363,508,240,348,205,2151,283,460,344,175,183
"evm.TU.chromosome_12.3088",47.9382758491252,-8.30655043385631,1.48676795464334,-5.58698511621401,2.31045517781301e-08,0.000112010867020375,297,31,0,0,28,0,102,0,56,243,0,14,51,78,37,124,102,51,0
"evm.TU.chromosome_2.641",650.004341830164,2.79373232824533,0.705915452330363,3.95760188989019,7.57059976702973e-05,0.028975474476758,26,8403,849,16,508,368,6642,894,107,132,216,3398,215,169,47,95,258,10,11
"evm.TU.chromosome_14.5603",277.126207620848,-1.91896047531537,0.42029020327984,-4.56579872749894,4.97596031261003e-06,0.00452314792416252,563,626,195,9,150,259,395,32,585,465,212,464,1668,765,183,759,711,32,51
"evm.TU.chromosome_10.540",210.039421227543,-1.70020603817553,0.436759110988834,-3.89277749541669,9.91030396448905e-05,0.0343179668713164,554,363,108,12,79,282,176,23,294,289,120,294,581,838,123,235,375,87,121
"evm.TU.chromosome_6.2934",1852.08171765418,3.24140189438323,0.701512946760823,4.62058741659741,3.82655069559185e-06,0.00428102717820676,529,7232,2304,148,1828,2272,2569,6632,646,1510,1089,3741,848,1254,211,1389,733,211,94
