"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_10.813",1039.16115474756,-3.59875579653368,0.60278246903653,-5.97023964928149,2.36905344200087e-09,4.01861051083777e-05,1736,1574,653,330,239,293,1265,89,1548,10451,193,210,1135,531,128,4557,962,368,232
"evm.TU.chromosome_5.2520",317.815068873166,-2.97685545249541,0.753604822188265,-3.95015446404844,7.81007740868578e-05,0.0301659900978595,294,227,241,291,21,229,124,90,340,1411,68,194,353,265,46,188,207,87,23
"evm.TU.chromosome_10.138",475.845464713519,-2.54771665786868,0.636750808817968,-4.00112041097857,6.30432650170289e-05,0.026241973136287,1353,1193,334,95,158,361,590,54,271,2327,150,409,1449,371,99,2418,184,161,190
"evm.TU.chromosome_2.706",58.5206953309155,2.98743957711741,0.762196289251968,3.9195147224468,8.87274414196951e-05,0.0335254708546896,256,272,113,0,86,158,95,21,225,19,30,86,93,35,34,19,113,8,8
"evm.TU.chromosome_2.1076",1137.07103449933,-2.35015794559804,0.587577583062824,-3.99974065271098,6.3411936696626e-05,0.026241973136287,3487,5796,1225,304,507,1095,2000,125,1164,5843,401,797,1593,579,126,6263,589,246,170
"evm.TU.chromosome_1.1580",85.9869695478133,3.52295366192347,0.773089589953238,4.5569798218814,5.18944073123415e-06,0.00530574525585769,68,160,53,0,26,230,100,170,129,46,475,40,50,48,29,55,67,35,9
"evm.TU.chromosome_12.924",1918.16497123613,-2.29050123065877,0.575155806385192,-3.98240129931815,6.82224598590114e-05,0.027576152902546,5716,5859,1760,481,905,1443,2738,173,1029,9177,947,3025,3032,1099,282,7966,1089,895,485
"evm.TU.chromosome_12.925",11111.7100595006,-2.02562019131313,0.526851223087441,-3.84476699027599,0.000120667042164288,0.0411238011736761,30268,37221,10132,3199,10016,6372,24682,1775,12101,34111,5095,19642,15999,4425,2044,33274,7288,5485,2059
"evm.TU.chromosome_4.2170",630.399210772883,2.62718789947052,0.487791618766156,5.38588159041325,7.20904130893932e-08,0.000250600693981349,208,925,2226,28,353,4421,1919,414,238,637,1222,1036,695,1377,144,369,1108,10,26
"evm.TU.chromosome_9.2720",1920.3743529463,10.2973570928338,2.36217916242807,4.35926167524451,1.3050199015524e-05,0.0104608901827121,0,2107,2912,0,40,27,26,6850,1485,15,3891,27,0,8,482,9,1271,2286,11
"evm.TU.chromosome_2.1764",312.076161769295,-2.81805492540011,0.700294209617263,-4.02410142294377,5.71932670084019e-05,0.0248519043468258,448,507,189,101,288,266,287,19,250,1933,73,337,834,117,45,644,395,130,114
"evm.TU.chromosome_11.2667",141.371923762967,2.46528045475676,0.644208079374223,3.8268387710249,0.00012979947084239,0.0417786037539182,253,415,710,0,154,350,395,77,258,126,119,360,145,101,13,151,104,22,18
"evm.TU.chromosome_4.827",127.001881684752,-1.76158088038554,0.432837090195183,-4.06984734046515,4.70439537601321e-05,0.0215139110473018,178,547,119,30,99,134,293,14,271,580,94,168,220,190,32,363,232,20,12
"evm.TU.chromosome_7.2592",419.115043290184,7.97757331707241,1.36132286317471,5.86016259101686,4.62414189153417e-09,4.01861051083777e-05,0,16,123,0,32,3774,59,2358,66,28,26,12,21,43,2,11,9,3,15
"evm.TU.chromosome_4.1956",423.44042662588,3.70225602364901,0.780051576221713,4.74616824900399,2.0730629292883e-06,0.00300265889782999,61,2727,317,8,700,355,1924,914,110,123,415,1855,474,659,43,74,373,6,39
"evm.TU.chromosome_9.2235",7373.47770047929,4.99663990427945,1.22953894976428,4.06383214231429,4.82735476005276e-05,0.0215139110473018,175,1146,896,253,415,35741,572,46752,363,508,240,348,205,2151,283,460,344,175,183
"evm.TU.chromosome_8.2327",37.4819043346809,2.71594252915856,0.649902071493932,4.17900272715767,2.92790175205466e-05,0.0154211698037764,24,12,93,0,7,155,24,50,39,28,89,10,102,97,18,34,63,13,1
"evm.TU.chromosome_9.1073",199.458710096166,4.67857663524466,1.05291931526105,4.44343319324966,8.85346555435471e-06,0.00769410424001196,30,1774,84,0,528,165,1291,395,24,39,284,220,40,125,31,27,232,0,20
"evm.TU.chromosome_12.3905",893.378088684155,2.95333039740999,0.646846957956665,4.56573283847437,4.97752365676885e-06,0.00530574525585769,473,2759,2928,51,988,891,1286,1456,261,344,1710,1562,1937,2718,132,266,908,58,51
"evm.TU.chromosome_2.641",650.118985278153,3.26106160220329,0.771008698631579,4.22960416398824,2.34102864280127e-05,0.0142720858554007,26,8403,849,16,508,368,6642,894,107,132,216,3398,215,169,47,95,258,10,11
"evm.TU.chromosome_11.1548",61.4620209210571,4.60694522084154,1.11407169329397,4.13523227326621,3.54595797483901e-05,0.0166573771785613,29,118,230,0,20,537,13,12,25,6,17,33,483,115,4,19,265,0,4
"evm.TU.chromosome_6.2931",1847.63856616614,-1.63395765939064,0.432580264247451,-3.77723579746107,0.000158578582666083,0.0475216266434343,3031,9334,1644,348,1464,1674,3540,579,2484,8719,911,4303,3292,1214,537,5734,1466,578,207
"evm.TU.chromosome_14.480",86.5430291258142,-3.86129898258056,1.00584450960895,-3.8388627125695,0.000123605516047197,0.0413151437387755,290,45,50,22,0,28,27,0,83,987,6,85,59,50,16,160,57,74,16
"evm.TU.chromosome_5.2582",106.445932822772,3.14669856134803,0.759346138979734,4.14395807105303,3.41362184690929e-05,0.0164811559225362,95,87,85,0,16,259,60,351,135,116,163,120,160,130,20,59,98,26,22
