"","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_13.3827",0,8,0,6,194,10,685,6,7,1531,0,4,35,18,16,12,9,0,0
"evm.TU.chromosome_6.4",0,229,0,0,0,0,0,0,60,0,115,0,0,64,0,0,28,8,0
"evm.TU.chromosome_3.370",49,103,69,3,11,66,297,189,79,68,41,71,15,28,9,32,12,21,15
"evm.TU.chromosome_12.926",111,376,88,12,161,180,355,47,118,149,154,278,61,73,18,165,58,15,7
"evm.TU.chromosome_14.5366",0,37,0,0,4,0,465,0,1113,381,0,27,57,36,0,736,36,156,0
"evm.TU.chromosome_14.1107",1244,4650,3647,112,1576,2762,5334,2734,827,3646,2220,5543,1480,1160,317,1252,1289,278,261
"evm.TU.chromosome_14.7156",352,486,151,10,44,223,205,34,467,204,84,121,599,490,120,163,459,51,30
"evm.TU.chromosome_14.5440",62,0,0,0,28,0,69,0,101,163,0,0,142,0,0,86,0,0,0
"evm.TU.chromosome_9.1142",219,196,2544,0,51,882,232,262,342,769,528,54,52,66,31,34,16,42,25
"evm.TU.chromosome_7.1057",38,233,32,0,25,42,31,0,66,0,39,34,54,77,9,0,104,0,9
"evm.TU.chromosome_3.1101",125,0,51,0,73,386,0,67,445,7,230,0,272,4,48,0,730,27,18
"evm.TU.chromosome_7.841",44,44,62,10,155,18,39,8,28,41,61,79,174,1089,76,51,360,11,7
"evm.TU.chromosome_7.2708",13,22,50,0,20,183,75,122,32,38,21,39,0,10,0,46,11,15,6
"evm.TU.chromosome_7.1243",3035,1000,1188,443,622,13718,829,27523,1045,1634,412,349,1110,2225,175,1462,520,764,207
"evm.TU.chromosome_13.410",0,73,0,0,0,169,0,0,0,0,0,0,0,36,0,0,77,0,4
"evm.TU.chromosome_6.2498",7,23,30,0,0,15,6,5,19,1,15,0,6,35,9,0,25,7,28
"evm.TU.chromosome_9.558",18,38,0,0,0,17,87,3,23,6,98,32,0,0,0,38,0,12,9
"evm.TU.chromosome_7.2592",0,16,123,0,32,3774,59,2358,66,28,26,12,21,43,2,11,9,3,15
"evm.TU.chromosome_9.2235",175,1146,896,253,415,35741,572,46752,363,508,240,348,205,2151,283,460,344,175,183
"evm.TU.chromosome_12.3088",297,31,0,0,28,0,102,0,56,243,0,14,51,78,37,124,102,51,0
"evm.TU.chromosome_14.7189",436,0,0,0,0,0,1103,303,133,0,0,558,0,207,0,0,253,0,0
"evm.TU.chromosome_14.5603",563,626,195,9,150,259,395,32,585,465,212,464,1668,765,183,759,711,32,51
"evm.TU.chromosome_13.392",227,0,49,0,0,181,0,0,0,275,4,65,0,0,0,0,0,0,0
"evm.TU.chromosome_6.2934",529,7232,2304,148,1828,2272,2569,6632,646,1510,1089,3741,848,1254,211,1389,733,211,94
