PlugID,mean_concentration,Area_cm,vol_mL,Site,Treatment,Timepoint,ExperimentalTank,Carb.mg.cm2,carb_ug,carb_ug.cm2,carb_mg.cm2
AST-2378,0.226634,6.158,10,ENDV,Ambient,TP1,8,3.680318285,0.0226634,0.003680318285,3.68E-06
AST-2403,0.1019868052,3.903,7,FW,Ambient,TP2,5,1.829125382,0.0145695436,0.003732908942,3.73E-06
AST-2520,0.0751978468,9.138,23,FW,Ambient,TP1,10,1.892701331,0.0032694716,0.0003577885314,3.58E-07
AST-2523,0.04996432646,1.03,10,FW,Ambient,TP7,8,4.850905482,0.004996432646,0.004850905482,4.85E-06
AST-2533,0.03686835563,2.612,3.5,FW,Ambient,TP0,8,0.4940246734,0.01053381589,0.004032854477,4.03E-06
AST-2538,0.09749444593,1.398,16,FW,Ambient,TP2,16,11.15816262,0.006093402871,0.004358657275,4.36E-06
AST-2539,0.1438096708,7.357,23,FW,Ambient,TP2,10,4.495884774,0.006252594382,0.0008498837002,8.50E-07
AST-2867,0.0405149888,3.449,5.5,ENDV,Ambient,TP3,18,0.646078395,0.007366361601,0.002135796347,2.14E-06
AST-2880,0.01008473046,5.208,15,ENDV,Ambient,TP4,8,0.2904588267,0.0006723153643,0.0001290928119,1.29E-07
AST-3002,0.04815796214,10.246,30,ENDV,Ambient,TP7,2,1.410051595,0.001605265405,0.0001566723994,1.57E-07
AST-1233,NA,4.628,3,FW,Ambient,TP0,10,NA,NA,NA,NA
AST-1748,NA,33.4,12,ENDV,Ambient,TP6,12,NA,NA,NA,NA
AST-2168,NA,3.735,5.5,FW,Ambient,TP6,10,NA,NA,NA,NA
AST-1159,NA,6.942,32,ENDV,Ambient,TP7,1,NA,NA,NA,NA
AST-1560,NA,1.149,6,FW,Ambient,TP7,10,NA,NA,NA,NA
FLD-0001,0.104841339,3.979,16,FW,Field,TP3,NA,4.215786437,0.006552583685,0.001646791577,1.65E-06
FLD-0002,0.07385563499,3.482,12,FW,Field,TP3,NA,2.545283228,0.006154636249,0.001767557797,1.77E-06
FLD-0003,0.09843342655,6.894,39,FW,Field,TP3,NA,5.568470606,0.002523934014,0.0003661058912,3.66E-07
FLD-0004,0.2211555416,5.023,9,FW,Field,TP3,NA,3.962571919,0.02457283796,0.004892064097,4.89E-06
FLD-0005,0.1132672463,3.05,17,FW,Field,TP3,NA,6.313256353,0.006662779196,0.002184517769,2.18E-06
FLD-0006,0.3254469136,5.447,11,FW,Field,TP3,NA,6.572271067,0.02958608306,0.005431628981,5.43E-06
FLD-0007,0.1738775735,4.125,8,FW,Field,TP3,NA,3.372171123,0.02173469669,0.00526901738,5.27E-06
FLD-0008,0.1359026233,5.705,20,FW,Field,TP4,NA,4.764333857,0.006795131164,0.001191083464,1.19E-06
FLD-0009,0.0595663708,3.273,35,FW,Field,TP4,NA,6.369761619,0.001701896309,0.0005199805403,5.20E-07
FLD-0010,0.05349347469,4.099,46,FW,Field,TP4,NA,6.003171104,0.001162901624,0.0002837037384,2.84E-07
FLD-0011,0.0751978468,3.395,36,FW,Field,TP4,NA,7.973851207,0.002088829078,0.0006152662969,6.15E-07
FLD-0012,0.1111457131,3.342,25,FW,Field,TP4,NA,8.314311274,0.004445828524,0.001330289804,1.33E-06
FLD-0013,0.1823631841,6.346,42,FW,Field,TP4,NA,12.06941969,0.004341980574,0.0006842074652,6.84E-07
FLD-0014,0.02907605606,2.354,20,FW,Field,TP4,NA,2.470353106,0.001453802803,0.0006175882766,6.18E-07
FLD-0015,0.03653693398,3.233,15,FW,Field,TP5,NA,1.695187163,0.002435795598,0.0007534165167,7.53E-07
FLD-0016,0.06656236864,2.675,8,FW,Field,TP5,NA,1.990650277,0.00832029608,0.003110391058,3.11E-06
FLD-0017,0.2108648529,3.731,10,FW,Field,TP5,NA,5.651698014,0.02108648529,0.005651698014,5.65E-06
FLD-0018,0.05332504198,3.469,21,FW,Field,TP5,NA,3.22809421,0.002539287713,0.000731994152,4.85E-06
FLD-0019,0.071088824,1.995,14,FW,Field,TP5,NA,4.988689404,0.005077773143,0.002545249696,4.03E-06
FLD-0020,0.07574530443,7.453,42,FW,Field,TP5,NA,4.268486229,0.001803459629,0.0002419776774,2.42E-07
FLD-0021,0.2542096968,13.177,16,FW,Field,TP5,NA,3.086708013,0.01588810605,0.001205745318,1.21E-06
FLD-0022,0.1768445474,8.902,15,FW,Field,TP5,NA,2.979856449,0.01178963649,0.001324380644,1.32E-06
FLD-0023,0.2176371717,5.633,13,FW,Field,TP6,NA,5.02269347,0.0167413209,0.00297200797,2.97E-06
FLD-0024,0.3560865768,5.574,9,FW,Field,TP6,NA,5.749514157,0.0395651752,0.007098165626,7.10E-06
FLD-0025,0.2718275031,4.008,16,FW,Field,TP6,NA,10.85139733,0.01698921895,0.004238827082,4.24E-06
FLD-0026,0.06148677967,1.255,5,FW,Field,TP6,NA,2.449672497,0.01229735593,0.009798689987,9.80E-06
FLD-0027,0.1671052548,7.14,21,FW,Field,TP6,NA,4.914860435,0.007957393085,0.001114480824,1.11E-06
FLD-0028,0.009092391623,2.144,11,FW,Field,TP6,NA,0.4664939732,0.0008265810566,0.0003855322092,3.86E-07
FLD-0029,0.2588056463,4.715,35,FW,Field,TP6,NA,19.21144776,0.007394447037,0.00156828145,1.57E-06
FLD-0030,0.0205822653,0.917,3.5,FW,Field,TP6,NA,0.7855826452,0.00588064723,0.006412919553,6.41E-06
FLD-0031,0.1359026233,4.374,21,FW,Field,TP7,NA,6.524817304,0.006471553489,0.001479550409,1.48E-06
FLD-0032,0.02771953281,3.841,24,FW,Field,TP7,NA,1.732019754,0.001154980534,0.0003006978739,3.01E-07
FLD-0033,0.05476534863,2.706,23,FW,Field,TP7,NA,4.654852249,0.002381102114,0.0008799342625,8.80E-07
FLD-0034,0.02436561331,3.734,11,ENDV,Heat,TP7,9,0.7177872158,0.002215055755,0.0005932125751,5.93E-07
FLD-0035,0.005336899065,0.777,8.5,FW,Heat,TP7,6,0.583830657,0.0006278704782,0.0008080701136,8.08E-07
FLD-0036,0.05140463311,3.437,14,FW,Heat,TP6,9,2.093875076,0.003671759508,0.00106830361,1.07E-06
FLD-0037,0.04996432646,1.03,10,FW,Ambient,TP7,8,4.850905482,0.004996432646,0.004850905482,4.85E-06
FLD-0038,0.12475712,6.682,8,FW,Field,TP7,NA,1.493650045,0.01559464,0.002333828195,2.33E-06
FLD-1655,0.1359026233,NA,29,FW,Field,TP2,NA,NA,0.004686297354,NA,NA
FLD-1693,0.1157383302,NA,25,FW,Field,TP2,NA,NA,0.004629533207,NA,NA
FLD-2024,0.2534437052,NA,19,FW,Field,TP2,NA,NA,0.01333914238,NA,NA
FLD-2305,0.05198792003,NA,25,FW,Field,TP2,NA,NA,0.002079516801,NA,NA
FLD-2550,0.1009717887,NA,16,FW,Field,TP2,NA,NA,0.006310736793,NA,NA
FLD-0016,NA,6.553,10,FW,Field,TP5,NA,NA,NA,NA,NA
FLD-0015,NA,15.608,18,FW,Field,TP5,NA,NA,NA,NA,NA
FLD-0018,NA,4.022,11,FW,Field,TP5,NA,NA,NA,NA,NA
FLD-0019,NA,3.97,9.5,FW,Field,TP5,NA,NA,NA,NA,NA
FLD-1237,NA,NA,NA,FW,Field,TP2,NA,NA,NA,NA,NA
FLD-1241,NA,NA,10.5,FW,Field,TP2,NA,NA,NA,NA,NA
FLD-0026,NA,4.331,11,FW,Field,TP6,NA,NA,NA,NA,NA
FLD-0028,NA,4.534,11,FW,Field,TP6,NA,NA,NA,NA,NA
FLD-0030,NA,1.998,6.5,FW,Field,TP6,NA,NA,NA,NA,NA
FLD-0034,NA,4.077,5.5,FW,Field,TP7,NA,NA,NA,NA,NA
FLD-0035,NA,6.973,15,FW,Field,TP7,NA,NA,NA,NA,NA
FLD-0036,NA,3.151,6,FW,Field,TP7,NA,NA,NA,NA,NA
FLD-0037,NA,4.603,5,FW,Field,TP7,NA,NA,NA,NA,NA
AST-1041,0.02436561331,3.734,11,ENDV,Heat,TP7,9,0.7177872158,0.002215055755,0.0005932125751,5.93E-07
AST-1065,0.005336899065,0.777,8.5,FW,Heat,TP7,6,0.583830657,0.0006278704782,0.0008080701136,8.08E-07
AST-1074,0.05140463311,3.437,14,FW,Heat,TP6,9,2.093875076,0.003671759508,0.00106830361,1.07E-06
AST-1075,0.04676635996,6.225,13,ENDV,Heat,TP3,3,0.9766468747,0.003597412305,0.000577897559,5.78E-07
AST-1080,0.06724800627,1.812,12,FW,Heat,TP3,9,4.453510349,0.005604000522,0.00309271552,3.09E-06
AST-1117,0.03973205477,1.263,4,ENDV,Heat,TP6,6,1.258339027,0.009933013693,0.007864618918,7.86E-06
AST-1146,0.1238666043,1.187,10,FW,Heat,TP1,6,10.43526573,0.01238666043,0.01043526573,1.04E-05
AST-1148,0.03743408004,2.836,11.5,ENDV,Heat,TP3,6,1.517954585,0.003255137395,0.001147791747,1.15E-06
AST-1152,0.0739694373,2.387,14,FW,Heat,TP4,11,4.33838342,0.005283531236,0.002213460928,2.21E-06
AST-1184,0.06182304768,5.802,23,ENDV,Heat,TP2,4,2.450758526,0.002687958595,0.0004632813848,4.63E-07
AST-1185,0.08309137943,4.072,6,ENDV,Heat,TP1,11,1.224332703,0.01384856324,0.003400924174,3.40E-06
AST-1249,0.05254154318,3.337,11,FW,Heat,TP3,17,1.731965763,0.004776503925,0.001431376663,1.43E-06
AST-1273,0.07726564213,3.475,15,ENDV,Heat,TP2,7,3.335207574,0.005151042809,0.001482314477,1.48E-06
AST-1325,0.07956361687,2.739,8,ENDV,Heat,TP1,17,2.323873439,0.009945452109,0.003631052248,3.63E-06
AST-1332,0.08405158386,4.445,25,ENDV,Heat,TP1,7,4.727310678,0.003362063354,0.0007563697085,7.56E-07
AST-1416,0.02595921562,2.071,20,ENDV,Heat,TP5,9,2.5069257,0.001297960781,0.0006267314249,6.27E-07
AST-1423,0.04739197056,11.752,15,FW,Heat,TP0,4,0.6049009176,0.003159464704,0.0002688448523,2.69E-07
AST-1473,0.1697099928,5.363,4,FW,Heat,TP2,11,1.265784022,0.04242749819,0.007911150139,7.91E-06
AST-1486,0.03634740803,8.847,24,ENDV,Heat,TP7,7,0.9860266675,0.001514475335,0.0001711851853,1.71E-07
AST-1496,0.1620153352,2.011,4,FW,Heat,TP2,17,3.222582501,0.04050383381,0.02014114063,2.01E-05
AST-1498,0.006132447425,1.613,5,FW,Heat,TP5,17,0.1900944645,0.001226489485,0.0007603778581,7.60E-07
AST-1499,0.03892197547,2.506,15,ENDV,Heat,TP4,3,2.329727183,0.002594798365,0.001035434304,1.04E-06
AST-1540,0.03530551284,1.693,4,FW,Heat,TP6,11,0.8341526955,0.008826378209,0.005213454347,5.21E-06
AST-1562,0.06292708632,7.724,48,ENDV,Heat,TP4,7,3.910538766,0.001310980965,0.0001697282451,1.70E-07
AST-1567,0.0561434167,3.306,5.5,FW,Heat,TP0,7,0.9340253838,0.01020789395,0.003087687219,3.09E-06
AST-1578,0.03172044222,5.531,32,ENDV,Heat,TP5,4,1.835209096,0.0009912638194,0.0001792196383,1.79E-07
AST-1585,0.0405149888,7.306,7,FW,Heat,TP0,6,0.3881808399,0.005787855543,0.0007922057957,7.92E-07
AST-1630,0.03585867235,1.615,24,ENDV,Heat,TP1,9,5.32884295,0.001494111348,0.0009251463454,9.25E-07
AST-1647,0.06484749518,14.396,44,ENDV,Heat,TP7,3,1.982001798,0.001473806709,0.0001023761259,1.02E-07
AST-1649,0.03653693398,3.233,15,FW,Heat,TP1,4,1.695187163,0.002435795598,0.0007534165167,7.53E-07
AST-1689,0.06656236864,2.675,8,ENDV,Heat,TP3,11,1.990650277,0.00832029608,0.003110391058,3.11E-06
AST-1694,0.04804391759,8.252,20,FW,Heat,TP4,17,1.164418749,0.00240219588,0.0002911046873,2.91E-07
AST-1698,0.0205822653,0.917,3.5,FW,Heat,TP6,15,0.7855826452,0.00588064723,0.006412919553,6.41E-06
AST-1735,0.05405962632,8.912,20,FW,Heat,TP2,3,1.213187305,0.002702981316,0.0003032968263,3.03E-07
AST-1742,0.01062437478,4.615,15,ENDV,Heat,TP6,4,0.3453209571,0.000708291652,0.0001534759809,1.53E-07
AST-1761,0.1147992295,4.327,12,FW,Heat,TP2,9,3.183708699,0.009566602458,0.002210908818,2.21E-06
AST-1826,0.01008473046,11.655,16,FW,Heat,TP4,9,0.1384433183,0.000630295654,5.41E-05,5.41E-08
AST-2003,0.141057875,1.35,24,ENDV,Heat,TP0,17,25.07695555,0.005877411457,0.004353638116,4.35E-06
AST-2007,0.01415430024,5.155,20,FW,Heat,TP7,4,0.5491484088,0.0007077150118,0.0001372871022,1.37E-07
AST-2044,0.03552545159,1.407,14,FW,Heat,TP6,17,3.534870805,0.002537532256,0.001803505513,1.80E-06
AST-2079,0.008196577218,2.403,23,ENDV,Heat,TP6,3,0.7845246609,0.0003563729225,0.0001483033386,1.48E-07
AST-2165,0.04535433515,1.685,6,ENDV,Heat,TP2,15,1.614991162,0.007559055858,0.004486086562,4.49E-06
AST-2211,0.06291573546,3.961,8,ENDV,Heat,TP7,15,1.270704074,0.007864466932,0.001985475115,1.99E-06
AST-2301,0.03314562583,7.803,50,ENDV,Heat,TP1,3,2.123902719,0.0006629125167,8.50E-05,8.50E-08
AST-2398,0.1613748312,0.972,4.5,FW,Heat,TP0,9,7.471057001,0.03586107361,0.03689410865,3.69E-05
AST-2412,0.04900412203,4.334,18,FW,Heat,TP5,15,2.035242724,0.002722451224,0.0006281613345,6.28E-07
AST-2512,0.01062437478,1.299,15,FW,Heat,TP5,11,1.226833116,0.000708291652,0.0005452591624,5.45E-07
AST-2541,0.0739694373,5.831,15,FW,Heat,TP2,6,1.902832378,0.00493129582,0.0008457032791,8.46E-07
AST-2561,0.07802321576,3.602,9,ENDV,Heat,TP3,7,1.94949734,0.008669246196,0.002406786839,2.41E-06
AST-2563,0.02366575139,5.757,30.5,FW,Heat,TP5,3,1.253787419,0.0007759262751,0.0001347796205,1.35E-07
AST-2669,0.004658637436,2.724,28,ENDV,Heat,TP4,6,0.4788614105,0.0001663799084,6.11E-05,6.11E-08
AST-2728,0.04377567781,6.11,24,ENDV,Heat,TP4,7,1.719502893,0.001823986576,0.0002985248078,2.99E-07
AST-2729,0.06100667745,3.795,25,FW,Heat,TP7,11,4.018885208,0.002440267098,0.0006430216332,6.43E-07
AST-2859,0.09260974847,1.073,4,FW,Heat,TP0,15,3.452367138,0.02315243712,0.02157729461,2.16E-05
AST-2873,0.09079786426,4.21,13,FW,Heat,TP0,11,2.803734526,0.006984451097,0.001659014512,1.66E-06
AST-1618,NA,0.699,3.5,FW,Heat,TP0,3,NA,NA,NA,NA
AST-1777,NA,1.441,2.5,FW,Heat,TP1,15,NA,NA,NA,NA
AST-1228,NA,7.009,NA,FW,Heat,TP3,4,NA,NA,NA,NA
AST-2731,NA,3.216,14.5,ENDV,Heat,TP3,15,NA,NA,NA,NA
AST-1754,NA,1.266,18,FW,Heat,TP4,4,NA,NA,NA,NA
AST-2521,NA,2.055,NA,FW,Heat,TP4,15,NA,NA,NA,NA
AST-2404,NA,2.17,30,FW,Heat,TP5,6,NA,NA,NA,NA
AST-2870,NA,3.256,5,FW,Heat,TP6,7,NA,NA,NA,NA
AST-2755,NA,1.43,10.5,FW,Heat,TP7,17,NA,NA,NA,NA
AST-1409,0.01754560838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AST-1492,0.02517821478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AST-2737,0.1290760802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AST-2738,0.02568474792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLD-0039,0.115258228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLD-0040,0.1322017658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLD-0042,0.08722353266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLD-1214,0.2462892895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
