#,Date-Time (EST),Ch: 1 - Temperature  °C (°C),Ch: 2 - Light  lux (lux),Host Connected,Button Down,Button Up,End of File
152,01/27/2021 19:00:00,3.94,0,,,,
153,01/27/2021 19:10:00,3.99,0,,,,
154,01/27/2021 19:20:00,3.94,0,,,,
155,01/27/2021 19:30:00,4.03,0,,,,
156,01/27/2021 19:40:00,3.99,0,,,,
157,01/27/2021 19:50:00,4.03,0,,,,
158,01/27/2021 20:00:00,4.03,0,,,,
159,01/27/2021 20:10:00,4.07,0,,,,
160,01/27/2021 20:20:00,4.07,0,,,,
161,01/27/2021 20:30:00,4.07,0,,,,
162,01/27/2021 20:40:00,4.07,0,,,,
163,01/27/2021 20:50:00,4.07,0,,,,
164,01/27/2021 21:00:00,4.07,0,,,,
165,01/27/2021 21:10:00,4.16,0,,,,
166,01/27/2021 21:20:00,4.12,0,,,,
167,01/27/2021 21:30:00,4.16,0,,,,
168,01/27/2021 21:40:00,4.20,0,,,,
169,01/27/2021 21:50:00,4.20,0,,,,
170,01/27/2021 22:00:00,4.20,0,,,,
171,01/27/2021 22:10:00,4.24,0,,,,
172,01/27/2021 22:20:00,4.16,0,,,,
173,01/27/2021 22:30:00,4.16,0,,,,
174,01/27/2021 22:40:00,4.16,0,,,,
175,01/27/2021 22:50:00,4.12,0,,,,
176,01/27/2021 23:00:00,4.12,0,,,,
177,01/27/2021 23:10:00,4.07,0,,,,
178,01/27/2021 23:20:00,4.07,0,,,,
179,01/27/2021 23:30:00,4.03,0,,,,
180,01/27/2021 23:40:00,3.99,0,,,,
181,01/27/2021 23:50:00,3.99,0,,,,
182,01/28/2021 00:00:00,3.94,0,,,,
183,01/28/2021 00:10:00,3.99,0,,,,
184,01/28/2021 00:20:00,3.90,0,,,,
185,01/28/2021 00:30:00,3.90,0,,,,
186,01/28/2021 00:40:00,3.86,0,,,,
187,01/28/2021 00:50:00,3.77,0,,,,
188,01/28/2021 01:00:00,3.77,0,,,,
189,01/28/2021 01:10:00,3.82,0,,,,
190,01/28/2021 01:20:00,3.73,0,,,,
191,01/28/2021 01:30:00,3.69,0,,,,
192,01/28/2021 01:40:00,3.69,0,,,,
193,01/28/2021 01:50:00,3.64,0,,,,
194,01/28/2021 02:00:00,3.64,0,,,,
195,01/28/2021 02:10:00,3.64,0,,,,
196,01/28/2021 02:20:00,3.60,0,,,,
197,01/28/2021 02:30:00,3.56,0,,,,
198,01/28/2021 02:40:00,3.52,0,,,,
199,01/28/2021 02:50:00,3.56,0,,,,
200,01/28/2021 03:00:00,3.52,0,,,,
201,01/28/2021 03:10:00,3.47,0,,,,
202,01/28/2021 03:20:00,3.47,0,,,,
203,01/28/2021 03:30:00,3.47,0,,,,
204,01/28/2021 03:40:00,3.43,0,,,,
205,01/28/2021 03:50:00,3.47,0,,,,
206,01/28/2021 04:00:00,3.47,0,,,,
207,01/28/2021 04:10:00,3.47,0,,,,
208,01/28/2021 04:20:00,3.43,0,,,,
209,01/28/2021 04:30:00,3.43,0,,,,
210,01/28/2021 04:40:00,3.43,0,,,,
211,01/28/2021 04:50:00,3.43,0,,,,
212,01/28/2021 05:00:00,3.47,0,,,,
213,01/28/2021 05:10:00,3.47,0,,,,
214,01/28/2021 05:20:00,3.47,0,,,,
215,01/28/2021 05:30:00,3.43,0,,,,
216,01/28/2021 05:40:00,3.43,0,,,,
217,01/28/2021 05:50:00,3.47,0,,,,
218,01/28/2021 06:00:00,3.47,0,,,,
219,01/28/2021 06:10:00,3.47,0,,,,
220,01/28/2021 06:20:00,3.47,0,,,,
221,01/28/2021 06:30:00,3.52,0,,,,
222,01/28/2021 06:40:00,3.60,0,,,,
223,01/28/2021 06:50:00,3.64,0,,,,
224,01/28/2021 07:00:00,3.73,1,,,,
225,01/28/2021 07:10:00,3.73,3,,,,
226,01/28/2021 07:20:00,3.82,6,,,,
227,01/28/2021 07:30:00,3.82,11,,,,
228,01/28/2021 07:40:00,3.77,14,,,,
229,01/28/2021 07:50:00,3.77,12,,,,
230,01/28/2021 08:00:00,3.82,16,,,,
231,01/28/2021 08:10:00,3.82,23,,,,
232,01/28/2021 08:20:00,3.82,37,,,,
233,01/28/2021 08:30:00,3.77,34,,,,
234,01/28/2021 08:40:00,3.77,41,,,,
235,01/28/2021 08:50:00,3.82,46,,,,
236,01/28/2021 09:00:00,3.77,61,,,,
237,01/28/2021 09:10:00,3.86,58,,,,
238,01/28/2021 09:20:00,3.86,60,,,,
239,01/28/2021 09:30:00,4.03,57,,,,
240,01/28/2021 09:40:00,4.07,63,,,,
241,01/28/2021 09:50:00,4.12,59,,,,
242,01/28/2021 10:00:00,4.16,64,,,,
243,01/28/2021 10:10:00,4.24,63,,,,
244,01/28/2021 10:20:00,4.20,81,,,,
245,01/28/2021 10:30:00,4.20,92,,,,
246,01/28/2021 10:40:00,4.20,101,,,,
247,01/28/2021 10:50:00,4.20,115,,,,
248,01/28/2021 11:00:00,4.24,106,,,,
249,01/28/2021 11:10:00,4.24,105,,,,
250,01/28/2021 11:20:00,4.20,98,,,,
251,01/28/2021 11:30:00,4.24,112,,,,
252,01/28/2021 11:40:00,4.24,111,,,,
